"Sample","TLR4","CX3CR1","HMGB1","HMGB1.1","HIF1A","CD14","MAPK14","ICAM1","ICAM1.1","TNFSF10","TNFSF10.1","CXCL8","S100A8","S100A9","BCL2","BCL2.1","VCAM1","MMP9","CXCL10","TLR2","IL1B","IL6","IL1R2","CRP","ITGAM","S100A12","CX3CR1.1","PTX3","ARG1","CCR7","SOCS3","SOCS3.1","ELANE","CCR2","CCL25","BCL2.2","BCL2.3","NLRP3","P2RX7","TNF","MMP8","IL10","PDCD1","CCR2.1","IFNB1","IFNA1","HLA-DRA","MYD88","GATA3","GATA3.1","GATA3.2","C3AR1","CCL19","IFNG","MAPK14.1","CALCA","CALCA.1","PLAUR","HLA-DRA.1","MAPK14.2","IFNA2","IL1R2.1","CXCL8.1","MAPK14.3","LBP","PLAUR.1","LCN2","OLFM4","SOCS3.2","TNFSF10.2","S100A8.1","LBP.1","PLAUR.2","HMGB1.2","ICAM1.2","NLRP3.1","NLRP3.2","CCL2","FCGR1A","CALCA.2","CALCA.3","NOTCH1","TREM1","CD177","C5AR1","TLR4.1","NOTCH1.1","TLR4.2","HMGB1.3","HMGB1.4","SOCS3.3","P2RX7.1","ARG1.1","ARG1.2","ARG1.3","MMP8.1","TLR4.3","CRP.1","IL1B.1","Label"
"GSM1373948",7.43813,7.82583,8.13799,10.6173,10.4418,10.0652,9.90804,7.037,6.52886,10.0047,11.0658,4.81806,13.8242,13.6361,3.70044,6.45814,2.36136,10.4291,5.882,10.528,8.39853,3.50162,8.95388,3.55284,9.92358,12.2902,10.5175,3.94093,7.51154,7.6904,6.15747,4.46186,8.97237,9.19533,2.92243,5.31163,3.61078,6.13979,5.25682,5.28843,7.24752,4.30194,5.08991,6.94283,2.73609,2.12118,10.6396,11.1165,2.9143,3.28427,7.48922,8.58624,3.90805,3.86883,8.43163,2.87267,3.31966,8.23256,10.1753,6.71148,2.29776,8.03906,2.83113,8.42456,4.35249,8.2292,9.19791,3.47213,3.26886,9.22126,6.67172,2.70534,6.23023,11.1421,5.01208,4.41218,2.80572,2.13953,2.668,4.30745,2.5447,7.34612,9.07578,8.03736,9.93246,7.82859,4.23279,7.9948,9.65347,6.14718,7.35584,7.02796,2.8333,2.78635,1.85568,7.43126,6.64402,1.99887,8.41722,"Septic"
"GSM1373951",7.76562,5.05952,7.23374,10.0351,10.259,10.2158,9.8465,6.95639,5.89002,9.43452,10.8362,5.19273,13.7497,13.4492,3.74448,4.43652,2.61902,10.972,4.1729,11.7872,7.10948,3.29095,12.2843,3.61013,9.90419,11.4884,8.43332,4.50281,9.14184,6.56052,6.09887,5.34231,7.07717,8.89304,3.67987,5.59255,4.03657,6.94857,4.31356,5.12628,7.37889,3.69342,5.05843,6.37018,2.75132,2.30907,10.7176,11.2038,2.27248,3.15652,6.61241,9.00024,4.09257,2.98379,8.27713,3.59911,3.58952,8.08819,10.0548,6.4559,2.07711,11.169,2.68823,8.19529,4.419,8.3517,9.91407,6.62757,3.84322,8.1362,7.24742,3.04654,6.09641,10.7112,4.88143,4.62924,3.17023,2.60166,2.53115,4.90811,2.6986,7.23738,9.35233,6.90826,10.2743,8.17015,5.25607,8.67343,8.97811,5.77415,7.94104,6.16911,2.77554,3.45926,2.02786,7.93361,7.479,2.36112,7.19772,"Septic"
"GSM1373954",8.54122,5.68749,7.8668,10.4196,10.9822,9.61152,11.4045,6.43611,5.69589,9.50347,10.4671,3.88165,13.9006,14.0069,3.75918,4.80298,2.06263,12.6584,4.24393,11.7908,7.6696,3.47873,12.9215,3.62674,10.865,13.5035,8.32663,3.70473,11.0117,6.58454,6.98475,5.41564,5.27647,7.60148,3.09259,5.01176,4.02394,6.55291,4.1309,5.38144,11.6337,5.60064,4.68839,6.16437,2.72911,2.08888,8.299,11.4831,2.31396,3.15164,5.91831,10.393,4.17616,2.45896,10.1302,3.07441,3.11753,7.96663,8.01844,8.26196,2.04108,12.5386,2.96534,10.1338,4.4882,7.95469,11.5084,9.4977,3.57084,8.57919,6.10114,2.87741,6.12189,10.9804,4.86023,4.53256,3.02739,2.45861,3.53738,4.42989,2.91803,7.01144,7.93545,12.9272,10.5103,8.69519,4.64725,9.13473,9.39188,6.30959,8.51393,5.14694,3.02986,4.27289,2.26717,11.282,7.86651,1.79078,7.71849,"Septic"
"GSM1373957",7.88747,4.85297,8.83426,10.9681,10.6912,9.23202,10.4874,6.01507,5.06809,9.63421,10.2203,3.22327,14.0291,13.769,4.15172,5.86589,2.27108,11.9555,3.9444,11.041,6.77215,3.38395,12.8871,3.43999,10.2788,13.5374,7.67505,4.27477,11.0721,6.64531,5.48197,4.56703,4.66768,9.30893,3.11913,5.24876,3.84013,5.89465,3.96062,4.59269,9.95943,4.07181,4.85669,7.35373,2.45912,2.1036,9.4787,10.783,2.50148,3.31,6.65393,9.55946,3.89112,2.83955,9.40201,3.14271,3.25828,7.91804,8.97584,7.57454,1.90568,12.2335,2.38021,9.29738,3.93663,8.0622,8.32666,3.43085,3.61659,8.44096,5.71209,2.79043,5.86838,11.4882,4.5013,3.76434,2.94422,2.39393,2.38317,4.54425,2.21045,6.80318,7.70052,10.8947,9.98564,8.26454,4.41454,8.51982,10.1054,6.71122,6.92434,5.05248,3.90323,3.91697,2.35602,10.0406,7.27515,2.34228,6.82585,"Septic"
"GSM1373960",7.79201,5.84767,7.86435,10.5404,10.7758,9.86675,10.5341,6.07028,5.42637,9.10835,9.8115,3.75675,14.0455,13.8468,3.76161,4.17894,2.1809,10.5856,4.03747,11.3056,7.05156,3.71233,12.9323,3.48282,10.1719,13.5262,9.04147,5.17006,9.67263,6.21136,6.59235,5.50612,4.98647,9.01087,3.01997,5.16473,3.95066,6.34618,4.87729,5.11838,11.5652,6.18144,5.15424,7.28586,2.85518,2.10493,9.36181,11.0457,2.02453,2.75622,5.83065,9.75197,3.94363,2.63897,9.32202,3.06055,3.54002,7.4362,8.96998,7.43038,2.16789,12.3616,2.65326,9.17848,4.13064,7.40389,11.1922,10.6946,3.62315,7.97747,6.01024,3.19431,5.89911,10.9961,5.03368,4.28337,2.84397,2.34857,2.63897,4.5864,2.46923,7.05633,7.02024,12.2983,9.62109,8.19654,4.51629,8.30282,9.51459,6.18871,8.47115,6.26926,2.85384,3.48696,2.328,11.4559,7.23682,2.40471,6.96294,"Septic"
"GSM1373963",8.6384,5.94192,8.202,11.1267,10.9458,10.4763,10.8426,6.79058,6.4202,9.90528,11.1027,3.2471,14.0965,14.0542,3.92956,5.39774,2.44395,12.3433,3.85216,12.3232,8.1761,3.54253,13.049,3.86274,10.5809,13.398,8.79754,3.66005,11.7788,6.60275,6.43687,4.94164,4.70182,7.68253,2.78352,4.63837,3.55202,6.29819,4.61352,5.27396,8.31981,4.24012,5.21919,5.36236,2.64584,2.64258,9.25671,11.4868,2.38888,3.53819,6.24867,9.98943,4.21242,2.78463,9.29265,3.24408,3.51508,8.12645,9.08786,7.39902,2.14765,12.7388,2.81904,9.2508,4.22273,7.8078,7.87619,3.51907,2.70392,8.9011,5.24129,2.73379,6.27775,11.4912,4.74499,4.80062,3.02403,2.41483,3.32277,4.34557,2.89488,7.46467,9.79961,11.476,10.3173,8.84028,4.83997,8.99709,9.61963,6.29804,7.85007,5.44156,3.28965,4.45791,2.05249,8.83834,7.92272,2.29346,7.87086,"Septic"
"GSM1373966",7.49539,5.11616,8.20302,10.7883,10.2497,8.58166,10.2359,6.11937,5.28158,8.73255,9.73303,3.70484,14.141,13.9128,4.05558,4.18915,2.31855,12.4304,3.87511,11.4078,6.74695,3.74854,13.0503,3.77099,10.6506,13.5442,6.56134,4.19703,11.1353,5.36595,6.4898,5.31996,7.761,6.20114,3.4602,5.47976,3.80422,5.44703,3.92225,4.76402,11.452,4.87923,5.29936,3.6356,3.35147,2.50216,7.27531,10.4585,1.62526,3.2561,5.66752,7.50943,4.37962,2.20753,8.94825,3.33632,3.40683,6.63278,7.17595,7.28146,1.92537,12.5144,2.85339,8.9306,4.24814,6.9817,12.9826,10.9515,4.01117,7.65102,5.80959,3.40169,5.49649,11.0405,4.73569,4.0646,3.88027,2.19592,2.86566,5.09993,2.77535,6.89704,6.91501,12.3921,9.90284,7.43875,5.2072,8.30168,8.83506,5.65558,8.08782,3.41674,2.83192,4.42503,1.97048,11.7588,7.30163,1.92062,7.03177,"Septic"
"GSM1373968",7.76058,7.06837,7.53858,10.3798,9.87728,10.0178,10.1296,6.53388,5.96167,9.43324,10.5128,3.62924,13.8371,13.7193,3.6922,4.92313,2.25458,11.6879,4.18908,11.3872,8.0666,3.54823,12.3745,3.95138,9.88998,13.0587,9.16113,3.87119,10.5517,6.60919,5.86808,4.88624,6.50509,8.18984,3.31089,4.95702,3.78838,6.24225,4.99042,4.71028,7.79812,3.84748,5.62478,5.42953,2.76753,2.20957,10.1324,11.1575,2.60566,3.43722,7.07369,8.73665,4.23603,2.70317,8.57876,3.26472,3.34498,7.89603,9.6578,6.8694,2.27274,11.6975,2.71792,8.3216,4.76383,7.72389,9.79518,8.96171,3.5757,8.11582,6.93395,3.11911,5.70902,10.8974,4.63465,4.03381,2.97534,2.74142,2.58845,4.86128,3.07436,8.17408,9.99161,9.14694,10.074,8.00467,4.57063,8.35361,9.25945,6.00506,6.82595,5.70942,2.77342,4.41272,2.13604,8.07878,6.69469,2.11147,8.11851,"Septic"
"GSM1373971",7.75035,6.08915,7.6553,10.4321,10.7075,10.5652,10.5577,6.85108,6.02301,9.4855,10.7352,7.7268,13.8621,13.7343,4.56236,6.02203,2.37223,10.841,4.2913,11.3079,8.00972,3.37148,12.0367,3.91625,10.2047,13.1284,8.9872,3.98637,10.7623,8.01061,5.92135,4.9396,6.16137,8.24416,3.58705,4.99969,3.90452,6.50054,4.93785,5.06188,6.16543,3.65989,5.35519,5.95191,2.75945,2.50962,9.64439,11.397,2.56796,3.46497,6.89939,9.72872,3.9259,3.18393,9.0511,3.3551,3.31847,8.66303,9.27479,7.08542,1.94435,11.0446,4.0612,8.76421,4.63722,8.5462,6.6154,3.42327,3.23108,8.3214,7.92058,2.8511,6.23759,10.9526,4.9827,4.14154,2.70421,2.78875,3.12489,4.95957,2.41028,7.42682,8.99896,10.1291,10.5663,7.69377,5.04477,8.47724,9.39859,5.74343,7.93152,6.59855,3.00136,4.44237,2.01486,6.07366,7.36973,2.41413,7.89443,"Septic"
"GSM1373974",8.86603,5.45029,9.05197,11.0329,10.9034,10.5548,10.6272,7.50821,6.89896,9.93795,10.7791,4.05794,14.2843,14.2601,3.96998,5.47661,2.20766,11.4429,3.86806,11.9239,7.96642,3.55826,13.4373,3.09485,10.9516,13.2075,8.73317,4.94388,11.5544,7.20922,6.42469,5.32263,4.46511,9.12261,2.92765,4.02944,3.50452,6.26332,5.17854,5.0202,9.0525,4.37491,4.5341,7.22829,2.54377,2.32623,9.47242,11.4703,3.18761,3.40665,6.70834,10.792,3.6867,3.13956,9.62676,3.07686,3.42018,8.54402,9.08948,8.00272,2.15886,12.8794,2.47281,9.58959,3.99311,8.89936,6.1706,3.25526,3.28352,9.29796,6.04172,2.63034,6.39207,11.5994,5.05086,4.63361,2.71717,2.48671,3.39851,4.01378,2.51104,7.74303,8.86845,12.619,10.9519,9.29857,5.43844,9.71007,10.1105,6.84829,8.43547,6.62244,3.77237,3.95289,2.21922,9.06905,9.0758,1.80688,8.01043,"Septic"
