"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.963245553203368,0.966666666666667,1,0.95,1,1,0.98
10,0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
20,0.86503488089145,0.876666666666667,0.99,0.82,0.99,0.99,0.922
30,0.860333102172797,0.873333333333333,0.9975,0.81,1,1,0.924
40,0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
50,0.852572639647383,0.867333333333333,0.9825,0.815,0.9825,0.98,0.92
