"Sample","TLR4","CX3CR1","HMGB1","HMGB1.1","HIF1A","CD14","MAPK14","ICAM1","ICAM1.1","TNFSF10","TNFSF10.1","CXCL8","S100A8","S100A9","BCL2","BCL2.1","VCAM1","MMP9","CXCL10","TLR2","IL1B","IL6","IL1R2","CRP","ITGAM","S100A12","CX3CR1.1","PTX3","ARG1","CCR7","SOCS3","SOCS3.1","ELANE","CCR2","CCL25","BCL2.2","BCL2.3","NLRP3","P2RX7","TNF","MMP8","IL10","PDCD1","CCR2.1","IFNB1","IFNA1","HLA-DRA","MYD88","GATA3","GATA3.1","GATA3.2","C3AR1","CCL19","IFNG","MAPK14.1","CALCA","CALCA.1","PLAUR","HLA-DRA.1","MAPK14.2","IFNA2","IL1R2.1","CXCL8.1","MAPK14.3","LBP","PLAUR.1","LCN2","OLFM4","SOCS3.2","TNFSF10.2","S100A8.1","LBP.1","PLAUR.2","HMGB1.2","ICAM1.2","NLRP3.1","NLRP3.2","CCL2","FCGR1A","CALCA.2","CALCA.3","NOTCH1","TREM1","CD177","C5AR1","TLR4.1","NOTCH1.1","TLR4.2","HMGB1.3","HMGB1.4","SOCS3.3","P2RX7.1","ARG1.1","ARG1.2","ARG1.3","MMP8.1","TLR4.3","CRP.1","IL1B.1","Label"
"GSM1373969",7.54605,7.81942,8.64495,11.1053,10.6085,10.5183,9.91774,6.63599,6.4068,9.70076,10.6078,4.66212,14.0759,13.8051,3.99742,6.9541,2.31193,10.6233,4.21436,10.6644,7.8348,3.29286,10.2566,3.50312,9.74809,13.0218,10.0421,4.66412,8.90245,7.07268,5.26656,4.16081,6.43038,9.17406,2.93534,4.63518,3.33564,6.01261,5.13869,5.05216,7.229,3.85674,4.74151,6.65047,2.62566,2.17706,10.924,11.1897,4.18199,4.04215,8.12346,8.74825,3.76803,3.27846,8.12134,3.09347,2.9953,8.22236,10.3445,6.5199,1.73382,9.08746,2.47547,7.9706,3.73055,7.83252,8.72096,8.64497,3.07396,9.03078,6.23932,2.34962,5.88818,11.524,4.50822,4.05766,3.0863,2.31394,2.99364,4.25333,2.3201,7.82278,9.69022,8.03845,10.0419,7.76532,4.19253,8.17635,10.0854,6.55622,6.39731,7.18244,2.65715,3.58387,2.01746,7.75099,7.09346,2.17226,7.88593,"Septic"
"GSM1373972",7.90102,6.05072,7.77513,10.4953,11.2045,11.0381,10.3915,7.31479,6.26189,9.15734,10.2832,7.35898,13.9023,13.9034,3.87976,5.78522,2.93253,12.1241,4.07746,11.2639,7.65776,3.91077,12.2552,3.72122,10.2418,12.9171,9.11383,3.18267,11.1284,8.46276,5.72597,4.63522,6.30802,8.71001,3.05847,4.99503,3.86979,6.34662,4.70068,4.87958,4.73738,3.90038,4.99428,6.47497,2.70448,2.20254,10.0641,11.4591,2.77078,3.33642,6.65213,10.1266,4.1219,3.19424,8.95474,3.05317,3.22125,8.74314,9.73878,7.07488,1.98299,11.3031,3.40838,8.84701,4.29175,8.72116,7.6666,4.70031,3.33581,8.19727,7.3186,3.3991,6.56024,11.0883,5.2145,4.88629,3.34385,2.63434,3.12651,4.0977,1.92638,7.36892,10.0006,9.69571,10.752,8.20804,5.29246,8.90651,9.68958,6.35305,7.44884,6.0466,3.69107,3.91707,2.16841,5.40133,7.85181,2.40413,7.98469,"Septic"
"GSM1373975",8.51651,5.42182,8.57209,10.884,10.3293,11.0893,10.5257,7.66432,7.41236,9.67594,10.6178,3.46336,14.0095,14.0887,3.09325,5.59851,2.26592,12.1391,3.41923,11.9169,8.16395,3.63433,12.8969,3.86723,11.1222,12.8227,8.94778,4.60342,10.0472,7.84327,7.25645,5.56984,4.44915,9.04184,3.27914,4.72063,3.42146,6.57289,4.79302,4.90715,6.86507,4.34172,5.17554,7.26124,2.71149,1.98736,9.41575,11.2735,3.4437,3.27969,6.53886,10.1824,3.69644,2.26059,9.50068,3.18367,3.73242,8.39285,8.9183,8.11468,2.06093,12.3527,2.51878,9.40384,4.005,8.65283,6.88644,2.7789,3.5298,8.61494,5.96289,2.72484,6.24297,11.3313,5.40545,5.24625,3.41294,2.72316,3.62563,3.9795,2.78604,7.99792,9.45651,12.5365,10.7446,8.82725,4.74883,9.32154,9.59587,6.1292,8.88669,5.97699,2.93537,3.45316,2.21591,6.75483,8.34643,2.02998,8.20297,"Septic"
"GSM1373978",7.27639,7.04811,7.62525,10.2495,9.43195,10.094,9.66113,6.67593,6.02899,9.32541,9.93986,3.88807,12.7866,12.8827,4.26871,6.19719,2.34395,10.1871,3.93472,10.514,8.52571,3.6498,9.61829,3.59555,9.44093,10.6929,9.93238,2.38856,4.7841,7.96106,5.65252,4.66079,4.74808,8.27089,3.31859,5.37814,3.86076,5.4386,5.17378,5.10483,2.79366,3.73645,5.06462,6.10017,2.89579,2.29437,10.8209,11.0684,3.09476,3.50656,8.04329,7.16049,4.29044,2.71399,7.72576,3.29012,3.61511,8.1684,10.1738,6.13128,2.24764,8.5059,2.80494,7.84395,4.35984,8.20624,5.91554,3.22862,3.41185,7.38154,7.22722,3.21526,6.14358,10.6358,4.98651,3.74258,3.06325,2.59725,2.23591,4.58917,2.43111,7.50434,9.24467,8.22194,9.99196,7.10522,5.04034,7.06766,8.81745,5.65822,6.64966,5.9027,2.38845,3.05123,2.2077,3.09793,5.57207,2.30742,8.31505,"Septic"
"GSM1373983",8.23237,6.52271,7.66726,9.95387,11.1476,10.6369,10.0722,8.9987,8.25109,9.427,10.2,7.40387,13.6019,13.7328,3.92501,4.50305,2.41368,11.4366,5.12819,11.841,10.4307,3.55501,11.9029,3.89853,10.0912,11.8631,9.45786,6.39947,9.0029,7.5944,6.40808,5.24339,8.67427,8.38399,3.32609,4.72742,4.17285,5.71158,4.56997,6.45744,9.13872,3.75762,4.62484,6.80326,2.92506,2.18379,10.1677,11.8434,2.41629,3.46288,6.40721,10.7834,4.33097,3.0683,8.83129,3.31484,3.59181,9.48703,9.71823,6.94261,2.27257,10.8888,3.56205,8.68434,4.4179,9.43528,10.0818,8.38758,3.17906,8.39952,7.77581,3.34832,7.45007,10.9678,6.17024,3.78631,2.4545,2.49906,2.81013,4.5967,3.1603,6.55669,9.38308,10.081,10.2202,8.2985,4.73794,8.64393,9.38121,5.88179,8.0584,6.35859,2.83158,3.14002,2.36786,9.11691,7.70836,2.52625,10.1431,"Septic"
"GSM1373986",7.77744,4.40779,8.42434,10.9344,10.6681,10.3151,10.8292,6.60464,6.03042,8.68389,9.92434,4.09075,14.1764,14.1498,4.24284,4.40748,2.28432,12.6968,4.19756,10.6224,6.47044,3.84855,13.2845,3.11587,10.6074,13.6039,7.48448,5.76595,11.5246,5.4207,6.91718,5.20301,11.5944,7.13878,3.04481,4.86863,3.50107,4.83727,3.93265,5.56885,11.8649,4.91628,4.64612,5.42158,2.62856,2.20123,8.25611,11.0839,2.10245,3.16449,5.82003,9.89548,3.93567,2.45146,9.7153,2.81394,3.16189,7.95874,7.6889,7.57877,2.1193,12.7969,2.78258,9.3278,3.82617,8.05546,12.5602,8.91632,3.40581,8.10612,5.90757,2.71136,6.29952,11.5111,5.06599,3.19818,2.6933,2.83636,2.78258,4.53443,2.78809,6.60112,8.62014,12.8685,10.476,8.11227,4.48453,8.84698,10.4182,6.68431,8.61009,4.0616,5.04006,5.22558,2.45411,11.4921,7.77919,2.04766,6.91259,"Septic"
"GSM1373989",7.17442,7.33664,7.68833,10.1732,9.88824,10.6303,10.3139,6.74509,6.56376,9.7883,10.7849,3.27159,13.0742,13.3426,3.44948,4.95901,2.46132,11.0689,4.27026,11.4594,7.8991,3.44873,11.3063,3.3629,10.0452,12.1214,9.36754,3.52171,8.1865,7.73598,5.91027,4.78063,7.33239,9.05063,3.10421,5.70769,3.81664,7.21583,5.63091,5.2385,6.00288,4.23666,5.43118,6.7244,3.25058,2.14379,10.7932,11.2604,2.66623,3.37374,7.1459,10.0906,4.27975,2.74745,8.84984,3.18617,3.32899,8.38394,10.1039,6.66256,2.4774,10.3208,3.0039,8.8157,4.6444,8.24342,8.88118,8.28197,4.06336,7.8766,8.67705,3.33349,6.53698,10.5059,4.72163,4.98699,4.17962,2.58411,3.90541,4.10061,2.48162,7.41703,10.7123,10.8595,10.1665,7.26354,5.07653,7.61762,8.14665,4.87229,6.44789,6.17883,2.84237,3.07085,2.35098,5.91295,5.98468,3.15585,7.89994,"Septic"
"GSM1373992",8.38455,4.54846,7.73252,10.4275,11.1998,9.91135,10.7207,6.59271,5.6819,9.50299,10.9994,4.03137,14.1244,13.899,3.67303,3.88816,2.46781,12.9367,3.76618,11.6589,7.28365,3.58689,12.8969,3.73532,10.4139,13.5215,7.05989,6.08945,11.6746,5.36431,5.61305,4.96579,8.0411,8.48136,3.11017,5.04673,3.59096,6.63078,4.65963,5.10898,10.0746,4.59919,4.96091,6.23451,2.72201,2.43648,9.6092,11.4097,2.12471,3.01304,5.46545,9.52236,4.18722,2.90561,9.49352,3.21301,3.76038,8.41646,9.23952,7.68228,2.1613,12.4976,3.06588,9.43154,4.2075,8.522,9.93296,8.64949,3.53191,8.20647,3.6076,3.32699,6.54013,11.0459,5.00304,4.93704,2.91114,2.3875,2.69253,4.20738,2.74353,7.33363,9.81044,12.4844,10.7891,8.45213,4.91496,8.87005,9.39806,6.20399,6.83241,5.51117,3.03222,3.18545,2.16402,10.4399,7.8515,2.11664,7.00249,"Septic"
"GSM1373995",7.09007,5.48865,8.62368,11.169,10.8783,9.9951,9.78323,6.57819,5.99011,8.6701,9.90137,7.24128,14.1575,14.0962,3.20021,4.18506,2.48533,11.9828,3.92024,10.5646,6.96188,3.42409,12.8365,3.47078,9.79961,13.4648,7.67195,6.83854,11.3378,6.09756,5.89503,4.89664,12.239,8.13454,3.25365,5.08012,3.52583,6.01282,4.25997,5.72323,11.0976,4.86742,4.72919,5.20477,2.75909,2.48952,8.53845,11.0557,1.83716,3.29103,5.4156,10.1885,3.98903,2.10553,8.76238,3.18635,2.98276,8.03093,8.29511,6.83806,2.5624,12.3189,3.63235,8.68358,4.2797,7.7526,12.2364,11.4537,3.39373,7.55521,3.86533,3.03326,6.32659,11.6871,4.35669,3.79438,2.71012,2.50582,2.65384,4.28009,2.30207,6.52614,8.90111,10.813,10.0397,7.29791,4.48522,7.92506,10.1281,6.49015,7.61892,5.72341,2.35066,3.12012,2.20147,11.1636,6.57829,2.37647,7.01899,"Septic"
"GSM1373996",6.9531,7.24854,6.75567,10.212,10.1295,8.84711,8.43149,5.89029,5.10114,8.4836,9.97827,7.7589,12.8517,12.2896,4.14902,6.79528,2.36794,9.13626,5.09169,9.96335,7.51297,3.88754,8.30307,3.70748,8.58914,9.46866,10.9088,2.94308,5.26039,8.4597,5.24176,4.55885,4.51846,8.15521,3.59931,5.62224,4.3245,5.3535,4.34343,5.31535,3.52511,3.47153,4.94143,6.3925,3.07405,2.33127,10.9842,10.8251,3.50594,4.7252,8.32117,7.65812,3.98708,2.96559,6.93826,3.12828,3.65377,8.1321,10.1044,5.59429,2.24899,7.22683,3.81191,7.16021,4.21139,8.066,6.30506,2.59324,3.79437,7.85459,7.64126,2.98185,5.79571,11.1562,4.92803,3.50594,2.71593,2.46706,2.07772,4.62717,2.59965,7.04826,9.10602,5.42256,9.89008,7.28297,5.12006,7.58029,9.76269,6.19107,4.83357,5.75862,2.85698,3.54029,1.96646,4.02672,6.19447,2.43532,7.20229,"Healthy"
