"Sample","IL10","SOCS3","BCL2","MYD88","MAPK14","HIF1A","IL1R2","HIF1A.1","ARG1","ARG1.1","BCL2.1","GATA3","Label"
"GSM3816544",8.86593806202546,12.1280923010614,8.07734649241783,13.0258918979201,11.6589186277259,10.080228392322,15.0335144718315,8.35254468111449,14.0470462064706,13.2798463362722,7.92862177792887,7.30476116459772,"septic shock"
"GSM3816545",7.55985769019903,11.6778220887703,8.09598402506135,12.8334606940775,11.5254414737183,10.1428639890147,14.519366828753,9.03373784637763,13.5907177637509,13.0738008229433,7.91465980649178,7.35219706883049,"septic shock"
"GSM3816547",7.66934835819591,11.5393192411432,7.71338144721787,12.9677899222873,10.8310813751026,9.51496949791314,13.4966838159522,8.41674166100819,13.5853613558326,12.926671326283,7.68318087797759,7.25096666635026,"septic shock"
"GSM3816548",7.08700248942586,9.60933701980519,8.16123727792916,11.9785864575551,9.77479705451769,9.60187268900111,10.3611144036122,8.62062212620983,13.3276356349125,12.1706658151705,8.15145725335182,7.54341088346756,"septic shock"
"GSM3816550",7.24237557358014,10.8043520909416,7.82991793796057,13.0060613158484,10.4186557114529,9.66129353603678,11.0657778205296,8.69952685383758,12.5992898477804,11.7545546836276,7.84148379292456,7.36110805330132,"septic shock"
"GSM3816551",7.45255251333369,12.2310440996435,7.28054561824941,13.716954635395,11.6184860332513,9.81965903618713,15.9078219778833,8.35950053971637,14.2909007534342,13.7432304263072,7.28028055601721,7.02588819209112,"septic shock"
"GSM3816554",8.63346771043715,12.5011666085846,7.53433136754272,13.3643435876663,11.5386213407404,9.43903776904358,14.6774007764143,8.43652666820653,13.7832070981349,12.7652020506568,7.60412010394855,7.16447411805661,"septic shock"
"GSM3816555",7.02163568950044,8.95699811898882,7.55437492386573,12.1831510217276,10.1652595733429,9.00503607940573,13.0817489932139,8.52550123776374,13.9229567157608,12.9598614432315,7.97474549560731,7.02498945336679,"septic shock"
"GSM3816556",7.54322543812952,11.7375551959811,8.03947009974164,13.147699455216,10.3735811740357,9.72838615410031,11.2661782342078,8.6258596710691,9.42649681725137,9.07035777866362,7.65007258546141,7.51352277445047,"septic shock"
"GSM3816557",8.52091835528738,11.8844602788766,7.47207692923419,12.5000211623276,10.7494248275669,10.0383986416765,14.244441634629,9.62365398152872,14.0167697529152,13.3259787310784,7.40901642844584,7.14421020621634,"septic shock"
"GSM3816560",8.23096500382809,11.5247861621688,7.16266685708021,12.1464293893093,11.0406284260627,10.3577079150763,14.9017447146956,9.25332015110119,15.3456049381228,14.4134545759486,7.24410013287515,7.06278043970337,"septic shock"
"GSM3816561",7.11208312698563,9.76972652194108,9.3623551752716,11.9870974108408,9.6405778245452,9.39648710622228,9.17476492026324,7.82403251707177,10.6598841832049,9.36493431611445,8.28258337874156,8.50065252732898,"septic shock"
"GSM3816562",8.10132307653339,13.0810376883992,7.28345048196158,12.3859357544187,10.8758366196019,10.8756262760543,14.0233054119461,9.57674937695528,13.7475536457298,12.8456569127726,7.36362778090339,7.06522681546385,"septic shock"
"GSM3816563",7.34322580216078,9.72253596056702,8.10878466757145,12.5189376673356,11.5407257659994,9.87742445722509,14.0080940733768,9.36599717144727,14.8510776689587,13.5035252526321,7.65660645262481,7.81698865189503,"septic shock"
"GSM3816565",7.68368978536627,11.6317927090603,7.66711971244057,12.8659706486512,11.2333643186681,10.1796721843166,13.6779337193134,9.38178268886302,14.4034869098929,13.3513614054168,7.76826082200914,7.36429490225603,"septic shock"
"GSM3816566",7.75945782300199,10.3858321031582,7.76342381670493,13.2658642459345,10.9542227860913,9.74607547490464,12.0010388863932,8.7212496349481,14.2467711607943,13.457114368031,7.61865170435046,7.6140504548383,"septic shock"
"GSM3816567",7.04805291742234,9.78312121093152,7.33496363499396,12.1159871635609,11.2044709273656,9.32430095382881,14.3497944673409,9.34214176537815,15.0512200090559,14.2557778089453,7.90341037556389,6.8854564104262,"septic shock"
"GSM3816568",7.36388269922688,9.87938349197147,8.10226625481574,12.5178686403562,10.3256981864808,8.67965090162421,10.6504515259462,8.02748338085808,11.5607374669161,10.7469352769451,8.33452047902768,7.65924342549149,"septic shock"
"GSM3816569",8.20107550555695,12.0446284284442,8.04793339469619,12.6106171149613,10.1134372522557,10.1527549845352,13.850036192267,9.24236355335266,13.8519601530434,13.0314635708816,7.61611061020079,7.2328475272203,"septic shock"
"GSM3816570",7.23957477047768,12.5189376673356,7.56709476077638,13.4489294756233,10.4456372850811,8.95581672938706,12.781613060336,8.83886643179182,12.7017044462785,12.2478595489063,7.12140770002685,7.46637978338897,"septic shock"
"GSM3816571",7.24366365959693,11.3703728049992,8.59035971567151,13.0621426749469,11.1206257002898,9.29547900601259,12.1377224903298,8.51475872531966,12.0810538671832,11.0379357038416,8.77058284633356,7.77536898359759,"septic shock"
"GSM3816572",7.09996430451862,9.79872717553365,8.12028082400005,12.291624243191,10.0479122348005,8.64746713625097,10.6462960155093,7.89157869372536,11.3660410258636,10.4121141890737,8.33083642139547,7.90311641186977,"septic shock"
"GSM3816573",7.19572053234381,9.9802809819243,8.28860306303745,12.4310158679135,9.49364764645573,9.80176691762568,11.1282459814794,8.16057887727846,12.0438178926398,11.1347943672752,8.03347857050281,7.70360668438882,"septic shock"
"GSM3816574",7.51582665849878,11.3728691034012,8.05754580266437,13.2414332306485,11.2461981612086,9.88280944465134,12.5971258656028,8.43893689833176,13.6483309906126,12.6496785655875,7.88482835310022,7.56644334663124,"septic shock"
