"Sample","S100A9","S100A8","S100A12","HMGB1","S100A12.1","Label"
"GSM3816639",17.0573584229909,18.6076419152064,17.1923699451205,11.6124948089964,16.7110740888771,"septic shock"
"GSM3816640",16.5778063681461,17.566535235278,16.2966322192722,12.1036142489139,15.5022742949282,"septic shock"
"GSM3816642",17.4623712985729,18.0138139426404,17.5462049186778,11.8571751873077,17.1347059366668,"septic shock"
"GSM3816649",17.5049628044254,18.525294851778,18.3694270724536,13.4910906613639,18.2537099454308,"septic shock"
"GSM3816650",16.4933196036374,18.0965004222735,16.8257860574528,13.4307170027791,16.3537313523733,"septic shock"
"GSM3816651",17.5462049186778,18.6076419152064,18.3694270724536,13.192328507456,18.3067041262992,"septic shock"
"GSM3816653",17.34497999802,18.2537099454308,17.6338537008176,11.7501217999771,16.9573478242884,"septic shock"
"GSM3816654",16.7874271772583,18.0500108735279,16.7686989460133,11.9113917693628,16.1043934872049,"septic shock"
"GSM3816655",17.4398291778528,18.525294851778,17.7768068593388,12.1026920939485,17.4623712985729,"septic shock"
"GSM3816656",15.9467298347599,17.2420655684169,16.0892217488368,12.1533982524736,15.6958200120989,"septic shock"
"GSM3816657",17.1639713229962,18.6895942273387,17.7272966446493,12.1013184034047,17.5462049186778,"septic shock"
"GSM3816658",15.9613542770148,15.8699386612494,14.7007013983581,11.1781222031502,14.2396899674529,"control patient"
"GSM3816659",15.4413600974197,15.7993931087394,13.3389588149015,11.3833067866101,11.8070449000162,"control patient"
"GSM3816660",15.6281229684772,15.9889399131607,13.4878338675832,11.6188464313037,12.9355574699991,"control patient"
"GSM3816661",16.0453165636597,16.2430931792266,13.6614756369358,11.5515686596077,13.3389588149015,"control patient"
"GSM3816662",15.5313948189123,16.0311984907244,14.0470462064706,11.3362133122111,13.275381189776,"control patient"
"GSM3816663",14.6980997092918,14.5397840982645,12.1831510217276,12.2228567534981,11.4523186077296,"control patient"
"GSM3816664",14.9724020492427,14.8223422456719,13.3468261925637,11.3029813644499,12.6397087591925,"control patient"
"GSM3816665",15.8445548835208,15.9323148503257,14.2489087865481,11.5308784000001,13.7832070981349,"control patient"
"GSM3816666",16.1969683589218,14.590225403291,13.6687485526314,11.5435105425267,13.1895887980614,"control patient"
"GSM3816667",15.9014335732453,16.0171941518922,13.5461559041719,11.5247861621688,13.1979487196591,"control patient"
"GSM3816668",15.6495550689745,12.2617590234381,12.8850778019325,11.7720369965095,12.5981205103066,"control patient"
"GSM3816669",16.0023522560897,15.9613542770148,13.0558935505164,12.887595038262,12.6286318988588,"control patient"
"GSM3816670",15.9745697296639,15.8121647555907,14.2768181371531,11.8556126642061,13.7534502242342,"control patient"
"GSM3816671",16.4607437183853,16.4036464283815,14.8163285596988,11.6648042909407,14.3778575776047,"control patient"
"GSM3816672",15.023276907738,15.019615071723,12.8571193457844,11.5450031815084,12.2153445774882,"control patient"
