"Metric","Mean","SD"
"MCC",0.961057878212451,0.102862552122805
"F1",0.966571428571429,0.092586908366718
"AUC",1,0
"TPR",0.95,0.13710981778281
"TNR",0.998333333333333,0.0166666666666667
"PPV",0.9975,0.025
"NPV",0.979285714285714,0.0556487571129198
