"Sample","IL8","CCR2","IL10","HIF1A","ITGAM","TREM1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IL6","BCL2","CALCA","TLR4","ELANE","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.1","IL1R2.1","TLR2","CCR2.2","IL1B","CCR2.3","SOCS3","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","PTX3","PDCD1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4","SOCS3.1","HLA-DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.2","CCR2.4","VCAM1.1","NLRP3.2","VCAM1.2","BCL2.3","PLAUR.1","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM1206470",13.86294243,3.642863837,3.715486976,6.737450864,6.731016627,9.485945751,13.14423667,10.15690028,10.2907728,7.824174175,5.766469656,10.41713987,3.321928095,3.321928095,6.402278688,5.379605368,8.772591035,11.60352164,13.87342438,3.346321482,9.889663073,7.98938641,12.44875228,3.321928095,3.321928095,3.321928095,8.453256979,10.97091001,4.571447435,8.878460045,13.14965473,3.321928095,7.653940665,7.924525242,3.321928095,3.321928095,5.517849066,7.234205014,6.661028425,5.145862701,13.66730007,4.14631481,6.813702056,6.99955663,4.678918113,3.763179585,8.363687372,7.946805195,7.43114491,7.528913065,3.321928095,3.321928095,6.320598255,3.321928095,10.82996169,7.455791135,4.174742024,4.732704209,13.35794027,5.066550058,14.00505411,6.003916791,7.564638686,7.845799539,3.321928095,3.321928095,8.302425222,3.579372591,4.118037704,11.28063447,8.009472209,3.646686685,13.06915948,5.703353971,10.17482121,"Sepsis"
"GSM1206471",12.60379257,6.625148001,5.215367244,7.791450064,7.167373151,8.759528804,13.19687041,8.648412394,9.523573315,9.071282477,5.148812306,8.661802151,3.321928095,3.321928095,7.633642084,5.817558623,8.227225448,11.38447397,13.79126089,3.321928095,9.38399548,8.237480019,13.05533222,3.321928095,3.68514838,3.321928095,8.592662896,10.71517237,4.484934649,9.461666576,13.55778337,3.321928095,9.455429428,9.164503475,3.321928095,3.321928095,7.383231929,6.98478019,6.983367677,7.461233255,12.88803256,5.80949978,7.55715796,8.245339459,5.084158768,3.558589675,12.8353635,5.070744183,8.351864209,9.235408181,3.321928095,4.316356717,6.783747999,3.44370224,11.62038763,7.589516308,8.529692744,4.471085906,13.40086362,9.564125953,13.36750259,8.094846676,7.474646141,8.699459662,3.592632928,3.72080727,7.894859937,3.321928095,3.765817596,10.13858452,8.729585101,4.713432845,12.78588922,5.815633109,9.378802046,"Sepsis"
"GSM1206472",12.66962928,5.877272843,3.321928095,7.098366557,6.833870005,8.458951792,13.36151499,8.817071214,9.82999442,7.519078492,5.406383612,9.795787034,3.321928095,3.321928095,6.498761003,4.804682161,8.120654838,11.8009811,13.76792592,4.289125611,10.45502127,8.570094421,12.83910152,3.321928095,4.064015625,3.321928095,8.542611869,10.07829619,5.355920749,9.439312563,13.43312858,3.321928095,9.678298215,8.124541093,3.321928095,4.596112676,6.906567363,6.256926569,5.998943002,6.976374629,13.1632743,5.677713061,7.569642719,7.622652042,4.90665502,3.899284363,13.00873801,7.143770455,7.552687376,9.040652124,3.321928095,3.321928095,7.096290481,3.321928095,11.03916367,7.90760948,4.320648597,5.127058305,13.45052565,8.520554637,13.47434099,8.203913859,7.318906741,7.963346351,3.635560409,3.321928095,7.986703512,3.321928095,4.335664843,10.57266955,8.148303728,3.321928095,12.61950153,5.800664586,9.485220316,"Control"
"GSM1206473",11.02417816,7.692877255,5.906713338,8.194572197,7.51419608,9.132528782,13.02980962,9.55800341,9.680930058,7.754745446,4.609505958,8.680516101,3.321928095,3.321928095,7.419322941,5.008524212,8.189728545,11.76241108,13.88811555,4.978056995,9.175313467,8.47193835,13.49180541,3.321928095,4.16567084,3.321928095,9.035231294,11.88190222,4.441320978,9.753610941,13.69447461,3.321928095,7.344385605,9.063869124,3.321928095,3.321928095,8.480265455,8.123632949,6.901413498,8.464530149,12.64919929,7.048204827,8.922372755,7.859788688,5.528296123,3.321928095,10.48622812,5.002754753,7.457062831,9.045272086,3.321928095,3.740665548,6.146018858,3.321928095,11.06130341,7.414040411,5.002109998,5.134448325,13.11720471,9.33471901,12.2036062,9.211108864,7.83999329,7.812821512,4.812050047,3.321928095,7.742738997,3.321928095,3.321928095,9.973264446,9.338166584,3.791079125,13.65860692,4.935183464,8.817660236,"Sepsis"
"GSM1206474",13.86058195,5.238759121,5.639055246,7.733693788,6.59423829,8.469914296,13.47434099,8.326906981,9.852698113,9.36311052,5.904551872,12.03919811,3.321928095,3.321928095,7.583689907,5.675025873,8.822728459,11.56266307,13.86982262,4.108147781,10.86975717,8.260863553,12.72400913,3.321928095,4.118037704,3.321928095,8.785483153,9.50598176,5.403103569,9.315387338,13.26365764,3.321928095,9.516792606,8.852996581,3.939315819,4.58989415,5.864251591,6.092554151,5.977629397,5.817962475,13.89246064,4.090078176,8.192365058,7.511603104,4.888337155,4.010225319,12.84845936,6.442293693,7.946241912,9.490512235,4.205565664,3.865178561,7.382296155,4.374239313,10.93781293,8.374188088,7.636386502,5.756189655,13.61932479,7.981040195,14.00505411,7.635451628,7.237444337,8.357955815,3.466117532,5.451259033,8.36577569,3.321928095,4.034708564,10.9055474,8.464144864,3.625551343,12.18322358,5.979771401,9.974204534,"Control"
"GSM1206476",13.86294243,5.064894317,6.97946024,8.148961361,6.681068536,9.247904052,13.43312858,8.404189492,9.640787725,9.119340567,7.147627692,13.3043219,3.321928095,3.321928095,7.946805195,5.66004148,9.766197233,11.48601331,13.78510478,3.771107613,11.72083343,7.833452129,12.31180198,4.097647243,3.321928095,3.321928095,8.203451753,9.376435926,3.682977546,9.088528696,12.97047315,3.321928095,9.653695173,8.952121643,3.644517171,4.440316495,5.400272053,7.918563161,7.197412918,5.919552389,13.80991608,3.755280415,8.642449688,7.960857996,5.440241037,4.207131079,13.34341348,5.698493987,8.544575268,8.636908392,4.926760915,4.29996555,7.936467411,4.919647743,11.31390464,7.283592768,8.232114307,6.1715452,13.55493595,8.86026761,13.99792779,9.025985292,7.434704123,8.882706594,3.524553534,5.207052889,9.288199992,3.321928095,4.153958432,10.98587331,8.852290239,3.970551777,11.79468806,5.938264379,10.36623823,"Sepsis"
"GSM1206477",13.86615537,4.323602921,3.435732992,6.964626814,7.165489997,9.883389375,13.05533222,10.45202278,9.974992914,7.682019452,5.82712747,9.876797474,3.321928095,3.321928095,7.02567728,4.974342597,8.991220457,11.44544111,13.75781888,3.321928095,9.574291414,7.955639534,12.15897464,3.321928095,3.321928095,3.321928095,8.080923188,11.38913721,4.17656138,9.975858906,13.23140982,3.321928095,7.233786646,7.688280894,3.321928095,3.321928095,5.612771496,7.08376366,6.712365826,5.407839366,13.76131325,3.574778919,6.619971437,6.596983158,3.321928095,5.13867535,8.324475256,7.139794577,7.234687662,7.146852259,3.493342151,3.321928095,7.015460591,3.321928095,11.22704069,7.499311437,3.327292523,4.784623631,13.44229139,3.321928095,14.11029923,4.846033142,8.080432944,7.909161308,3.604099548,3.321928095,8.541563431,3.321928095,3.321928095,11.12415248,8.6323093,4.102134346,13.13517209,5.083892722,10.12078381,"Sepsis"
"GSM1206478",13.69118449,5.35691274,5.641302106,7.90760948,6.828879197,8.398492566,13.58215415,8.256582101,10.30571899,9.672585135,6.455377118,12.70671168,3.321928095,3.321928095,7.914016458,6.317986236,8.901457121,11.82029817,13.85344512,3.380582367,11.35860693,8.027747126,12.54612565,3.321928095,4.209348201,3.321928095,8.617208042,9.800287765,5.655624777,8.767145608,13.21853438,3.321928095,10.11275036,8.803271434,3.321928095,5.848314527,6.186413804,6.31229152,6.468847718,6.259042122,13.99792779,4.006257467,8.35368962,7.126410518,4.629076389,3.321928095,13.23140982,6.866158953,8.237480019,9.541275842,3.831989296,3.87665864,7.675642163,4.13991417,10.65553265,8.902146459,7.226938276,5.675728921,13.69447461,8.618892568,14.11029923,8.711381977,6.718632452,8.881063588,3.551080064,5.559676673,8.689009395,3.321928095,5.072038628,11.30964419,8.049220105,4.014716591,12.19321542,6.72771504,10.64592049,"Control"
"GSM1206479",12.30476716,7.030403118,5.049395124,6.548877793,7.62559251,8.696460208,13.13517209,9.940094203,9.805304093,7.755188116,5.215718643,7.642763151,3.321928095,3.321928095,7.019555111,5.157833762,8.210396974,11.68415946,13.77496839,4.086129345,9.027921591,8.238426224,13.31775374,3.321928095,4.536929491,3.321928095,8.725550712,11.60919617,5.234738736,9.310645463,13.89992537,3.321928095,8.406652235,7.98015629,3.321928095,3.321928095,8.051800325,7.380435928,6.899685669,8.330667096,12.64919929,6.860410766,7.252944217,8.14310794,5.365794345,3.321928095,10.77137594,5.830612068,7.574009084,7.442878405,3.321928095,3.533849831,6.491667602,3.321928095,10.47398058,7.932272783,4.966727441,4.456089255,13.34341348,7.956985097,13.08984408,6.46361517,7.254353582,8.114129728,4.349096375,3.321928095,7.960457671,3.321928095,3.321928095,10.3535745,7.232642651,4.74304551,13.42804219,5.519640954,9.31310304,"Sepsis"
"GSM1206480",13.61614951,5.346109828,5.152792835,7.177013256,6.287410125,7.993585139,13.55169159,7.689337237,9.852698113,9.627268047,5.913341864,12.26493207,3.702910799,3.321928095,7.697001664,5.748249067,8.76265321,11.78307555,13.90415513,3.321928095,11.38213072,8.07147384,12.7783304,3.321928095,3.59062671,3.321928095,8.689601857,9.36311052,4.802897212,8.620206068,13.27804654,3.321928095,10.33830843,8.500776464,4.497123178,5.72852145,6.063022532,5.69709826,6.079373423,6.417110703,13.84621986,4.704140709,7.712163323,7.449839663,4.564423549,3.321928095,13.41892007,6.230225767,8.36577569,9.89059164,3.321928095,4.328706249,7.104207682,4.443718197,10.47691824,8.355309313,7.667218933,4.92424821,13.75781888,9.237694342,13.95898877,8.75481919,6.809136674,8.874128492,3.321928095,5.408958037,8.350907245,3.321928095,4.756003983,10.76731404,7.640707175,3.428723433,11.79821118,6.398838509,9.748955754,"Control"
