"x"
"CALCA"
"CRP"
"LBP"
"IL6"
"S100A9"
"CXCL10"
"IFNG"
"IFNA1"
"IFNA2"
"IFNB1"
"CCL19"
"CCL25"
"CCL2"
"VCAM1"
