"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.968958377471017,0.993564464247237,1,0.992,0.98,0.995413105413105,0.971785714285714
10,0.963745893489699,0.992308083233293,0.999733333333333,0.9888,0.983333333333333,0.996138461538462,0.96047619047619
20,0.966486321595233,0.992927869609382,0.999866666666667,0.99,0.983333333333333,0.996166951566952,0.964761904761905
30,0.953077231018588,0.990369583217903,0.999533333333333,0.9892,0.965,0.991977777777778,0.96202380952381
40,0.967757863718231,0.992854141656663,0.9998,0.9884,0.99,0.997692307692308,0.960714285714286
50,0.96434607333964,0.992528331332533,0.9997,0.99,0.98,0.995353846153846,0.96452380952381
