"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,0.994565217391304,1,0.875,0.985714285714286,1
0.860507246376812,0.985507246376812,0.994565217391304,0.985507246376812,0.875,0.985507246376812,0.875
0.928708781050335,0.992805755395683,0.985507246376812,1,0.875,0.985714285714286,1
0.928708781050335,0.992805755395683,0.996376811594203,1,0.875,0.985714285714286,1
0.853740733148313,0.985714285714286,0.984601449275362,1,0.75,0.971830985915493,1
0.853740733148313,0.985714285714286,0.992753623188406,1,0.75,0.971830985915493,1
1,1,1,1,1,1,1
0.803473635250335,0.978102189781022,0.980978260869565,0.971014492753623,0.875,0.985294117647059,0.777777777777778
1,1,1,1,1,1,1
0.881369158867553,0.985294117647059,1,0.971014492753623,1,1,0.8
0.928708781050335,0.992805755395683,0.996376811594203,1,0.875,0.985714285714286,1
1,1,1,1,1,1,1
0.853740733148313,0.985714285714286,0.989130434782609,1,0.75,0.971830985915493,1
0.928708781050335,0.992805755395683,0.990942028985507,1,0.875,0.985714285714286,1
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,0.998188405797101,1,0.875,0.985714285714286,1
0.928708781050335,0.992805755395683,1,1,0.875,0.985714285714286,1
0.853740733148313,0.985714285714286,0.964673913043478,1,0.75,0.971830985915493,1
1,1,1,1,1,1,1
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
1,1,1,1,1,1,1
0.803473635250335,0.978102189781022,0.990942028985507,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.928708781050335,0.992805755395683,0.996376811594203,1,0.875,0.985714285714286,1
0.928708781050335,0.992805755395683,0.992753623188406,1,0.875,0.985714285714286,1
0.928708781050335,0.992805755395683,0.990036231884058,1,0.875,0.985714285714286,1
0.803473635250335,0.978102189781022,0.98731884057971,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.860507246376812,0.985507246376812,0.988224637681159,0.985507246376812,0.875,0.985507246376812,0.875
0.773923984208613,0.978723404255319,0.998188405797101,1,0.625,0.958333333333333,1
0.860507246376812,0.985507246376812,0.998188405797101,0.985507246376812,0.875,0.985507246376812,0.875
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,1,1,0.875,0.985714285714286,1
0.853740733148313,0.985714285714286,0.998188405797101,1,0.75,0.971830985915493,1
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,1,1,0.875,0.985714285714286,1
0.881369158867553,0.985294117647059,1,0.971014492753623,1,1,0.8
1,1,1,1,1,1,1
0.853740733148313,0.985714285714286,0.989130434782609,1,0.75,0.971830985915493,1
0.853740733148313,0.985714285714286,0.980978260869565,1,0.75,0.971830985915493,1
0.773923984208613,0.978723404255319,0.983695652173913,1,0.625,0.958333333333333,1
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
0.928708781050335,0.992805755395683,0.985507246376812,1,0.875,0.985714285714286,1
0.78065375798434,0.97841726618705,0.980072463768116,0.985507246376812,0.75,0.971428571428571,0.857142857142858
0.860507246376812,0.985507246376812,0.990942028985507,0.985507246376812,0.875,0.985507246376812,0.875
0.860507246376812,0.985507246376812,0.992753623188406,0.985507246376812,0.875,0.985507246376812,0.875
0.803473635250335,0.978102189781022,0.971920289855073,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.853740733148313,0.985714285714286,0.970108695652174,1,0.75,0.971830985915493,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
0.853740733148313,0.985714285714286,0.994565217391304,1,0.75,0.971830985915493,1
