"Metric","Mean","SD"
"MCC",0.906367765429214,0.0717815364873165
"F1",0.99025019788837,0.00735232050592237
"AUC",0.993650362318841,0.00871238626586131
"TPR",0.992608695652174,0.0106030368733353
"TNR",0.895,0.107661084384791
"PPV",0.988055914343692,0.0121087346287096
"NPV",0.942193362193362,0.0796718203974534
