"Sample","OLFM4","NLRP3","CCR7","MAPK14","CX3CR1","ELANE","FCGR1A","GATA3","HIF1A","HLA-DRA","HMGB1","ICAM1","IFNB1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LBP","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL19","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","CALCA","TNFSF10","SOCS3","CD14","Label"
"GSM4683512",6.17437505373336,9.88970745868969,12.5833656510466,12.5228587400564,12.22693477874,6.63514144166648,9.59106329368772,10.0613504811213,11.5027187267172,14.7272895227004,12.7872135802328,10.1440508001343,4.340109676233,5.961556999608,10.9638386545166,5.55513140826922,9.40448962513157,5.35240062667036,6.17437505373336,12.6027693882183,7.89618168920992,4.71630884351383,7.66252537544712,7.05514795917951,11.3384235061776,12.9790928005382,12.8248791572984,9.7585317687119,7.01614618730946,11.3268014119888,13.097922694602,9.05744158189515,6.62461320893694,11.5617488354947,13.518749473935,16.2922744470335,10.6436388965446,5.17212381458072,4.340109676233,4.80021183621344,12.9892037370871,12.7236441410656,8.60681113814868,9.79048793032989,13.8037700801392,11.9755339039289,4.340109676233,10.5752075247289,4.340109676233,12.6038932571384,11.0322275999321,12.9810712385538,"Healthy"
"GSM4683513",6.62009954574829,10.198258507528,11.8044710685581,12.5349774423856,12.7308742460983,6.69882237209808,9.79570501207322,10.0131024609864,11.4299693518093,14.2445422424544,12.796620320692,10.3869862684305,4.73319638435461,6.66565220343661,10.7014251282732,4.340109676233,9.08427010129396,4.82080453559304,5.65955048734993,12.8313258502078,7.59018531440805,4.340109676233,7.9115622822195,7.20370258263398,11.7949811185606,13.0151200066291,12.9129774694366,9.51292564011017,8.51640031894303,11.4674525725678,13.0552916423495,8.22206687258584,6.13379046002989,11.1438968056537,14.1871927123538,16.5649170305555,11.3611050389724,4.73319638435461,4.340109676233,4.340109676233,13.2272035815021,12.6934687701479,8.8173424425956,8.969039085966,14.1716050717793,11.7066394752923,4.89432528971386,11.1072603968252,5.0168424502674,12.4848331009757,10.4907673557088,12.7520698962597,"Healthy"
"GSM4683514",6.68079806703011,9.30249251010999,12.7464855364866,12.3718152835787,12.5665531581306,7.08119890679632,9.09102146335071,10.1114634228769,11.5102921198768,14.0343727888578,12.4058700511074,9.91001772821909,4.340109676233,5.580759206373,10.6953526021269,5.48891156591245,7.71794089183566,5.23046686384517,5.23046686384517,12.8365543725908,7.83419216364447,4.340109676233,8.72011304368775,7.69574032000088,12.0112657917547,12.9533991284683,13.323696189543,9.6687287925083,7.70688411924893,11.2241930137844,12.5357390897129,7.12391638238431,6.24211285699302,11.3221124719584,12.6642860982324,16.0996139444839,11.0114052650261,4.83315162592058,4.340109676233,4.340109676233,13.1301027598997,12.6961383696673,8.19916311505983,9.8601928448104,14.0973304642623,11.3153666326917,4.340109676233,10.4829954611523,4.90851654785933,12.3064202382707,10.7228037933065,12.8188576712526,"Healthy"
"GSM4683515",5.88301854725409,10.1519188464758,12.5778582673411,12.618662061839,12.6860630846997,6.29769300544773,8.83409578147941,9.73770539440336,11.8209172958387,14.5396642169852,12.2416075938126,10.1768200742788,4.340109676233,5.39479723716301,11.0339948073171,5.35168333083654,8.3314152900922,4.95795215212351,5.61854843035468,12.8534896431965,7.51196934758282,4.340109676233,7.19117397647886,6.81106110592706,11.7265215810632,12.9306130374597,13.5637884673417,9.67081255236353,7.28298595042331,11.4629793834504,13.4605317322674,7.42641517945254,6.18133745142615,11.2091320870255,12.8065995222439,15.9621033132715,10.4127074614562,5.47532581670547,4.340109676233,4.77864621354843,13.1485215960173,12.6786124424349,8.20284738066456,8.65289610109683,14.4657776326743,11.531677381473,4.77864621354843,10.8045027214076,4.65079634163271,12.4919078560261,10.5917689806143,12.7899844499743,"Healthy"
"GSM4683516",7.91272289130638,10.1965059404452,12.5211876984685,12.7929877896666,12.5487947954242,6.56964760110503,10.4460237960509,9.66609283416921,11.5032915566363,14.6080876219832,12.571499348023,10.5750502195538,4.340109676233,5.91366054266601,10.9106730032671,5.09273168177106,9.01273016196255,5.23546210661928,5.77515148026073,13.0124965706332,8.03815642410363,4.340109676233,8.8806752905268,7.90297657280853,12.0151810102738,13.2308015297804,13.165017427852,10.1275226800706,7.73168526946558,11.4602220521132,13.4033137841323,7.95577350242895,6.71515184168076,10.9893814552787,13.3402857703932,16.5619459923607,11.6705471470703,5.09273168177106,4.62733612740031,4.62733612740031,13.4157019105155,12.756676627302,8.6566139180738,9.17451637881152,14.1589185760904,12.0772709284754,4.340109676233,10.5450269399052,4.74564395958429,12.6471776914538,11.417102394875,13.0161481940294,"Healthy"
"GSM4683517",6.28207337811901,10.451857454471,12.6505118335597,12.4862298496314,12.6922193725497,6.06806233139938,8.45580445685111,10.2557882289547,11.2541689532046,14.4917902566768,12.1494090034388,10.1203783667011,4.340109676233,5.16736729707622,10.003360490158,4.61922010652459,7.55560119374237,5.01858488897063,5.29117010940255,13.0734142627121,6.49084087550651,4.340109676233,7.53778980242898,6.85869827322689,11.5256481995068,13.0980220732012,13.2162863683688,9.79923360893606,7.61339840399624,11.3379321628591,12.7398292743854,6.72561168456617,6.71480784204183,11.4033912510709,12.3016766728941,15.5561135169471,10.213898712389,5.16736729707622,4.340109676233,4.340109676233,13.0514841792641,12.29142704772,8.36855722535918,9.18296324447921,13.9626655631519,11.9369645067994,4.89576076582565,9.95220725878079,4.340109676233,11.9883622755893,10.0763318842729,13.3643860088633,"Healthy"
"GSM4683518",6.7154893106149,10.0107301092142,11.9011191765458,12.8956521108903,12.8446251045428,6.90730928054269,9.08211177256023,9.55647699566826,11.7364924480313,14.4312648325084,12.1226104042726,10.4807676684499,4.340109676233,5.39922064991523,10.758766394702,5.1214758189401,7.54456178549998,5.39922064991523,4.89595234768126,13.1763674558894,8.16951136364223,4.340109676233,8.56824893204119,7.32612350574678,13.4793600338174,13.5431052277862,13.4976994571842,9.55939211733497,7.86763371222461,12.1166896120974,13.4290845623413,6.86912266464742,6.77905741284149,11.0816229518476,12.7766299135454,16.2481646371262,10.4998513952388,4.340109676233,4.7343574163955,4.340109676233,13.2870462899241,12.6244715622604,8.83242857657036,10.6583970143805,14.8928967640211,11.7802241946545,4.340109676233,10.7770276980877,4.340109676233,12.4164965395473,9.8063426610494,13.3657011509704,"Healthy"
"GSM4683519",7.62918494550487,10.4291129684832,11.6767282608965,12.7588457440165,12.5207098842391,7.82050583711431,9.74927439573681,9.71595853876691,11.7098770356977,14.7380363218531,12.7549234586206,10.3169682471361,4.340109676233,5.94657632291693,10.7947501066149,4.98314960569829,7.93669270952986,5.36396321332876,5.53580055464225,13.1918071051839,8.42142574077285,4.340109676233,9.58213828482202,9.16914688269063,12.2608185510401,13.1653264886988,13.2418919182037,9.75611930091233,7.37933137872899,11.379039127918,13.2506381964947,7.25131426803236,6.84115150129373,10.9108933673848,14.8360494016764,17.2661559350115,12.3183424723831,4.83983763825106,4.62958644860693,4.91619981568341,13.0404541956209,13.1506041930026,8.22946061414113,9.79784710626907,14.2740372879138,12.2644218036675,5.32531435167921,11.0223556769997,4.62958644860693,12.6672723419527,10.4671410392585,13.3369007776374,"Healthy"
"GSM4683520",6.17913605158607,10.3592351797072,12.3632891206113,12.8060505567088,13.0010617333152,6.64074427949439,9.85828679515038,10.3484816588322,11.572741825507,14.6545259507958,12.1176929221202,10.5115978518427,4.340109676233,5.77046335663347,10.5925916757074,5.17450204267241,8.35595335793175,5.28765519000747,5.58432015621362,13.1654049598613,7.09184410268031,4.340109676233,8.1930739888044,7.11426001992836,11.7672090064393,13.2487114082827,13.4222451530391,9.87551461287929,8.38641712603754,11.6239505877519,12.8665094894661,5.4478214335739,6.20886383757178,11.3202744664229,12.6916134970608,15.9799695060778,10.3835176333368,5.17450204267241,4.340109676233,4.80155200903013,13.0608524037821,12.7207872595202,8.38339974760508,10.0363775414368,14.5045740778352,11.7718147512618,5.35525750025709,10.7537804043903,4.87219079581317,12.2334502126418,10.8494889539918,13.5406555894394,"Healthy"
"GSM4683521",6.54894128359011,9.97161774015777,12.5080108941615,12.6206481255373,12.6938484001697,6.40148189112277,9.27766431097017,9.90608651571762,11.5575482578904,14.5200808377681,12.4569088137084,10.5356284221212,4.340109676233,5.26566966461201,10.3541736630725,5.1000373487211,8.113530485524,4.88052827545623,4.88052827545623,13.0218618427781,7.82676642731623,5.00009113242061,8.22918443571213,7.41864130074344,11.3802043391591,13.282291493496,13.3339250136175,9.88758534950458,7.18500360028021,11.4090944296572,13.2426105491209,8.113530485524,6.30697205630615,11.2478626405801,13.6269562728453,16.3504766757514,10.5557520697222,4.94344847928139,4.340109676233,4.340109676233,13.3121679143181,13.0077025669201,8.54002793743805,9.5593426602495,14.1838505422311,11.7471797164652,5.1000373487211,10.6873784636631,4.340109676233,12.5829444595269,10.4966739612578,13.1748095147216,"Healthy"
