"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","BCL2","BCL2.1","IL1R2","GATA3","GATA3.1","IL10","BCL2.2","BCL2.3","MAPK14.1","MAPK14.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","MAPK14.4","HIF1A.7","GATA3.2","MAPK14.5","Label"
"GSM1602927",10.11177424,10.33522276,6.877163035,7.902392576,4.228664569,8.809055716,4.456674765,9.443630953,2.224448948,2.133869343,12.55072094,4.84619726,2.29467932,2.806469995,2.163531252,2.863348854,8.419428645,8.56509057,4.749490387,4.840558911,7.411034194,7.251377059,9.534918128,8.288715308,8.287758634,7.77634962,8.124728689,3.256755074,10.23818933,"Sepsis"
"GSM1602928",10.50634454,10.61049533,6.881500882,8.091307883,3.149404313,8.824794966,5.043819814,8.997525085,2.375802863,2.378109817,12.2768426,3.763034271,2.410728437,3.15163229,2.811848419,2.035916455,7.412572555,7.894221622,5.076493859,5.44598132,7.587299855,7.554097298,8.729219879,8.615415522,8.507785514,7.13919807,8.413863855,2.265099526,9.619210384,"Sepsis"
"GSM1602929",10.0856032,9.384289433,5.554162265,6.696575939,2.974438895,7.320768309,4.594014457,9.592057598,2.450925476,2.210024953,12.41183386,3.871817315,1.866387819,2.626464759,2.831336812,2.873627785,7.562492901,8.122436562,4.631211181,5.135597794,5.871127627,6.173249278,9.206448861,6.994856517,7.125794736,7.435784632,6.859200654,2.161090642,9.729137264,"Sepsis"
"GSM1602930",9.539913497,8.74433863,4.916855793,6.290268795,2.349064483,3.923340647,4.54716741,9.058237476,2.98642118,3.063639881,11.43974367,4.233131938,2.424454342,2.320752253,2.515549886,2.237259922,7.358005707,7.060864791,4.393225295,4.491113397,5.808792746,5.28690497,8.237863788,6.006166426,6.597454846,6.147103706,6.336583906,2.317772298,9.341060152,"Sepsis"
"GSM1602931",8.757884764,9.052762228,3.78441737,5.103527147,2.750009934,6.11860494,3.507646152,8.607287462,4.085809691,3.230115042,8.070858524,4.394938907,2.346096406,2.661044808,2.726798118,2.653230325,6.39972607,6.516654463,3.569517524,4.321475409,4.390337757,4.734431592,7.702360724,5.687891939,6.255396553,5.768687822,6.356547659,2.916158793,8.429053944,"Sepsis"
"GSM1602932",10.32611949,10.24534753,6.249712944,7.490279871,3.053773368,8.583799849,4.56136445,9.171820377,2.462541514,2.151864432,12.5002185,3.502729016,1.983407052,3.072826379,2.670880778,2.195814154,7.601630638,8.1139477,5.025517671,4.833251168,6.816380435,6.696232892,8.953935764,7.913220401,7.912490379,7.416993512,7.64744355,2.516018809,9.144985013,"Sepsis"
"GSM1602933",9.558146887,8.852683575,4.873186629,6.282546104,2.472150849,5.428224947,3.766908273,8.666791485,3.05412148,2.479155234,11.67047266,4.003433841,2.610285795,2.131210676,2.751680188,2.245700799,6.733751015,7.045819601,3.399102249,4.038003359,5.051165139,5.103966518,8.433447662,6.566998945,6.338806969,6.428731356,6.515574823,2.616224726,9.442199072,"Sepsis"
"GSM1602934",10.06086462,9.814263723,5.626552626,7.500264256,2.462497975,7.97265643,4.831339369,9.23012704,2.771798437,2.455208301,12.31564436,3.885954,2.316837413,2.687244157,2.693388907,2.324366768,6.446070112,6.851304057,4.645941807,5.062654932,6.718589215,6.409510525,7.804071301,7.843445554,7.636499235,5.912366295,7.596859309,2.643393935,8.443027359,"Sepsis"
"GSM1602935",9.033973079,8.358234575,4.260031609,5.48485801,2.510406324,6.185407046,3.255660252,8.458564999,2.397004685,2.421576452,8.989923237,3.444730096,2.273982704,2.125974709,3.348472116,3.828517797,6.389050816,6.340382154,2.685392486,4.538532862,4.369560274,4.332675819,7.607204947,5.875176505,5.851844399,5.531963646,5.790652793,2.685488613,7.946470138,"Sepsis"
"GSM1602936",9.93556751,9.249928565,5.325221619,6.497808262,2.495284166,7.641342934,4.030358457,8.721509121,3.485394359,3.6899456,12.08999986,4.211233513,2.51237136,2.881124269,2.547873195,2.265177693,7.096598785,7.42080747,3.75633258,4.69063553,6.005811655,5.937600374,8.372031821,6.987944292,6.952850345,6.422076242,6.802836255,2.62125942,9.318432259,"Sepsis"
"GSM1602937",9.170755729,8.473329455,4.467361403,4.925880269,2.525472988,5.96816142,3.819196924,8.859293247,3.154324756,3.314855438,9.927858173,4.650619252,3.065608443,2.526797095,2.745555189,3.415687497,7.201735292,6.746210314,4.111888548,4.649245139,3.905576978,4.409451709,7.747293204,5.662813189,6.149957463,5.603939509,5.846603541,2.749658352,9.035794712,"Sepsis"
"GSM1602940",9.964360099,9.628662361,5.873988716,7.677022188,3.212917003,8.06819815,5.116557589,9.009727792,3.385203518,2.238528706,11.99384793,4.479999362,2.171676001,2.513767513,2.946856452,2.434673872,7.207099159,7.578554779,5.126063319,5.289641895,7.126467974,6.538954122,8.460415409,7.277148428,7.454749227,6.810441128,7.533836396,2.572238956,9.460935084,"Sepsis"
"GSM1602942",9.911367716,10.30447473,5.774581931,7.094504682,2.233294967,6.243922439,4.749903732,9.711417705,2.226284145,2.504914688,12.14172034,3.728961309,2.099147992,2.304764383,2.54239122,2.677184574,7.800623558,7.222387556,4.380683942,4.94092832,6.367676872,6.359575141,8.290250224,7.429301581,7.622925183,6.495244825,7.236131212,2.479323967,9.238341739,"Sepsis"
"GSM1602943",9.904590541,9.829652793,6.077179235,7.378997662,2.797283549,7.282188931,4.146182124,8.746671931,3.418614055,3.488960824,8.824387241,4.799068034,2.771908728,2.362276745,2.417793861,2.588517497,6.876363407,6.940909495,4.424569594,5.014166727,6.667646941,6.722876418,7.792863676,7.780709622,7.752607156,6.044712571,7.647776768,3.477430904,9.217035364,"Sepsis"
"GSM1602944",8.757562755,8.393384968,4.260501434,5.076726571,2.477123738,3.53242438,3.641653643,8.733147373,2.247510461,2.104646499,9.666710052,4.436988569,2.605674984,3.52228342,2.709791293,2.463585489,7.062896242,6.066988685,2.755655918,4.672190581,5.150616571,4.383163429,7.084574408,5.514847658,5.514670547,4.576637576,5.620327998,2.309815351,9.144425697,"Sepsis"
"GSM1602945",9.36133884,8.680763751,4.178612044,5.505217607,2.554399165,5.285640813,3.750040806,8.896788805,2.813171869,2.805165016,10.93615592,4.156760926,2.411112639,2.217967106,2.462527475,2.319280894,7.441787293,6.882523988,2.838673476,4.047861478,4.430658719,4.974763195,8.131519976,6.296742731,6.316970312,6.558915883,5.767234096,2.822689153,9.425607624,"Sepsis"
"GSM1602946",9.654540663,10.4936417,6.257191852,7.636849812,2.815034574,7.185267086,3.65851403,9.15435871,2.812648284,2.705325407,12.24492125,4.131257435,2.71119642,3.00149523,2.789053629,2.316448317,6.907836223,6.716509477,3.572179642,4.569976171,7.169835686,6.982668297,7.691056003,8.251585792,8.069747781,5.614057816,7.975609192,2.490519391,9.451523353,"Sepsis"
"GSM1602947",10.35981804,10.74106686,7.279222114,8.455888737,3.706654778,9.319695047,5.01103973,9.328205277,2.959084159,3.010352608,12.42437142,5.232559414,2.761144925,3.125922417,2.411222274,2.161479909,6.988578169,6.975852524,4.905311,5.565387019,7.777108858,7.754076436,8.752557376,8.907808452,8.805196839,6.092183596,8.702371907,3.159099725,9.836239736,"Sepsis"
"GSM1602948",7.618981324,9.060515647,4.941841443,5.913952278,2.049476537,3.307503729,3.11472672,7.977052085,4.58940015,4.610349371,6.96692686,6.898562558,5.204427089,2.172857319,2.510135239,2.064267123,5.053128234,3.680254596,3.183634588,3.940069078,5.221396259,5.506263543,4.733035965,6.558982148,6.629628809,2.867739966,6.257192844,3.108274621,6.899332706,"healthy"
