"Sample","S100A12","HMGB1","HMGB1.1","HMGB1.2","S100A8","HMGB1.3","HMGB1.4","HMGB1.5","HMGB1.6","Label"
"GSM1602929",12.33507069,3.881684687,5.158214899,7.264277458,12.92239828,6.997347969,7.49565823,6.937753617,2.440109745,"Sepsis"
"GSM1602930",11.23191139,4.132350801,5.175555935,7.463741658,12.40590781,7.086009977,7.744951992,7.251918236,3.171525103,"Sepsis"
"GSM1602931",11.20276663,4.604103517,6.193628233,7.538909311,12.94045134,7.684778109,7.847909759,7.889854595,3.098769559,"Sepsis"
"GSM1602932",12.64250552,6.022882153,7.471792394,8.51720122,13.32095781,8.86424654,8.565790707,8.651260871,3.035903079,"Sepsis"
"GSM1602933",12.54890567,5.115627965,6.831548879,8.073098379,13.15446484,7.86457374,8.305920673,8.039842188,3.053144478,"Sepsis"
"GSM1602934",12.47563909,4.380063478,6.407008912,7.491615026,13.22610661,7.723467621,7.61834042,7.829628597,2.562993057,"Sepsis"
"GSM1602935",11.08166718,4.66234387,6.57446661,6.801239036,12.63406514,7.586278836,7.679971598,7.64653312,2.406397289,"Sepsis"
"GSM1602936",12.64588944,4.972897667,7.220050211,8.534114852,13.31072596,8.496291583,8.546982033,8.289077119,3.216071588,"Sepsis"
"GSM1602937",11.17854287,3.724592432,5.321202535,7.397907063,12.65607889,7.003505815,7.744871148,7.307407995,2.587967247,"Sepsis"
"GSM1602940",12.06161579,4.066793644,6.193877656,7.480387593,13.01780089,7.640334313,7.298252684,7.544691828,2.983206336,"Sepsis"
"GSM1602942",12.69130917,4.915283273,6.307915135,8.181779396,13.25036341,8.089459238,8.550864636,8.229006918,2.913181598,"Sepsis"
"GSM1602943",11.11308022,5.040075161,6.880591072,7.784824692,12.77226786,8.188588427,8.116426775,8.076115298,3.531510343,"Sepsis"
"GSM1602944",11.50441553,2.350010632,3.719632309,7.726356157,12.46178985,5.40201366,7.59388364,5.719259239,2.79507804,"Sepsis"
"GSM1602945",11.56320483,3.720743332,5.328410729,7.817071523,12.82741572,7.137562103,7.570442129,7.230671711,2.263965418,"Sepsis"
"GSM1602946",12.58077493,4.796588092,5.813864116,8.07935916,13.42962971,7.602312779,8.079012976,7.728328037,2.755172993,"Sepsis"
