"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","C3AR1","BCL2","BCL2.1","S100A12","IL1R2","GATA3","GATA3.1","CD177","CD177.1","ITGAM","ITGAM.1","ITGAM.2","IL10","FCGR1A","FCGR1A.1","BCL2.2","BCL2.3","HMGB1","HMGB1.1","MAPK14.1","MAPK14.2","HMGB1.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","S100A8","MAPK14.4","ARG1","HMGB1.3","HIF1A.7","HMGB1.4","GATA3.2","HMGB1.5","MAPK14.5","HMGB1.6","FCGR1A.2","FCGR1A.3","Label"
"GSM1602830",10.20473963,10.12164191,6.328501718,7.508317817,3.443290692,8.619888023,4.664689777,9.104224432,6.490936111,3.486618481,3.339621167,12.63479203,10.49570925,3.967522348,2.311572024,7.291273271,8.274762563,8.663970352,10.30627728,7.411757661,2.873485866,9.932327412,6.048309501,2.390072745,2.402719565,5.267404933,7.173310689,6.845561157,7.509479269,8.079744403,4.820470716,5.221657584,6.816765585,6.836953566,8.279609269,7.929785714,7.722187547,13.20452817,6.692127373,8.964991833,8.516741566,7.777309847,8.174927415,2.93772172,8.275467098,9.364136494,3.607157641,2.825674201,3.249576384,"Sepsis"
"GSM1602831",10.48135584,9.870137176,6.25958659,7.304200232,3.42286307,7.805540123,4.92925844,9.260888196,9.024695657,2.591601942,2.652006811,12.51628819,11.53829317,3.557464175,1.716149824,9.180268402,10.73863755,9.167764882,10.69542287,8.111245992,2.431678344,9.987498998,5.846656186,2.396918204,2.198803514,4.868562162,6.679089932,7.366931367,7.62902889,7.645856813,4.987412607,5.223300291,7.015603888,6.752072296,8.580797137,7.679140587,7.678931175,13.08051475,7.059144475,9.261494063,7.811227769,7.579321434,7.865222144,2.9285825,7.872731535,9.540481236,2.908691219,3.118166377,2.656309844,"Sepsis"
"GSM1602832",9.482158476,9.453722018,5.090465851,6.767523436,4.254464387,8.95787122,3.716374112,9.319438436,6.999026264,4.066524275,4.131264558,11.70468502,9.969479218,5.496021636,2.559729087,4.91097197,7.50200333,7.67278903,9.418328652,6.426004688,2.023242093,9.221098251,5.97372201,2.660258006,2.430992499,4.571170095,5.628356455,7.519871983,7.043907337,7.835535526,3.807942072,4.9295907,5.797471931,5.941589656,8.402170918,7.161370497,7.001744846,12.88849909,6.424665409,8.165774281,7.084895858,7.025673027,8.074324179,2.616623311,7.611428233,9.603477097,3.71362042,2.8569326,3.131902548,"Sepsis"
"GSM1602833",8.09219633,7.509605369,4.313416514,3.687679005,3.161528401,4.66252249,2.837684007,7.331596061,8.4484509,2.998826661,2.33028012,11.85353974,11.30262817,4.157930246,2.285754576,6.427882716,7.534603639,5.948973166,8.27415793,5.187939907,2.690051441,8.395702473,2.608133963,3.785643754,2.381898991,2.4667864,4.314308176,4.556209214,5.656460464,6.546765282,2.578484632,3.41138157,3.823006138,3.661273476,6.435692489,4.331307982,5.140976925,12.71564531,5.234327377,7.601708192,5.907637421,5.006631308,7.036737795,2.739528233,5.887174415,7.085629077,3.220805906,2.586679915,2.337482841,"Sepsis"
"GSM1602834",9.914215764,8.371439031,4.660781762,5.534476713,2.619407026,7.419121991,4.081762712,9.105998882,8.901384871,2.484819976,2.576502103,12.45577284,12.47690148,4.202550651,2.718867484,9.216412627,10.4438326,8.971178395,10.33255874,7.874137969,2.97586192,9.323451216,5.148231717,2.721054374,3.05476957,3.298561639,5.087523425,8.250711002,7.994180711,7.751198945,4.052886257,4.955391534,4.863329174,4.904595144,9.063558882,6.010809248,5.818189441,12.85866828,7.404020808,10.18199113,6.411899845,6.061641173,7.670928909,2.351288725,6.589340737,9.78560067,2.878712198,2.475134132,2.835663861,"Sepsis"
"GSM1602836",9.721925055,9.499644933,5.204788757,6.36617299,2.125127975,5.238582783,4.733405337,9.275788916,9.869799094,2.924779288,2.871205986,11.51908784,9.632404967,4.807100208,2.507569897,5.586087619,5.405288736,7.622344377,9.407572944,6.348852026,2.527809584,10.25186232,6.311610506,2.263718976,2.307581242,5.249226857,7.088169099,6.781368059,7.059503845,8.493122666,4.593094893,5.157829139,5.697236272,5.537189687,7.95587661,6.85386002,6.984710319,12.91605223,6.267375852,6.514190733,8.630512564,6.813826713,8.380892708,2.585589125,8.255613588,8.718167216,3.162453255,3.959044964,3.050946423,"Sepsis"
"GSM1602837",10.33533678,9.44101683,5.498866688,6.536437168,2.866923727,8.049253565,4.689766818,9.292553719,9.298104163,3.369332341,3.168092166,12.3926728,11.58604478,4.102349811,2.431625849,5.426176409,7.507845348,9.28550298,10.74311034,7.764316646,2.888683077,10.32697662,5.896790956,2.38708652,2.319603577,3.888416858,6.405565037,7.710011407,7.20409512,7.824390269,5.087441798,5.173837634,6.020937607,6.067154175,8.205446366,6.792187616,7.263538855,13.0842983,6.629977265,9.73994467,7.836082169,6.952566843,8.215726482,2.871615356,7.721889793,9.368864632,2.794780282,3.350292946,2.716899706,"Sepsis"
"GSM1602838",9.501883188,8.369679209,4.337301973,4.828253118,2.115884257,5.810005712,4.092910745,9.367201952,9.641229439,2.860777628,2.900615449,11.79343756,11.86953399,4.469671711,2.307210545,5.810724404,7.002744347,7.671907453,9.664876215,7.075439153,2.134782377,9.385862524,5.199307734,2.210684653,2.291278971,3.314668185,5.155753067,8.036349495,6.907081263,8.124903236,3.956396408,4.847838604,3.985327627,4.055482569,8.221925451,5.095829493,5.605969625,13.10317901,6.372870132,8.425305668,7.077356939,5.364677753,8.08314585,2.828397648,7.380535841,9.404430744,2.913635927,3.001824608,2.957534731,"Sepsis"
"GSM1602839",10.54835195,9.752506589,5.668845389,6.887457291,2.444155782,7.335077351,4.181127986,8.732724677,8.763513004,2.393289887,2.588568795,12.69578795,12.26166914,4.114410858,2.176284461,9.602892442,11.2184608,8.524563577,10.11623084,7.228690695,2.664334545,9.131402785,4.789069,2.509824045,2.585569065,4.785450824,7.203434555,7.053865068,7.300076877,7.968783375,3.998946681,4.446467736,6.242783531,6.064812595,7.985723868,7.241816934,7.162028476,13.34771531,6.262491593,10.98870183,8.238491876,7.125276103,8.283724062,2.383626964,8.278616173,9.514179576,2.855687767,3.315091713,2.666036035,"Sepsis"
"GSM1602840",10.31132068,10.03407173,6.275207608,7.359473642,3.019014545,7.615340342,4.624446732,9.369343235,5.888924724,3.5507078,3.319441616,12.56926186,9.710619039,4.218306602,2.616040744,9.864575289,11.15637333,8.522660402,10.22775771,7.336034628,2.743458793,10.52341698,6.981248117,2.583135444,2.299909509,4.689714868,6.523544977,7.8270564,7.164329958,7.952052697,4.94646679,5.24085519,6.728489998,6.370326506,8.283172496,7.633568231,7.672216374,13.21957334,6.608801511,8.463662464,8.140716958,7.405985525,8.45835056,2.727054416,8.095442062,9.853405494,2.739023844,3.711170663,3.093970108,"Sepsis"
"GSM1602841",9.959879219,10.01841469,5.707808553,7.14118778,3.383870925,7.822060183,4.113372457,9.203137883,9.06547213,3.369640594,3.551683501,12.31224234,9.745949683,4.845112912,2.652320866,6.796113107,8.067802231,8.59009375,10.01549604,7.2119984,2.429476726,9.409795178,5.777642815,2.520848543,2.070095679,4.465057932,6.574794513,7.67037344,7.520964394,7.83433895,4.497753999,4.944340414,6.568702909,6.550374346,8.470378883,7.432720973,7.539838326,13.1042095,6.812626098,8.240240301,7.809989129,7.183185582,8.335652297,2.410899721,8.024392827,9.485173189,4.090566011,3.156929999,2.695915856,"Sepsis"
"GSM1602842",10.33130702,9.759059195,5.980067906,7.091638718,2.267575643,6.451396588,5.030887188,9.339720107,9.717555464,2.830666433,2.449595325,12.38218226,10.93538757,3.667418002,2.455023715,9.283002605,9.830436121,8.759403551,10.32019434,7.453503151,2.349046838,9.311146191,5.105953852,1.999863416,2.347846776,5.856134515,7.119027203,7.506458172,7.582628073,9.069849504,4.671601226,4.897582331,6.325907095,6.262434516,8.564190228,7.246585822,7.599922191,13.25006162,7.208285148,9.685565749,8.609411229,7.24028143,8.504132493,2.471197406,8.705554956,9.424766205,3.464748868,2.855322545,2.699880744,"Sepsis"
"GSM1602843",8.772447337,9.139436426,4.684857272,6.539424268,2.43666275,4.443230105,4.314066566,8.564461743,8.520653264,3.291878072,3.107525787,10.43941275,9.874314949,4.70324184,3.041505796,4.407728018,5.272793062,7.399354363,9.238739877,6.395198581,2.824995903,9.358638683,4.720304605,3.124149418,2.607668905,4.229317385,7.053043529,5.570684013,6.038123664,7.464479021,4.559756319,5.4181217,5.720125228,5.6258541,6.970224591,6.915997443,6.628053828,12.14651404,5.372381098,8.277060658,8.219301,6.933054322,7.794121972,3.13006866,8.339926147,7.602857059,2.823815563,2.704213128,2.544941599,"Sepsis"
"GSM1602844",10.7671479,9.879422442,6.567010784,7.614308904,3.025165238,7.363066158,5.449548553,9.019257113,9.207827342,1.801995256,2.049050055,12.56917817,12.71638777,3.414879653,2.007587168,6.852113056,9.11026496,8.43512551,10.22437727,7.563450234,3.099969404,9.174741528,5.807798833,2.329113746,2.054690938,6.746415702,7.593659927,7.73223023,8.561443844,8.539498233,5.693318008,5.748361982,7.026080023,6.713176183,9.353033242,7.805369314,7.63921103,13.4327483,8.030230404,11.23395668,8.794657066,7.789494127,8.435727782,1.973936347,8.705141386,9.383514397,3.492602571,3.262944985,3.530146495,"Sepsis"
"GSM1602845",9.820267487,9.377378153,5.01767345,5.722346529,2.864231587,7.606872662,3.032667175,9.014034189,6.018687885,2.364532454,2.274500573,12.69283616,11.88153848,4.101612609,2.177373678,9.79211066,10.58062745,8.297631206,10.13858813,6.775206409,2.669533984,9.875284041,6.028315912,2.62994674,2.450473233,3.065956145,4.124563608,8.576822431,7.241289648,7.3979766,2.718986288,3.463063799,4.436991225,5.171073903,8.444205348,6.354103269,6.624180432,13.18454825,6.341873524,8.839374299,6.554207987,6.39311944,8.095336563,2.432945384,6.736702383,9.922981795,2.229254643,3.449638955,2.539365799,"Sepsis"
"GSM1602846",9.02352923,8.772478285,4.836277088,5.878669665,2.383844902,4.129616156,4.251718686,9.462610362,9.241910064,3.889797998,4.048077416,11.9811427,9.169862252,5.165010501,2.897810596,8.231012447,8.542485474,7.868658383,9.735804655,6.491333289,2.052167188,8.273836368,3.380867948,2.467987342,2.099912173,3.528271528,5.242619683,7.636637461,6.435650328,8.040993198,3.547146305,4.30488178,5.536578513,5.033067942,7.660579224,6.010025692,6.285862143,12.91255242,5.586072726,6.909867113,6.874840685,6.066675164,8.192520084,3.012129549,7.175092539,9.332976566,3.069641707,2.465899594,2.469444917,"Sepsis"
"GSM1602847",9.616877312,8.879202522,3.922746543,5.79576748,2.667656921,6.2496872,3.674573365,9.197814386,9.416325478,3.706447134,3.668370627,12.37164936,11.40891872,4.705886964,2.675313599,8.988062566,10.02411749,8.49007513,10.15242446,6.895198462,2.40185652,9.024393809,3.770340748,2.463426046,2.510549839,3.652656646,5.768815268,6.988112907,6.825920741,7.553203989,3.511085244,4.18089411,4.735648618,4.959289552,7.70581962,6.151092938,6.206134484,12.94460273,5.386264685,8.965189743,7.512517443,6.305690331,7.771695723,2.67370601,7.596245536,9.639012057,3.210917909,2.531787556,2.712052121,"Sepsis"
"GSM1602848",9.736946884,9.469958728,5.767605643,7.034672452,2.871879333,7.13177228,4.798591068,8.934732046,9.449289962,3.036882754,2.79260418,10.8647372,11.59155805,4.460374338,2.475201096,4.544677514,6.714890289,7.783149027,9.362115145,6.549692209,2.472047369,9.208754188,5.794472865,2.631308006,2.54461649,5.563247482,6.557812154,6.722214426,7.858597633,7.440357791,4.896134439,5.552460946,6.462771783,6.132418478,8.725612037,7.197355795,7.355345642,12.44668598,6.905946569,8.248759098,8.016031474,7.116544242,7.647915953,2.601174051,7.805723031,9.056590259,3.625792875,2.821487504,3.134530953,"Sepsis"
"GSM1602849",9.698871862,9.626984797,5.58390963,7.074326675,2.991366314,7.168562165,5.296742639,9.637436965,9.706756396,3.133079691,3.107115375,11.03393577,8.823094636,4.166516881,2.740983528,6.723096951,8.570170993,7.734002463,9.658542548,6.455756555,2.400985536,9.230671834,5.061248372,2.583851266,2.172944275,4.007854926,5.933188172,6.200493998,7.268205554,6.598101459,5.656131809,5.746267979,6.375327487,6.344949205,8.321465793,7.399856683,7.406546652,12.56919889,6.722968859,7.720860099,7.316905417,7.39963302,7.175296893,3.07762261,7.226302776,8.965257166,2.667007781,2.650896688,2.924792034,"Sepsis"
"GSM1602850",10.4425326,9.376181209,5.857819552,6.840808741,3.349568665,7.857065367,5.251078159,9.405012806,9.413390536,2.598697488,2.556317645,12.30330058,11.34048693,3.953009593,2.280006811,9.506180749,10.44254579,8.808557406,10.52004952,7.954134914,2.656220202,9.855244642,5.938278384,2.743740193,2.410566901,3.725047577,5.583650309,7.122491156,7.658705366,7.098479589,5.116878869,5.584368861,6.382048876,5.980742859,8.538042274,7.10310154,7.061293897,12.76157394,6.885099495,9.298321401,7.183871635,7.113544105,7.395753756,2.616444903,7.194164304,9.17241996,2.545893437,3.813911112,2.963418635,"Sepsis"
"GSM1602851",8.799014987,6.305445188,3.650798096,2.965688471,2.451046468,5.605105765,3.121010579,9.374026627,7.807738549,2.606999536,2.56922933,12.05065444,10.78433776,4.049123138,2.154495243,7.631473281,8.62606267,6.180893105,8.664012674,6.299293115,2.355244351,9.730850463,4.86818254,2.820217402,2.243865033,3.671592261,3.051194615,8.765278761,6.141358842,8.030411064,2.646953626,3.67323258,3.486647389,3.558290491,8.079426333,3.270725648,3.939453466,12.85899139,4.45780391,5.256364463,5.02733738,3.502077473,7.913626302,2.95828128,5.45421173,9.544550672,2.76046127,2.434627368,2.573378431,"Sepsis"
