"Sample","C3AR1","CD177","CD177.1","ITGAM","ITGAM.1","ITGAM.2","FCGR1A","FCGR1A.1","ARG1","FCGR1A.2","FCGR1A.3","Label"
"GSM1691911",9.683244059,9.214132007,10.35536822,8.213774214,9.854618506,6.840686986,10.02657111,6.470189915,8.597742683,2.75542412,2.556251326,"Sepsis"
"GSM1691915",9.63042705,8.510009807,10.12313464,8.680124629,10.27222325,8.003031747,8.882742487,3.90165889,8.141329762,2.481303624,2.542461357,"Sepsis"
"GSM1691922",7.718972877,6.167828149,8.072168797,8.313483845,9.890230746,6.863571418,10.25074037,5.978120819,8.017525493,3.579872351,3.556287238,"Sepsis"
"GSM1691923",8.657664403,4.334274124,6.353605717,7.793776011,9.572260505,6.28106308,8.707767733,4.882049245,9.285424496,2.582869067,2.507062412,"Sepsis"
"GSM1691928",7.172712133,7.58427574,7.25988353,7.875496017,9.635051418,7.096189619,9.164457014,4.228673715,7.623767805,2.908162214,2.564718304,"Sepsis"
"GSM1691935",7.95214864,9.587784805,10.95254555,8.969472396,10.39481512,7.272327142,9.797254755,6.938200861,8.951310593,2.913009542,3.783337884,"Sepsis"
"GSM1691944",8.095438703,3.603519712,2.91491011,7.628990183,9.247278223,6.454569948,10.38677908,6.137717963,4.357319496,2.949503163,3.74238458,"Sepsis"
"GSM1691965",10.26601102,8.289173326,9.862791659,8.71453544,10.18393844,7.251883024,9.033644899,5.503215324,8.856829156,2.575684259,2.745194696,"Sepsis"
"GSM1691977",9.968416849,9.221412025,10.77332661,7.725498914,9.460703361,6.657189452,10.08795619,6.694139794,8.379885202,2.796671837,3.841577656,"Sepsis"
"GSM1691981",8.988582047,7.769689434,8.878907055,8.437503627,9.862303452,7.054875732,8.556669901,3.66911396,9.757496488,2.523529743,2.879994898,"Sepsis"
"GSM1691984",7.326510737,5.350366574,5.623968999,6.342660855,7.763075754,4.581190405,6.57312799,2.718057495,8.365506919,2.504472847,2.52971797,"Sepsis"
"GSM1691987",6.485544079,10.38605177,10.89151301,8.68609069,10.31689123,7.62988599,9.58727098,5.399867778,10.07182751,2.589616447,2.518092832,"Sepsis"
"GSM1692005",8.700447904,7.450364279,8.903454289,8.425846232,9.959700771,6.919475884,7.601399524,2.909293683,5.021241202,1.844285685,2.330913237,"Sepsis"
"GSM1692007",9.418801201,9.956878853,11.11235701,8.528730255,10.07585265,7.203797984,8.876851936,4.512113816,9.990845446,2.544168832,2.395610874,"Sepsis"
"GSM1692009",9.964319811,9.019180616,9.266825037,8.365063128,10.13778578,7.403715663,10.00076857,5.517277868,8.735905307,2.930784472,3.020140421,"Sepsis"
"GSM1692019",8.587200137,9.070763805,10.00690603,8.892799681,10.26726286,7.481535758,10.07192889,5.556477235,7.749241328,3.212408191,2.955708614,"Sepsis"
"GSM1692029",6.048540488,7.029107061,7.615396405,7.827365882,9.574982496,6.824632101,8.188803063,3.056049194,10.38032469,2.384917625,2.286514157,"Sepsis"
"GSM1692035",8.774697819,7.196732634,8.593049607,8.679158814,10.20105519,7.594458848,8.948041516,4.574789614,8.100594105,2.465296248,2.723080597,"Sepsis"
"GSM1692040",9.485342787,7.568020479,9.090423015,8.394767694,10.25617401,7.487534745,10.31530283,6.108824677,8.900239212,3.130686855,3.074553713,"Sepsis"
"GSM1692045",8.739610406,9.117702394,10.70895568,8.840846155,10.30320482,7.692765676,9.234073363,5.104097823,10.05205118,3.353419308,3.041041337,"Sepsis"
"GSM1692061",7.763479798,8.179697584,8.023867507,8.546273767,10.04217977,7.339032773,9.371840102,5.483320728,8.772888677,2.727321539,2.79995871,"Sepsis"
"GSM1692063",9.505897762,5.042479179,7.136253301,6.908005105,8.571707026,5.888794828,10.19633451,6.332952102,7.217458519,3.01184504,2.916953529,"Sepsis"
"GSM1692089",7.120936995,3.443805257,3.189807847,7.361639524,9.158111956,5.945609693,7.911894843,3.269636859,5.113156872,1.74181351,2.511601088,"Sepsis"
"GSM1692096",7.470135828,4.073869354,5.14111291,7.914478333,9.673322445,6.710178679,7.34850747,3.099084627,9.927941643,2.450363717,2.424502897,"Sepsis"
"GSM1692101",9.465010701,3.561235,4.902281762,8.292629364,9.975053922,7.137711715,10.70134382,7.336120074,2.277041556,2.773495953,3.316526515,"Sepsis"
"GSM1692108",7.630583285,7.786924078,9.719248429,7.792160772,9.598367408,6.754629085,9.164185534,4.314199663,8.624746969,3.206307944,2.43724406,"Sepsis"
"GSM1692118",7.109006065,8.956763509,9.87644859,8.857742968,10.28024649,7.296658369,10.22482967,6.318184045,8.586485886,2.978379885,2.747718145,"Sepsis"
"GSM1692121",10.40686845,8.232550634,9.169679412,9.123451604,10.70614688,8.077612521,9.788457078,4.9715533,8.080668945,2.855359569,2.613256148,"Sepsis"
"GSM1692132",8.837875097,9.94834845,10.56014156,8.57904134,10.11356823,7.854369087,10.63565603,6.471751299,9.009570695,3.046626532,3.14462457,"Sepsis"
"GSM1692136",6.361473095,4.659681411,5.585137201,7.202179787,9.124632737,6.676467398,6.427254559,2.506389981,8.185191223,2.292627495,2.644031005,"Sepsis"
"GSM1692142",8.987630924,4.901693595,5.065580549,7.315753747,9.210482393,6.130459737,8.400640446,3.039562022,7.120454061,2.281603407,2.491708834,"Sepsis"
"GSM1692157",8.786885779,9.244389592,10.45369524,8.608585845,10.23349078,7.946982632,9.523636093,4.377084185,9.039649602,2.718922563,2.578388889,"Sepsis"
"GSM1692165",9.113747757,6.985997101,7.788451827,7.686141203,9.361609246,6.294272629,9.570486812,5.113738311,7.386878557,2.80245552,2.848444323,"Sepsis"
"GSM1692167",8.655417868,8.158083072,9.704095249,8.674335517,10.34541211,7.578171861,9.423129463,5.664755641,8.14525984,3.247925152,2.713109663,"Sepsis"
"GSM1692169",10.03796664,7.931492592,8.596331196,9.142771927,10.63112959,7.89061839,9.185723571,4.511904476,7.968760047,2.462002056,2.431379509,"Sepsis"
"GSM1692172",7.985227225,6.155483255,5.910637163,7.497603044,9.404158351,6.164319414,9.369480522,5.438296075,8.819565268,2.705549747,3.03070352,"Sepsis"
"GSM1692177",8.598905865,9.30247938,10.70468412,8.212311292,9.889999504,7.676350102,8.20520266,3.369841385,9.798050669,2.182744073,2.76757798,"Sepsis"
"GSM1692181",9.362757097,6.108423696,7.999429286,8.095759412,9.708034444,7.193529986,8.370620074,5.111168058,7.530423305,2.593276573,3.084450053,"Sepsis"
