"Metric","Mean","SD"
"MCC",0.974943843856694,0.0397966645179885
"F1",0.995364312501155,0.0073957158150727
"AUC",0.999819078947368,0.000735362908735255
"TPR",0.993684210526316,0.0124728643036792
"TNR",0.98625,0.0393082547169025
"PPV",0.997165991902834,0.00810227622654969
"NPV",0.9735,0.0515661017600663
