"Metric","Mean","SD"
"MCC",0.954498306761785,0.0880942011235745
"F1",0.966666666666667,0.0657951694959769
"AUC",0.999791666666667,0.00208333333333333
"TPR",0.9425,0.111549010834618
"TNR",1,0
"PPV",1,0
"NPV",0.9675,0.0623971014422807
