"Sample","IL8","CCR2","IL10","HIF1A","ITGAM","TREM1","HLA.DRA","C5AR1","PLAUR","LCN2","NLRP3","IL6","CALCA","TLR4","ELA2","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","CCL19","CCR2.1","IL1R2.1","TLR2","CD177","CCR2.2","IL1B","CCR2.3","SOCS3","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2","TNFSF10","PDCD1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA.DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.1","IL1R2.2","CCR2.4","NLRP3.2","VCAM1","PLAUR.1","CCR2.5","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM1317924",7.330489159,7.881646156,7.018415451,7.170994759,9.959717751,7.532529354,11.38415718,10.70947838,8.189974785,9.904278755,7.17025423,7.219673157,7.082872868,7.769147396,8.305596352,7.685191631,8.635715485,7.085958004,7.373065472,7.850887299,9.480347633,13.97814465,7.086983681,7.424360752,7.120732307,9.985738754,11.43911648,8.469726563,11.70760632,14.62656593,7.038500786,7.178560257,9.111748695,7.103553772,7.185409546,8.969229698,8.787744522,7.302060604,7.613924503,9.271025658,9.216844559,7.403544426,7.344377518,7.39640522,7.41683054,7.204805851,7.353987217,10.97046566,7.516973972,9.400393486,7.076329708,7.252259731,7.682395458,11.0572176,10.7977972,8.356191635,7.388066769,12.3949461,8.129613876,7.203442097,7.158350945,7.355199814,8.233535767,7.008188725,7.445171356,7.283797741,7.078201294,8.50663662,7.152146339,7.731417656,7.747245789,13.0426712,7.099990368,7.271544933,"Nonsurvivor"
"GSM1317925",7.254851341,7.172145367,7.071201801,7.086190701,9.586666107,7.465110302,10.45425606,10.86915398,8.313207626,11.96833324,7.546176434,7.160310745,7.138489723,8.784612656,9.359825134,7.885482788,9.578510284,7.9613204,7.124319553,7.952801704,9.288983345,14.89502525,7.172298431,7.738822937,7.087696552,10.00121689,11.72123241,7.343438148,13.14248657,14.5812521,7.136082649,7.092655659,8.149265289,7.038432121,7.129043102,7.975605011,9.089538574,7.549804211,8.014066696,8.507846832,10.36698914,7.235987663,7.701653481,7.694806099,7.659435272,7.182039738,8.90926075,10.88625336,7.640519619,11.45664406,7.169346809,7.138277531,8.028213501,11.18354511,9.785663605,8.957364082,7.214244843,11.58371544,9.266494751,7.787387848,7.152675152,7.670397282,8.332036018,7.00026083,7.124334335,7.610972881,7.09841156,8.686890602,7.030314445,8.391842842,7.655253887,13.61564922,7.436135292,7.553538322,"Nonsurvivor"
"GSM1317926",7.606124401,7.195508957,7.096647263,7.080259323,10.0490799,8.374344826,10.7977972,10.78119564,8.28546524,9.971450806,7.13642931,7.101297379,7.117100716,8.184696198,7.729041576,7.610972881,8.894880295,7.105783939,7.516687393,7.739155293,9.899768829,14.4536562,7.097951412,7.186173916,7.113061905,10.73123837,10.88854122,7.450788498,13.25871658,14.54955006,7.043188572,7.277670383,8.755539894,7.240873337,7.209294319,8.565928459,10.27062702,7.751104832,7.400232315,8.865915298,9.590256691,7.186134815,7.018884182,8.194416046,7.352921009,7.202028751,7.573753357,10.54471874,7.76447916,10.97484684,7.12230587,7.076045036,9.035137177,12.20028591,9.149763107,7.164632797,7.233871937,12.01880074,8.81235981,8.907012939,7.194016933,7.92680645,8.586604118,7.161957264,7.043369293,7.456906796,7.112403393,8.01978302,6.998508453,8.625072479,7.457882881,12.43794632,7.240380764,7.167664528,"Nonsurvivor"
"GSM1317927",7.544974804,7.33850956,7.095940113,7.264138699,10.31220341,7.306010246,10.352952,10.94766617,8.274055481,12.36664677,7.66981554,7.120687485,7.00349474,8.160987854,10.89498997,7.787387848,9.924876213,7.426883221,7.184634686,8.17158699,9.620326996,14.71159077,7.513097763,7.529659271,7.214470387,9.994073868,12.37127972,7.721385479,12.91869926,13.7110424,7.261962414,7.374078274,7.646553516,7.34271574,7.143647671,8.715572357,8.855220795,7.501556396,7.711589336,9.092214584,9.663806915,7.259222984,7.521783829,7.576131344,7.855628967,7.210968494,7.529231071,11.91166878,8.034691811,10.40663624,7.118636608,7.354710579,8.167402267,11.3472023,10.71565914,10.63433838,7.423195362,11.27316189,8.86431694,8.318601608,7.194838047,7.709486008,8.873019218,7.16045475,7.149056911,7.474732399,7.197577,8.76699543,7.105050564,8.339522362,7.722906113,13.96661282,7.32495594,7.742507458,"Nonsurvivor"
"GSM1317928",7.262773514,7.458212376,7.029196262,7.291147709,9.643176079,7.622753143,10.89269829,10.4002409,8.091467857,13.80442715,7.122495651,7.066879749,6.995531559,7.794112206,12.69128418,7.818232059,8.550523758,7.072228909,7.181678772,7.836985111,8.980454445,14.65753746,9.161899567,7.413005352,7.138428211,9.543351173,10.66473389,7.476093769,13.96661282,14.15929317,8.377473831,7.048843861,8.049032211,7.244501591,7.117210865,8.567979813,8.138015747,7.364530563,7.139903545,9.035798073,8.95125103,7.155919552,7.21262598,7.722103119,7.563235283,7.249240875,7.259120941,11.60665512,7.518391609,9.590256691,7.082239628,7.152562618,11.06648064,11.11403847,9.951336861,12.63650894,7.2177248,11.93791866,7.776287556,8.335781097,7.212742805,8.047989845,8.170176506,7.058893681,7.126923084,7.413528442,7.101771832,8.092496872,7.117925644,7.984792709,7.493843079,12.93241215,7.212053776,7.307896137,"Nonsurvivor"
"GSM1317929",7.401145935,7.259290695,7.157605648,7.097669601,9.854207039,9.082864761,10.88625336,11.0855217,8.795781136,10.29890156,7.133529663,7.122464657,7.150970936,8.425912857,7.865603924,7.903513908,9.298768997,7.160750866,7.522399426,8.341189384,9.817074776,14.73068142,7.088570118,7.387585163,7.167030334,10.60469055,10.51344299,7.575539112,13.22032928,14.75221539,7.170288563,7.494720459,9.237722397,7.120872021,7.597521782,7.724132061,10.70542049,7.594933987,7.231609344,8.107419968,9.654636383,7.044414997,7.843964577,7.828904629,7.585307121,7.218100548,7.316831589,10.80810642,7.19419241,10.50475502,7.142172337,7.193897724,8.86641407,12.27932835,8.968629837,7.086173534,7.102129936,11.96833324,8.026970863,7.462257385,7.093092442,7.384933949,8.133394241,7.12496233,7.145636082,7.199022293,7.00959301,8.749689102,7.180713654,7.993086338,7.53721714,11.75961876,7.298483849,7.861177444,"Nonsurvivor"
"GSM1317930",7.411952972,7.815180302,7.077797413,7.23775959,9.94096756,7.294391632,11.36119747,9.897337914,7.752713203,13.83668804,7.10675621,7.065674305,7.079040051,7.737357616,12.79891586,7.907944202,9.24739933,7.018552303,6.976748943,7.654975891,9.136287689,14.62656593,9.0955019,7.324302197,7.190472126,9.140398979,11.35829735,7.512787342,13.15814304,13.91954327,7.927005291,7.143479824,7.923175335,7.287878513,7.201567173,9.459920883,8.013374329,7.369016647,7.322289944,9.91571331,8.373995781,7.518906593,7.270869732,7.648337364,7.508431911,7.231134415,7.405919075,11.87633133,7.925510883,9.558613777,7.25426054,7.136022568,10.42857742,11.23612213,10.15734386,12.71454239,7.159745693,12.00347233,7.940119267,8.15117836,7.374858856,7.752060413,8.563323021,7.049008846,7.371920586,7.5984869,7.122479916,8.180807114,6.983784676,7.815941811,7.488652229,13.37489033,7.222213268,7.418629169,"Nonsurvivor"
"GSM1317931",7.233357906,7.777481556,6.904886246,7.355896473,10.25624847,7.476377487,11.0642519,10.20597744,8.057644844,13.18112183,7.167154789,7.127376556,7.111473083,8.015980721,10.84097958,8.0807724,8.68963623,7.041642189,7.117667198,7.637660027,9.192175865,14.89502525,9.2436409,7.490457535,7.113541126,9.609002113,10.71349621,7.177886009,13.21240616,14.71159077,7.315676212,7.402552605,8.372219086,7.408044815,7.101755142,9.030827522,11.07607174,7.323691368,7.600869179,9.350245476,8.237111092,7.375438213,7.201375008,8.082574844,7.699580669,7.169031143,7.452915668,12.24882317,7.639964581,9.672478676,7.109787464,7.104984283,10.4594965,10.75070667,8.450763702,9.958490372,7.391760349,11.66282845,8.166842461,7.635775089,7.039990902,7.853166103,8.144060135,7.145763874,7.200683117,7.61947155,7.144220829,8.170736313,7.028356075,7.983402252,7.440435886,12.78666401,7.083946228,7.848755836,"Nonsurvivor"
"GSM1317932",7.104757309,7.721224785,7.112548351,7.32263279,10.12146091,7.665047646,10.38909054,10.74319553,8.558712959,13.50062847,7.20249939,7.123047829,7.127873898,8.384610176,12.44756794,8.276363373,8.58617115,6.947964668,7.209788322,7.589671135,9.370265961,14.61182499,8.421185493,7.69288969,7.124592304,10.01626015,11.37238979,7.319721222,12.41015244,14.39126587,7.293528557,7.42290163,8.14273262,7.408633709,7.102261543,8.561748505,10.67859173,7.672399044,7.639823914,8.856840134,9.336523056,7.375310898,7.354051113,8.563323021,8.148958206,7.150922775,7.134817123,11.64648628,7.416074276,9.895094872,7.081300735,7.261554241,9.459050179,10.89716244,8.419271469,9.869948387,7.228184223,11.25391865,8.676941872,7.373551369,7.154038906,7.679578781,7.76546669,7.089087963,7.074382305,7.737020969,7.095070839,8.544447899,7.055633545,8.480690956,8.015392303,13.67254257,7.094172001,7.633765697,"Nonsurvivor"
"GSM1317933",7.295015335,7.705445766,7.103271008,7.264071465,9.552453995,7.339521408,10.99947929,10.1976757,8.0143013,13.12164688,7.236651897,7.046870232,6.983325481,7.731580257,12.50709248,8.028213501,10.14789295,7.192984581,7.313090324,7.842029095,9.067267418,14.5812521,8.178814888,7.481301785,7.243399143,9.711331367,11.89231968,7.605391979,12.26234245,14.75221539,7.751886845,7.151258945,7.777818203,7.274425983,7.091526508,9.305599213,8.199634552,7.403903961,7.359943867,9.780433655,8.843027115,7.532214642,7.330234051,7.461904049,7.70676136,7.210605145,7.269529343,11.41880035,7.954515457,9.257592201,7.195388794,7.361038685,8.855220795,11.47144318,10.68416023,12.07038212,7.408931255,11.96833324,8.033958435,8.042457581,7.189357758,7.675667286,8.721731186,7.113744736,7.290277481,7.630561352,7.083747387,8.455337524,7.031599522,8.044509888,7.472301006,13.70183277,7.228677273,7.43563509,"Nonsurvivor"
