"","x"
"1","CALCA"
"2","TREM1"
"3","PLAUR"
"4","IL6"
"5","HMGB1"
"6","IL10"
"7","IL1B"
"8","S100A8"
"9","S100A9"
"10","S100A12"
"11","CD14"
"12","FCGR1A"
"13","ITGAM"
"14","C3AR1"
"15","C5AR1"
"16","LCN2"
"17","CXCL10"
"18","IFNG"
"19","CCL19"
"20","CCL25"
"21","CX3CR1"
"22","P2RX7"
"23","TNFSF10"
"24","MMP8"
"25","MMP9"
"26","TNF"
"27","MYD88"
"28","NLRP3"
"29","TLR2"
"30","TLR4"
"31","NOTCH1"
"32","BCL2"
"33","PDCD1"
"34","CCL2"
"35","ARG1"
"36","IL1R2"
"37","CD177"
"38","OLFM4"
"39","MAPK14"
"40","VCAM1"
"41","ICAM1"
"42","SOCS3"
"43","GATA3"
"44","CCR7"
"45","CCR2"
"46","HIF1A"
