"Sample","IL8","CCR2","IL10","HIF1A","ITGAM","TREM1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IL6","CALCA","TLR4","ELA2","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","CCL19","CCR2.1","IL1R2.1","TLR2","CD177","CCR2.2","IL1B","CCR2.3","SOCS3","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2","TNFSF10","PDCD1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA-DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.1","IL1R2.2","CCR2.4","NLRP3.2","VCAM1","PLAUR.1","CCR2.5","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM1317937",7.257651806,7.423195362,7.159299374,7.984792709,10.76725578,8.428877831,9.164650917,10.83055115,8.426980972,13.52732468,7.158285141,7.109405041,7.048812866,9.283603668,12.86029339,8.044509888,7.789069653,7.074884415,7.169395447,8.031543732,9.584781647,14.06663609,9.316027641,8.46312809,7.11999321,10.19905949,11.04777145,7.242945194,13.7421217,14.15929317,7.523321629,8.087677956,7.862711906,8.176737785,7.188210011,7.997831345,13.07812023,8.009811401,9.191441536,8.165719032,10.1015501,7.311830997,8.329912186,7.901279926,8.984456062,7.309357166,7.431395531,11.48103046,7.232040405,11.09504414,7.049288273,7.02820015,10.29575443,10.95660305,8.13070488,10.7977972,7.577562809,9.742350578,10.91038418,7.696954727,7.169346809,7.770355225,7.413067818,7.310006618,7.113666534,7.650265694,7.063308239,9.016688347,7.138336658,9.403692245,8.496460915,13.34326267,7.067378521,7.907753944,"Sepsis"
"GSM1317938",7.191941738,7.537649632,6.923203945,7.390416622,10.12020779,8.085921288,11.41880035,10.88182545,8.473205566,11.75607681,7.2061553,7.062944412,7.040534973,8.219489098,11.74569511,8.547739029,9.682370186,7.292578697,7.050742149,8.146262169,9.30859375,14.73068142,7.316191673,7.706627369,7.041676521,10.2763052,12.06260967,7.982504368,13.15814304,13.91954327,7.241420746,7.413976192,8.132845879,7.361355305,7.201375008,8.517023087,9.312220573,7.465201855,7.464398384,9.014266014,9.684378624,7.341291428,7.462602615,8.432619095,8.020270348,7.364884377,7.271015167,10.77932549,7.867127895,9.758078575,7.22390604,7.18751049,8.948881149,11.33603287,11.00637054,10.48445415,7.15740633,12.28438854,8.546120644,7.475814819,7.162638187,7.948607922,8.181414604,7.092393398,7.186751842,8.107665062,7.101213455,8.62249279,7.059184074,8.345906258,7.796460152,14.00238228,7.201252937,7.601871967,"Sepsis"
"GSM1317939",7.155791759,7.78208828,7.09847641,7.272961617,10.64007759,7.471131802,11.0642519,10.61574554,8.377117157,14.17344284,7.267360687,7.132453918,7.043642998,8.055913925,13.29648018,8.242923737,7.883262634,7.187754631,7.045341015,7.666013718,9.445799828,14.43885326,8.179929733,7.60212183,7.242858887,9.959717751,11.44805908,7.471842766,11.87258625,13.97814465,8.463888168,7.481207848,7.954930305,7.355896473,7.077646732,9.367049217,10.97695351,7.644397736,7.240128517,9.92948246,8.311285019,7.495314121,7.291964054,7.687849522,7.682250023,7.366194248,7.213520527,12.48219776,7.285554409,9.337310791,7.193919659,7.367947578,10.05300617,10.93436146,9.287511826,12.98690796,7.179348946,11.81454945,7.825304985,7.342112064,7.106010437,7.776456356,7.463502884,7.17438364,7.345274925,7.993505478,7.094781399,8.831646919,6.934972286,7.982279778,7.609153748,13.56163883,7.140868187,7.591125965,"Sepsis"
"GSM1317940",7.212463379,7.774436951,7.050797939,7.472027779,10.68990421,8.3402071,10.56033611,11.94188023,8.826451302,11.13573265,7.178098679,7.009840012,7.077510357,9.370265961,8.675196648,8.823890686,7.221177578,7.110535622,7.348177433,7.549473763,9.97842598,14.67478466,7.122573853,8.257748604,7.116279125,11.07607174,12.37606144,7.452754021,11.92264366,14.31682491,7.193448067,8.021197319,8.184696198,7.800693989,7.243518353,8.855220795,11.62321472,8.575109482,7.68324852,9.716168404,10.25769997,7.384315014,8.260238647,9.39884758,8.43783474,7.00349474,7.527672291,11.62016582,7.24139452,12.07474613,7.08376646,7.220788479,9.722079277,11.36929226,9.351858139,8.65972805,7.758190632,11.74905682,10.23732853,7.839170456,7.009713173,7.415108204,7.329823971,7.261715889,7.362235546,8.473625183,7.082778931,9.532432556,7.028840542,8.654358864,8.713197708,13.86038017,7.09021759,8.341875076,"Sepsis"
"GSM1317941",7.284412861,7.784525394,7.09608984,7.327758789,10.53449631,7.794284344,11.14570522,11.0855217,8.686434746,11.10438442,7.358762741,7.046671391,7.100059032,8.312242508,9.367824554,8.877879143,8.405568123,6.993683815,7.232839584,7.806053162,10.49973965,14.73068142,7.103044033,7.509317875,7.057644367,10.02125549,12.35719967,8.335061073,13.12859344,14.27305126,7.051443577,7.695734501,8.466567993,7.467062473,7.054811001,8.869711876,10.44628525,7.763120174,7.267088413,9.375727654,9.607085228,7.394255161,7.441578865,8.043511391,7.633095741,7.208413124,7.204451561,11.57710743,7.520347595,10.34985065,7.060149193,7.083837986,8.505494118,11.97212505,11.16343021,8.278601646,7.409531116,11.81830311,8.611653328,7.744295597,7.088417053,7.642318726,7.830414295,7.069043636,7.221455574,8.270465851,7.051470757,9.058485985,7.042715549,8.17158699,7.636708736,14.18836784,7.197577,8.250304222,"Sepsis"
"GSM1318016",7.33850956,7.343438148,7.027430058,7.207594395,10.13317776,7.589418888,10.63621426,10.74897575,8.118889809,12.91869926,7.23347044,7.008805275,7.053460598,7.652103901,13.06385803,7.987699509,10.65110683,6.983083725,7.181642056,8.089211464,9.80610466,14.10523796,7.394601822,7.486410141,7.05071497,9.888580322,11.32435322,7.665047646,12.17012978,14.56532383,7.425869465,7.107411861,8.000868797,7.284727097,7.173211575,8.065104485,8.620723724,7.430328369,7.38206768,9.0160923,9.069153786,7.247424603,7.50363636,8.040309906,7.387723923,7.173019409,7.226939678,12.68597794,7.950633526,9.365460396,7.237533092,7.207399368,8.082048416,11.2650938,10.11206722,10.67068481,7.070679188,11.55117226,7.873907089,7.832131863,7.094863415,7.407752991,9.23998642,7.089747906,7.138186932,7.737535,7.057936668,8.985030174,7.07794857,7.830414295,7.570044041,13.73166943,7.433681488,7.572385788,"Sepsis"
"GSM1318017",8.144060135,7.706627369,7.117925644,8.065849304,12.42781067,8.119989395,10.63244057,11.41554737,7.672112942,14.40771866,7.315633774,7.209294319,7.126231194,8.968046188,7.793582916,8.942603111,7.679727554,7.060966969,7.028316975,7.631650448,9.99050808,14.75221539,9.897337914,8.438537598,7.107076168,10.42248726,12.17865086,7.439004898,14.02818394,14.2030077,8.25836277,8.009309769,8.015266418,8.369402885,7.232275486,9.178632736,13.1885252,9.115643501,8.897031784,9.640440941,10.19337654,7.327758789,8.757099152,9.24739933,8.62463665,7.455420971,7.324048519,13.60636997,7.281395435,10.81240082,7.10289669,6.967308044,9.872324944,10.83469009,9.022797585,12.98013592,7.753045559,11.69050694,11.10199451,9.089538574,7.084691048,7.750156403,7.55652523,7.63123703,7.293194294,8.641545296,7.07248354,8.57598877,7.068468094,9.757084846,8.650297165,14.31682491,7.128873348,7.67695713,"Sepsis"
"GSM1318018",7.430328369,7.519946575,7.324100971,7.460330009,11.60331917,8.013856888,10.16713715,11.15869713,8.102625847,14.62656593,7.176661015,7.08764267,7.071676254,8.542807579,7.732730389,8.678842545,8.454530716,7.175157547,7.101789474,7.759523392,9.597636223,14.00238228,10.50809765,8.43970871,7.032544136,10.2763052,10.4930172,7.33216238,14.1455946,14.73068142,8.878400803,7.762962341,8.073954582,7.805176735,7.115576267,8.84897995,12.8672123,8.227676392,10.04122925,9.343364716,9.620326996,7.294391632,8.366857529,8.283489227,8.246972084,7.18125391,7.518492222,14.51778603,7.397697926,9.87757206,7.085361004,7.175326824,11.24887276,11.84009647,8.779105186,13.30456638,7.834544182,11.0041275,9.87344265,7.92659235,7.064444542,7.694170952,7.828904629,7.324812889,7.301506519,8.241963387,7.261161327,8.419454575,7.030772686,8.958573341,8.239276886,13.00856495,7.016517162,7.377535343,"Sepsis"
"GSM1318019",7.395634174,7.612535477,7.072087765,7.285109043,10.46269417,7.711589336,11.81830311,11.10199451,8.52626133,9.59508419,7.157487392,7.041955948,7.035244465,7.827283859,10.53802109,8.366857529,9.569441795,7.044805527,7.105408192,7.597391605,10.23020458,14.2312479,6.979119778,7.556050301,7.142769814,9.588500977,11.59064102,8.438537598,11.91166878,14.65753746,7.188555717,7.229949951,8.546550751,7.384046078,7.105330467,9.203036308,9.656439781,7.602772713,7.055130959,9.780433655,8.608168602,7.340236187,7.184501171,8.559152603,7.539802551,7.229491711,7.285802364,11.45959854,7.877838612,9.805045128,7.300328732,7.3864398,7.827646732,11.32169533,11.77704239,8.282886505,7.170395374,12.35719967,8.300268173,8.001331329,7.23286581,7.690360546,8.61551857,6.990205288,7.251013756,7.97199297,7.04201746,8.460080147,7.033436775,7.977686882,7.564349651,14.01483059,7.274507999,7.414512634,"Sepsis"
"GSM1318020",7.722103119,7.357000828,7.234405041,7.261614799,10.5497961,8.002527237,9.785663605,11.51408386,8.675655365,10.30762768,7.049458504,7.250828266,7.063286304,8.126844406,9.357487679,8.636615753,8.877329826,6.987556458,7.156223297,8.231977463,9.524485588,14.40771866,7.249027729,8.007923126,7.019748211,10.17818356,10.75671959,7.874303341,13.94167805,14.5812521,7.188154697,7.09980917,8.335061073,7.221553326,7.229724884,8.054688454,11.11633968,7.280435562,8.133663177,8.685464859,9.792087555,7.125483036,7.231240273,8.987991333,7.575902939,7.183590412,7.166850567,12.25794888,7.749347687,10.36070156,7.232592583,7.129273891,9.104545593,9.835384369,9.834338188,8.321543694,7.139376163,10.85165787,8.628051758,8.126581192,7.150401592,7.817335606,8.368677139,7.103750229,7.140478134,8.227087975,7.116358757,7.980453968,6.986911297,8.479489326,7.916095734,13.29648018,7.154240608,7.166327,"Sepsis"
