"GSM1317896","GSM1317897","GSM1317898","GSM1317899","GSM1317900","GSM1317901","GSM1317902","GSM1317903","GSM1317904","GSM1317905","GSM1317906","GSM1317907","GSM1317908","GSM1317909","GSM1317910","GSM1317911","GSM1317912","GSM1317913","GSM1317914","GSM1317915","GSM1317916","GSM1317917","GSM1317918","GSM1317919","GSM1317920","GSM1317921","GSM1317922","GSM1317923","GSM1317924","GSM1317925","GSM1317926","GSM1317927","GSM1317928","GSM1317929","GSM1317930","GSM1317931","GSM1317932","GSM1317933","GSM1317934","GSM1317935","GSM1317936","GSM1317937","GSM1317938","GSM1317939","GSM1317940","GSM1317941","GSM1317942","GSM1317943","GSM1317944","GSM1317945","GSM1317946","GSM1317947","GSM1317948","GSM1317949","GSM1317950","GSM1317951","GSM1317952","GSM1317953","GSM1317954","GSM1317955","GSM1317956","GSM1317957","GSM1317958","GSM1317959","GSM1317960","GSM1317961","GSM1317962","GSM1317963","GSM1317964","GSM1317965","GSM1317966","GSM1317967","GSM1317968","GSM1317969","GSM1317970","GSM1317971","GSM1317972","GSM1317973","GSM1317974","GSM1317975","GSM1317976","GSM1317977","GSM1317978","GSM1317979","GSM1317980","GSM1317981","GSM1317982","GSM1317983","GSM1317984","GSM1317985","GSM1317986","GSM1317987","GSM1317988","GSM1317989","GSM1317990","GSM1317991","GSM1317992","GSM1317993","GSM1317994","GSM1317995","GSM1317996","GSM1317997","GSM1317998","GSM1317999","GSM1318000","GSM1318001","GSM1318002","GSM1318003","GSM1318004","GSM1318005","GSM1318006","GSM1318007","GSM1318008","GSM1318009","GSM1318010","GSM1318011","GSM1318012","GSM1318013","GSM1318014","GSM1318015","GSM1318016","GSM1318017","GSM1318018","GSM1318019","GSM1318020","GSM1318021","GSM1318022","GSM1318023","GSM1318024","GSM1318025","GSM1318026","GSM1318027","GSM1318028","GSM1318029","GSM1318030","GSM1318031","GSM1318032","GSM1318033","GSM1318034","GSM1318035","GSM1318036","GSM1318037","GSM1318038","GSM1318039","GSM1318040","GSM1318041","GSM1318042","GSM1318043","GSM1318044","GSM1318045","GSM1318046","GSM1318047","GSM1318048","GSM1318049","GSM1318050","GSM1318051","GSM1318052","GSM1318053","GSM1318054","GSM1318055","GSM1318056","GSM1318057","GSM1318058","Symbol"
7.07993269,7.335713387,7.639964581,7.591718674,7.51022625,7.470094681,7.405847549,7.335564613,7.982065201,7.653445244,7.620686054,7.775769234,7.213684082,7.591238499,7.732105732,7.551902771,8.052900314,8.03445816,7.241333485,7.445325375,7.135624409,7.621066093,7.567156792,7.473389626,7.555586815,7.681971073,7.367630005,7.567838192,7.881646156,7.172145367,7.195508957,7.33850956,7.458212376,7.259290695,7.815180302,7.777481556,7.721224785,7.705445766,7.441179752,7.385922432,7.240208626,7.423195362,7.537649632,7.78208828,7.774436951,7.784525394,8.205200195,8.313891411,7.663915634,7.870785713,7.687570095,7.3137393,8.121975899,7.212281704,7.506824017,7.311508179,7.831206799,7.648201942,7.248696327,7.143601894,7.394118309,7.784707069,7.618560791,8.303349495,8.280222893,7.263763428,7.68181181,7.945728779,7.463051319,7.422669411,7.24620533,7.571818829,7.288722038,7.895807266,7.619345665,7.756835461,7.407752991,8.081282616,7.683122635,7.732578278,7.343272209,7.799107075,7.613801479,7.898862362,7.478116035,7.703009605,7.895172119,7.299897194,7.46983242,7.543448448,7.473917961,7.370056152,8.024043083,7.736202717,7.48178196,7.545073986,7.742832184,7.344257355,7.307044983,7.484147072,7.241847038,7.81427145,7.51170063,7.159474373,7.625881672,7.342509747,7.398472786,7.566464424,7.929737091,8.286697388,7.204277039,7.923974037,7.621324062,7.697383404,7.791489124,8.123065948,7.934188366,7.970366955,7.703772545,7.430564404,7.343438148,7.706627369,7.519946575,7.612535477,7.357000828,7.562620163,7.55447197,7.500439644,7.608290195,7.728077412,7.209429741,7.617145061,7.413145065,7.084001541,8.006486893,7.176928997,7.599489212,8.003880501,7.547146797,7.592706203,7.971766949,7.911253452,7.721954346,7.542560101,7.506145477,7.816116333,7.666453362,7.454734802,7.409747601,7.457078934,7.902925014,7.955823898,7.618170738,7.715987682,8.038132668,7.955155849,7.329236984,7.419924259,7.561488152,7.221055984,7.854693413,7.964697838,7.493278503,"CCR2"
7.090555668,7.01139307,7.08095789,7.155341625,7.145284176,7.152095795,7.41848135,7.343214035,7.075530529,7.002075672,7.013569832,7.057863712,7.207487583,6.989308357,6.991375923,7.028399467,7.017375469,7.087906837,7.10646534,7.298871994,7.57998848,6.977173328,7.114745617,6.980206966,7.042310715,7.00662756,7.196939468,7.037719727,7.018415451,7.071201801,7.096647263,7.095940113,7.029196262,7.157605648,7.077797413,6.904886246,7.112548351,7.103271008,7.024131298,7.121283054,7.0847435,7.159299374,6.923203945,7.09847641,7.050797939,7.09608984,7.045257568,7.068936825,7.108098507,7.062293053,7.040086269,7.029855251,7.099691391,7.049174786,7.206812382,7.099190712,7.046527386,7.056663513,7.029157639,7.029076099,7.077854633,7.089853287,7.124054909,7.009405136,7.017820358,7.072066784,7.111424446,7.039339066,7.044836998,7.099625587,7.079696655,7.106740952,7.013197422,7.084998131,7.083873749,7.112504005,7.210942745,6.933664322,7.053769112,7.157374382,7.133247852,7.084037304,7.015904903,7.12902832,7.078889847,7.054555893,7.039042473,7.212965965,7.058799267,7.056687832,7.176448345,7.219528675,6.971780777,6.987239838,7.069107533,7.073961258,7.098957539,7.140695572,7.082692146,7.076861858,7.064971924,7.067592144,7.261426449,7.216323376,7.036875725,7.02340126,7.084868908,7.009056091,7.123999119,7.044209003,6.934972286,7.103536606,7.068301678,7.0489254,7.062543869,7.028439045,7.073475361,7.012771606,7.134019375,7.015582085,7.027430058,7.117925644,7.324100971,7.072087765,7.234405041,7.050305843,7.110762119,7.26486063,7.019887447,6.93948555,7.014431953,7.176947117,7.01584959,7.042212486,7.051443577,7.138858318,7.066531658,6.955722809,7.095614433,7.092918873,7.011159897,6.992874146,7.090990543,7.036330223,7.052790642,7.027830601,7.094490528,6.990881443,7.077628136,7.037285805,7.023873806,7.044003963,7.033071518,7.066291809,7.047527313,7.066923618,7.020561695,7.062680244,6.923203945,7.088205814,7.059705734,6.997442722,7.094555855,"IL10"
7.130773067,7.360058784,7.546928406,7.446740627,7.238140583,7.721528053,7.73226881,7.668007851,7.49788475,7.423496246,7.159897804,7.43273735,7.553295135,7.568410397,7.839556694,7.878830433,7.408931255,7.517065525,7.192194462,7.302490234,7.210856438,7.350359917,7.175771236,7.112489223,7.161687851,7.207795143,7.323428631,7.200577259,7.170994759,7.086190701,7.080259323,7.264138699,7.291147709,7.097669601,7.23775959,7.355896473,7.32263279,7.264071465,7.241447449,7.430655479,7.268084526,7.984792709,7.390416622,7.272961617,7.472027779,7.327758789,7.368256092,7.373892307,7.327294827,7.405698299,7.510119438,7.705012798,7.510838032,7.258822441,7.679871082,7.350882053,7.612278938,7.582642078,7.372303486,7.258822441,7.78558445,7.148838043,7.724285126,7.437107563,7.706203938,7.213247299,7.414587975,7.569110394,7.524264812,7.420086384,7.243373394,7.375438213,8.016460419,7.537321568,7.278896809,7.316349506,7.498064995,7.290897846,7.474379063,7.301684856,7.446403503,7.421453953,7.356524467,7.705813408,7.485920906,7.24620533,7.482247829,7.935307503,7.33774519,7.213731766,7.946602345,7.312710762,7.289698601,7.366250515,7.249790668,7.40476799,7.169031143,7.404116154,7.317251682,7.137556553,7.203463554,7.257750988,7.662192345,7.647809982,7.47647047,7.240208626,7.345057011,7.295976639,7.363238335,7.394601822,7.544974804,7.372611046,7.878055096,7.439098358,7.292122841,7.531273842,7.372489929,7.373001575,7.509420395,7.173980236,7.207594395,8.065849304,7.460330009,7.285109043,7.261614799,7.2484622,7.107707977,7.60100174,7.338064194,7.200620174,7.172424316,7.223127365,7.4257164,7.180948734,7.32704401,7.160750866,7.064676762,7.421669483,7.837532997,7.230381966,7.456008434,7.337636948,7.253499985,7.20829916,7.075866222,7.617776871,7.519098282,7.426185608,7.777309895,7.690797329,7.825304985,7.76167202,7.580951214,7.927637577,7.414879799,7.472774506,7.599120617,7.624843597,7.669964314,7.611907959,7.348118782,7.558010578,7.304328442,"HIF1A"
9.47341156,10.38909054,11.23127174,10.44628525,9.752828598,11.3472023,11.03150082,10.60847569,10.24452305,9.598514557,9.573025703,10.2763052,10.83469009,10.42098713,10.4002409,10.91499233,11.04321671,10.80593014,9.080945969,11.20948887,11.10438442,9.682370186,10.35611439,9.422006607,10.46269417,9.539639473,10.7915678,10.36233139,9.959717751,9.586666107,10.0490799,10.31220341,9.643176079,9.854207039,9.94096756,10.25624847,10.12146091,9.552453995,10.27346992,10.45776749,10.24602032,10.76725578,10.12020779,10.64007759,10.68990421,10.53449631,10.13448238,10.49119282,9.818234444,10.38421726,10.94994354,10.86714649,10.83682823,11.27828598,11.40993786,11.02916622,11.15086174,11.40719128,11.60331917,11.36119747,11.48762321,10.05529308,11.04777145,10.81633568,10.97265244,10.33893394,10.78318405,10.40178204,11.23862362,10.12431622,10.23870373,10.03760624,11.12855339,10.56736374,10.25039577,10.23020458,10.66686344,10.67068481,10.69955254,10.21023464,10.7915678,10.89956284,11.87258625,10.49119282,10.29727936,10.09488869,10.31505585,12.23120594,10.25624847,10.12815189,11.90783501,10.17261791,11.10199451,10.66875744,10.21752071,10.38268375,10.54817104,10.15880489,10.20449734,10.30334759,10.12553501,9.97842598,11.27316189,11.11868668,10.61574554,10.15734386,9.965566635,10.31220341,10.9835844,10.52395535,10.83469009,11.02916622,11.80667973,11.02916622,10.16296005,11.13822651,11.52913952,10.45274639,11.09276199,9.992839813,10.13317776,12.42781067,11.60331917,10.46269417,10.5497961,9.631896973,9.270279884,11.82216454,10.37007713,9.952468872,9.685400009,10.02002048,10.70542049,9.857655525,10.31068134,9.417946815,9.460769653,11.47144318,10.84309864,10.12431622,11.15086174,10.76097107,9.815980911,11.22842979,9.411927223,11.06648064,10.62861919,9.501254082,11.61667728,10.74897575,11.49039268,11.15325546,10.78729343,10.92586136,10.26482964,9.848631859,9.513016701,9.724136353,9.435203552,9.501254082,9.445799828,9.639433861,9.736116409,"ITGAM"
8.123065948,7.978586674,7.685325623,7.516788006,7.753045559,7.7459445,7.913375378,8.238365173,7.993086338,7.817335606,7.870416164,7.838235378,7.32704401,8.132845879,7.913156509,8.598835945,7.607264042,7.672535896,7.249334812,7.785412788,7.373387337,7.986165047,8.461213112,8.00813961,8.898146629,8.206688881,7.176054001,8.300972939,7.532529354,7.465110302,8.374344826,7.306010246,7.622753143,9.082864761,7.294391632,7.476377487,7.665047646,7.339521408,7.601615429,8.140490532,7.40699482,8.428877831,8.085921288,7.471131802,8.3402071,7.794284344,7.965575695,7.647229195,7.678463459,7.33845377,8.398342133,7.000050545,7.55675602,7.536018372,8.137145042,7.562058926,7.440843582,9.105237961,7.879618645,8.158500671,7.851065636,8.293104172,7.477921963,7.734498978,7.571377754,8.177360535,7.865979195,7.806423187,8.776062965,7.183990479,8.029158592,7.318760872,8.464634895,7.301027298,7.809838772,7.84488821,8.346276283,7.756154537,8.212378502,7.956510067,8.462378502,7.862502098,7.69724226,7.873715878,7.788759708,7.888911247,7.867503643,7.750946999,7.622753143,7.789927483,8.148674965,7.382934093,7.655655861,8.132845879,7.669228554,7.945528984,7.63902092,7.388460159,7.368010998,7.50237608,8.358950615,7.486224651,7.375180721,7.590995312,7.659720421,7.674921036,7.513688087,7.467148781,7.72379446,7.451646328,7.584323883,7.516379833,7.939900875,7.436698437,7.605127335,7.609153748,7.510620594,7.473658085,7.764808655,7.47875309,7.589418888,8.119989395,8.013856888,7.711589336,8.002527237,7.642188549,7.877439022,7.841273785,7.906489372,7.190689087,7.940544128,7.784707069,8.010025024,9.510412216,8.161275864,7.160536766,7.507029057,8.360331535,7.84488821,7.522098541,8.409101486,8.199634552,7.860370159,8.180516243,7.530608654,7.796284199,8.087677956,7.822744846,8.053638458,8.113264084,7.936402798,8.155955315,8.135538101,8.312555313,7.700164795,7.749025822,7.787755966,7.864214897,7.615222454,7.33979702,7.445243835,7.39640522,7.810536861,"TREM1"
10.55504131,7.848013401,10.08465958,9.66973114,10.40178204,9.15440464,9.495246887,9.742350578,11.29978275,10.79994011,10.99947929,10.82635117,8.752120018,10.35447788,10.69181061,9.971450806,10.61920166,11.20948887,11.28376484,8.534152985,8.554497719,10.88411808,10.02869606,10.74319553,10.83469009,11.43911648,10.10800934,11.28108978,11.38415718,10.45425606,10.7977972,10.352952,10.89269829,10.88625336,11.36119747,11.0642519,10.38909054,10.99947929,10.22882175,10.39235783,10.24173737,9.164650917,11.41880035,11.0642519,10.56033611,11.14570522,11.47766972,11.71129131,10.7977972,10.69955254,10.6209898,9.856495857,9.939688683,9.259036064,10.48101139,9.204447746,9.960912704,10.19208336,9.645145416,9.331255913,9.850877762,11.90428162,10.89956284,12.15764618,10.47934341,10.88182545,11.05962086,10.5919199,9.559476852,11.0736351,9.627121925,11.88011169,9.951336861,11.28907967,12.15764618,11.63295078,11.04541588,11.79862976,11.20184517,10.7977972,10.51150322,11.69395065,10.46759415,11.41880035,11.00186729,10.88625336,11.31316662,9.088124275,11.0736351,10.38112259,9.376583099,10.52749443,11.96833324,11.04321671,10.87730408,10.71940327,11.9302578,10.81240082,10.81240082,10.57098675,10.73123837,10.8184433,9.564067841,9.733234406,11.48762321,10.45425606,10.99947929,11.69050694,11.93791866,12.26234245,8.540701866,11.80667973,10.10800934,11.48762321,10.95881081,10.94312572,11.24887276,11.97973728,10.52049923,11.09729958,10.63621426,10.63244057,10.16713715,11.81830311,9.785663605,10.58610821,10.93006611,9.82375145,10.28237629,10.89048862,10.70542049,12.24882317,10.13709545,10.93220139,11.24374485,10.63621426,11.47766972,10.49644566,9.835384369,11.13822651,10.56922626,10.93878365,11.17122555,9.301730156,11.65307045,10.69764328,10.53982162,10.66875744,9.161899567,9.092214584,10.34501553,10.04388237,9.918979645,9.672478676,12.22690201,12.13616371,11.53818226,11.39300251,11.92645645,11.62659454,12.18754578,11.82569981,11.75961876,"HLA-DRA"
11.03841591,11.31586742,10.97695351,10.54471874,10.84309864,10.9543047,10.90825653,10.99705219,10.50963879,10.74897575,10.56736374,10.65499306,10.32411766,11.21754932,10.74531364,11.22842979,10.55328941,10.59561634,8.655215263,11.47144318,11.27571201,10.71742725,10.85848522,10.77529144,11.33035278,10.63823891,10.37951946,10.87730408,10.70947838,10.86915398,10.78119564,10.94766617,10.4002409,11.0855217,9.897337914,10.20597744,10.74319553,10.1976757,10.93662739,10.66281223,10.43802071,10.83055115,10.88182545,10.61574554,11.94188023,11.0855217,10.26924419,10.02748299,10.66473389,10.51150322,11.17614079,11.16868782,11.47451878,10.99236298,11.21216297,11.0572176,11.07835579,11.21479321,11.37238979,11.18354511,11.33603287,10.73732662,11.1785841,10.84309864,11.44206619,10.83682823,11.11868668,10.91038418,11.2413044,10.55328941,11.07835579,11.08322716,11.41880035,10.84309864,10.94541359,10.94541359,10.89716244,10.75279617,10.87730408,10.63244057,11.0500412,11.37530899,11.43308735,11.20708656,11.41554737,10.39696121,10.68238735,11.33603287,10.75671959,11.02679539,11.46554279,10.64368725,11.14822865,11.29978275,10.58025169,11.06648064,10.86284065,10.82837582,10.77529144,11.0642519,11.0642519,10.96123505,11.10438442,11.68727493,11.56089401,11.10891438,11.04541588,10.83254242,11.47451878,11.08088684,11.10199451,11.56419468,11.56089401,11.2650938,10.89269829,11.00186729,11.13335991,11.55117226,10.93006611,10.75475121,10.74897575,11.41554737,11.15869713,11.10199451,11.51408386,10.59561634,10.72550392,11.55734348,11.19110584,10.84954739,11.29166222,11.20708656,11.10438442,11.51088715,11.21216297,11.02450848,10.63055038,11.17122555,11.65621376,10.83682823,11.5203476,11.31055069,10.33751583,11.23127174,10.61039734,11.18611336,11.42746353,11.10891438,11.24374485,11.12617207,11.2650938,10.94766617,10.8711834,11.31055069,10.34985065,10.37007713,10.8711834,11.09276199,10.27346992,10.65681362,10.27346992,10.54301548,10.91499233,"C5AR1"
8.478274345,8.317951202,8.20849514,8.273373604,8.417059898,8.578942299,8.153944016,8.112732887,8.383538246,8.464249611,8.15653038,8.218916893,8.230124474,8.74575901,8.463513374,8.353780746,8.235612869,8.192048073,7.257436275,8.196479797,8.084902763,7.97222805,8.054409981,8.187320709,8.491280556,8.074954033,7.758519173,8.382411957,8.189974785,8.313207626,8.28546524,8.274055481,8.091467857,8.795781136,7.752713203,8.057644844,8.558712959,8.0143013,8.725622177,8.137145042,7.784889221,8.426980972,8.473205566,8.377117157,8.826451302,8.686434746,8.266010284,8.109509468,8.461213112,7.874112129,8.082048416,8.582796097,8.453783989,8.462752342,8.273060799,7.978152752,7.9205966,8.230743408,8.139956474,8.093858719,8.434845924,8.525888443,8.103673935,7.981374741,8.177047729,8.01189518,8.375395775,8.13230896,8.038132668,7.989870548,8.523048401,8.217686653,8.474772453,8.211769104,8.461213112,8.188153267,8.411985397,8.108171463,8.129613876,8.007923126,8.266945839,8.126045227,7.818964005,8.248492241,8.010465622,8.014552116,7.948607922,8.100590706,7.88347435,7.879426003,7.934421062,7.945528984,7.944011211,8.219489098,7.968922615,8.774078369,8.038132668,8.017130852,7.959134579,7.81178236,8.021677971,8.150323868,7.92907095,8.236264229,8.107419968,8.219489098,8.083361626,8.027489662,8.37009716,8.201969147,8.245113373,8.150323868,8.257748604,7.88263607,8.118340492,7.882839203,7.796619892,8.076939583,7.948358059,7.903129101,8.118889809,7.672112942,8.102625847,8.52626133,8.675655365,8.267264366,8.229815483,8.739024162,8.424436569,8.014552116,8.555725098,7.994849205,8.709440231,8.63160038,8.287343025,8.107908249,8.148674965,8.303011894,8.52265358,8.266010284,8.376072884,8.374686241,8.114561081,8.196199417,8.311912537,8.212061882,8.565928459,8.474351883,8.306266785,8.574298859,8.371481895,8.118083,8.250575066,8.207606316,8.078974724,7.834723473,8.57683754,8.557855606,8.240764618,7.539465427,8.186738014,8.176457405,8.75658989,"PLAUR"
10.99236298,13.22806835,13.63367081,14.07937431,11.27828598,14.2312479,12.31189346,11.63295078,10.17667294,11.37530899,11.43308735,12.36664677,14.2312479,8.981022835,8.828462601,10.04253292,10.35912323,11.05246258,12.3387146,11.4842844,12.54341602,11.19110584,10.67068481,10.94994354,9.971450806,10.22173977,13.6539793,9.609920502,9.904278755,11.96833324,9.971450806,12.36664677,13.80442715,10.29890156,13.83668804,13.18112183,13.50062847,13.12164688,12.39024067,13.2358284,13.44976616,13.52732468,11.75607681,14.17344284,11.13573265,11.10438442,13.97814465,13.63367081,13.62398815,13.50062847,10.54817104,14.28796482,11.96833324,14.53448772,10.74897575,14.61182499,12.28855419,9.795331955,14.39126587,13.62398815,10.6267395,10.26482964,12.8415947,8.428877831,11.13822651,11.0855217,11.1209116,11.90428162,8.943826675,11.48103046,11.10677719,8.22256279,12.44225883,10.67859173,8.922545433,11.73183346,10.00515652,11.13085461,10.61574554,14.46974087,12.58755398,9.203766823,11.50496578,8.723670006,9.210638046,14.67478466,8.927659035,10.40991497,10.18095112,12.07474613,9.113062859,13.25871658,11.37851143,9.78986454,14.43885326,12.46250629,13.12164688,12.98013592,9.42598629,10.86284065,11.23374939,10.6248455,13.48360062,13.19629192,10.71153736,12.27932835,12.0150528,13.91954327,9.914548874,8.467381477,13.22032928,8.519458771,12.31189346,9.99764061,11.42158604,12.07038212,12.12418556,9.084938049,12.38559341,12.4329834,12.91869926,14.40771866,14.62656593,9.59508419,10.30762768,12.67507935,10.95208836,12.80473804,13.82612133,9.9053545,13.73166943,9.948023796,10.09887505,10.14517021,12.11074257,9.887524605,10.13317776,11.12617207,11.09958172,13.82612133,11.97586155,12.07474613,10.85848522,9.903131485,10.35912323,10.41477013,10.65879917,10.36376381,13.60636997,11.9302578,12.89973545,12.2399683,12.8229599,12.56590748,9.885280609,9.948023796,8.798772812,8.488840103,8.85573864,9.678401947,9.044613838,8.482568741,9.521782875,"LCN2"
7.173913479,7.1877141,7.254821301,7.066466808,7.257307053,7.18787241,7.223982334,7.237391949,7.250001907,7.102996349,7.209227562,7.210674286,7.112999916,7.193878651,7.08762455,7.08022356,7.117591858,7.060149193,7.368570328,7.096851349,7.091948986,7.146632195,7.070552349,7.169116974,7.146327496,7.110393047,7.118864536,7.096327305,7.17025423,7.546176434,7.13642931,7.66981554,7.122495651,7.133529663,7.10675621,7.167154789,7.20249939,7.236651897,7.357931614,7.067994595,7.0794034,7.158285141,7.2061553,7.267360687,7.178098679,7.358762741,7.278009892,7.292742252,7.208786011,7.14295435,7.195351124,7.096851349,7.099272728,7.246618271,7.252455235,7.213822365,7.217678547,7.098770142,7.196643829,7.476741791,7.22140789,7.333106995,7.169928074,7.175503731,7.236374378,7.161772251,7.183608532,7.040949821,7.020223141,7.182355881,7.153220177,7.228547573,7.11898756,7.083673954,7.185333252,7.076957226,7.189509869,7.285231113,7.292990208,7.159676552,7.246738434,7.233972073,7.123295307,7.109149456,7.069020748,7.211214066,7.133863926,7.087872505,7.069916725,7.132253647,7.056267738,7.151662827,7.248304844,7.3137393,7.162024975,7.11898756,7.078854084,7.208078384,7.092936039,7.165941238,7.259090424,7.052527905,7.198422909,7.048898697,7.196958542,7.143939018,7.056663513,7.09361887,7.29463768,7.265503883,7.094290257,7.068081856,7.148493767,7.147324562,7.1606884,7.127978802,7.129012585,7.142172337,7.032957554,7.162272453,7.23347044,7.315633774,7.176661015,7.157487392,7.049458504,7.161082268,7.09617424,7.021573544,7.079972267,7.182690144,7.09401989,7.165840149,7.188572884,7.784193039,7.163487434,7.308355331,7.207594395,7.205088139,7.086154938,7.185895443,7.284958839,7.27006197,7.178025246,7.46243,7.158480644,7.211833,7.079461098,7.137053013,7.170926094,7.214220047,7.308954239,7.155455112,7.218521118,7.219770432,7.208120823,7.095088005,7.134581089,7.191541672,7.111999989,7.253470421,7.174273491,7.205804348,7.127964497,"NLRP3"
