"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.46,0.536842105263158,0.56,0.51,0.51,0.51,0.51
10,0.38,0.468085106382979,0.5,0.44,0.44,0.44,0.44
20,0.58,0.58,0.58,0.58,0.58,0.58,0.58
30,0.38,0.4375,0.46,0.42,0.42,0.42,0.42
40,0.47,0.515463917525773,0.53,0.5,0.5,0.5,0.5
50,0.43,0.474226804123711,0.49,0.46,0.46,0.46,0.46
