"Metric","Mean","SD"
"MCC",0.949123906950678,0.11235379989804
"F1",0.980363636363636,0.045550312338883
"AUC",1,0
"TPR",0.965,0.0796139676086039
"TNR",1,0
"PPV",1,0
"NPV",0.935,0.141926381068136
