"GeneID","Importance_average_feature_importance_noSMOTE_GSE154918","Importance_average_feature_importance_noSMOTE_hr0_GSE57065","Importance_average_feature_importance_SMOTE_GSE100159","Importance_average_feature_importance_SMOTE_GSE131761","Importance_average_feature_importance_SMOTE_GSE185263","Importance_average_feature_importance_SMOTE_GSE235713","Importance_average_feature_importance_SMOTE_GSE243217","Importance_average_feature_importance_SMOTE_GSE28750","Importance_average_feature_importance_SMOTE_GSE65682","Importance_average_feature_importance_SMOTE_T0_GSE69063","MetaImportance"
"FCGR1A",2.61075882735998,0.266635500096624,0.599050280415697,NA,33.9573217187716,NA,1.09743944170674,0.36055234842095,0.309738710253229,NA,5.60021383243212
"S100A8",2.58950954409744,0.360737551056211,1.02667904450388,4.55817187048988,15.5859788184989,8.52588206137892,1.41688059725565,0.444679161307646,10.3566789398904,1.96318869882997,4.68283862873089
"CD177",2.56546267713701,0.920486733398261,1.39008051029524,3.53167230620741,19.4799832207203,4.57610204315286,1.3071351813012,0.827906634029527,10.10463179236,1.67205011451659,4.63755112131184
"ARG1",2.47255030528351,0.326572537626136,0.461230156577157,2.24058140132209,5.60662559902855,8.52042747824858,1.32353601358215,0.213180687908102,9.06162658471939,1.846832135014,3.20731628993097
"MAPK14",2.3731262614107,1.07128715726746,0.901696460140283,4.30862335762433,9.88395353383602,0.776355042223114,1.15895615590856,0.232419174192136,4.75098908461041,1.86844945108816,2.73258556783012
"C3AR1",2.22338494661035,0.295335811565488,0.335453713790823,1.69284075517084,14.7767784549617,1.7431679271187,0.0243715817947814,0.695960926172269,0.614331157529603,0.599982639636682,2.30016079143512
"S100A12",1.92042613244781,0.937295802484667,1.08747414649123,4.59309840201639,18.5136494163818,3.88158394302364,1.33389871656445,0.865532636272997,11.0241902669454,3.39942402321574,4.75565734858441
"GATA3",1.78589529158807,0.711676999157991,0.953120530509413,4.29654300477772,18.4933286282976,6.60713503442226,1.32158487506031,0.28721791249988,8.21383921633212,1.08431219469514,4.37546536873405
"S100A9",1.71927026055516,1.14239423739717,1.01613607681203,2.80627265500514,29.7679489811884,0.38510338716869,1.33936037217965,0.874732905401019,NA,1.24058979990465,4.47686763062355
"SOCS3",1.71733934512546,0.25850686523672,0.940044647093688,3.24733641333595,3.98157949293268,4.54722873817489,1.2760029840406,0.267321432320037,0.639899976829835,2.00189303500855,1.88771529300984
"IL10",1.69744139807132,0.354206519071956,0.00865876855492381,4.38510303743316,23.4980745555555,5.87124870824546,0.0858130492891053,0.488274618897249,0.269596035958567,0.227972219886048,3.68863889109633
"TLR2",1.04447302725525,0.0325545059525147,0.552605748278898,0.0026291462159006,2.96024676028203,5.57170832283965,0.795001055672801,0.00928879241823906,0.416408240420155,1.2330783956484,1.26179939949838
"MYD88",0.941915441641765,0.0128139201909018,1.64449411130854,0.0951922420163421,13.2195442067078,0.0999240261475731,0.14274721114275,0.0175389471069923,0.0675249499604284,0.325865806521658,1.65675608627448
"MMP8",0.935009611774159,0.883226200460992,2.18135543445536,1.50684451849415,2.34890818330583,1.64330328323496,0.389503981321368,0.874896330800464,1.1449803525697,0.792313531121612,1.27003414275386
"ITGAM",0.816053614808164,1.10647148775894,1.14830404994743,0.706875340629568,2.64237291051733,1.18391673004436,1.23997408756852,0.355063578608771,1.4329769399781,0.31786741168496,1.09498761515461
"TNFSF10",0.719792544903682,0.0230551316452549,0.024812391219152,0.0104294276233563,16.8083014059094,0.149857612213873,0.0678287554027958,0.0195906013185318,0.0583146201114792,0.0528236834087458,1.79348061737563
"IL1R2",0.698755694764563,0.634020301277078,0.48512004793237,1.35071092911543,1.29649164187652,2.68253931820674,0.939434748503727,0.216149726738719,6.86792780594631,3.38577302964147,1.85569232440029
"BCL2",0.642675054480203,0.166723810095286,0.44417448073326,2.38209177609159,4.27371998524634,2.85664228979993,0.2258229918912,0.0397494427524842,4.26974822878045,1.00555634092506,1.63069044007958
"LCN2",0.228567823621173,0.589528220026115,0.49230648470053,0.797048262201371,0.829404888127116,0.606057335311169,0.982419292786366,0.255680652320963,0.447632797076381,0.0772704838654445,0.530591624003663
"MMP9",0.192709769236261,0.303905152162127,1.38320431554451,3.1700598776813,1.66960735234405,10.0514265801149,1.25942608910972,0.375943286420378,2.23860257310417,1.98949426986567,2.26343792655831
"CCR7",0.185047184447602,0.518676595507803,0.25414295552176,2.50721177699909,8.31196509929929,1.50628807543424,0.439963856381744,0.854741210768451,2.84089271928332,0.276878774808616,1.76958082484519
"CD14",0.161822753278404,0.00142578320802005,0.00576647848331549,0.00195637175105596,0.394707396886887,0.233962613924943,0.247193498949722,0.0156001484721774,0.0644018214604417,0.0157515610735027,0.114258842748847
"OLFM4",0.134637140799517,0.338100000039677,0.10320190411487,0.61418235915009,0.516370659318712,0.923756039664079,0.121335848481122,0.363982042934352,0.198705340841419,0.0501008575721468,0.336437219291598
"TLR4",0.129940273842669,0.0128641925652917,1.02881020618998,0.0573070310242212,0.995270966580639,1.11112456053487,0.493864795599723,0.0182982939084769,0.116214567316499,1.45707402246727,0.542076891002964
"ICAM1",0.0943789551194981,0.011892965945054,0.00282417519623479,0.125151147698435,0.795948916311195,0.0338146420067758,0.0052271462077654,0.00576848029150588,0.0273551029741609,0.0452182564611905,0.114757978821182
"HIF1A",0.0846303499989403,0.0177776166122814,0.140489792725928,0.00690707096213791,0.26222560484093,0.0574302335476758,0.192986227856464,0.0473547472300592,0.0532837484105669,0.132170862074367,0.099525625425935
