"GeneID","Importance_average_feature_importance_noSMOTE_GSE154918","Importance_average_feature_importance_noSMOTE_hr0_GSE57065","Importance_average_feature_importance_SMOTE_GSE100159","Importance_average_feature_importance_SMOTE_GSE131761","Importance_average_feature_importance_SMOTE_GSE185263","Importance_average_feature_importance_SMOTE_GSE235713","Importance_average_feature_importance_SMOTE_GSE243217","Importance_average_feature_importance_SMOTE_GSE28750","Importance_average_feature_importance_SMOTE_GSE65682","Importance_average_feature_importance_SMOTE_T0_GSE69063","MetaImportance"
"FCGR1A",2.61075882735998,0.266635500096624,0.599050280415697,NA,33.9573217187716,NA,1.09743944170674,0.36055234842095,0.309738710253229,NA,5.60021383243212
"S100A8",2.58950954409744,0.360737551056211,1.02667904450388,4.55817187048988,15.5859788184989,8.52588206137892,1.41688059725565,0.444679161307646,10.3566789398904,1.96318869882997,4.68283862873089
"CD177",2.56546267713701,0.920486733398261,1.39008051029524,3.53167230620741,19.4799832207203,4.57610204315286,1.3071351813012,0.827906634029527,10.10463179236,1.67205011451659,4.63755112131184
"ARG1",2.47255030528351,0.326572537626136,0.461230156577157,2.24058140132209,5.60662559902855,8.52042747824858,1.32353601358215,0.213180687908102,9.06162658471939,1.846832135014,3.20731628993097
"MAPK14",2.3731262614107,1.07128715726746,0.901696460140283,4.30862335762433,9.88395353383602,0.776355042223114,1.15895615590856,0.232419174192136,4.75098908461041,1.86844945108816,2.73258556783012
"C3AR1",2.22338494661035,0.295335811565488,0.335453713790823,1.69284075517084,14.7767784549617,1.7431679271187,0.0243715817947814,0.695960926172269,0.614331157529603,0.599982639636682,2.30016079143512
"S100A12",1.92042613244781,0.937295802484667,1.08747414649123,4.59309840201639,18.5136494163818,3.88158394302364,1.33389871656445,0.865532636272997,11.0241902669454,3.39942402321574,4.75565734858441
"GATA3",1.78589529158807,0.711676999157991,0.953120530509413,4.29654300477772,18.4933286282976,6.60713503442226,1.32158487506031,0.28721791249988,8.21383921633212,1.08431219469514,4.37546536873405
"S100A9",1.71927026055516,1.14239423739717,1.01613607681203,2.80627265500514,29.7679489811884,0.38510338716869,1.33936037217965,0.874732905401019,NA,1.24058979990465,4.47686763062355
"SOCS3",1.71733934512546,0.25850686523672,0.940044647093688,3.24733641333595,3.98157949293268,4.54722873817489,1.2760029840406,0.267321432320037,0.639899976829835,2.00189303500855,1.88771529300984
"IL10",1.69744139807132,0.354206519071956,0.00865876855492381,4.38510303743316,23.4980745555555,5.87124870824546,0.0858130492891053,0.488274618897249,0.269596035958567,0.227972219886048,3.68863889109633
"TNFSF10",0.719792544903682,0.0230551316452549,0.024812391219152,0.0104294276233563,16.8083014059094,0.149857612213873,0.0678287554027958,0.0195906013185318,0.0583146201114792,0.0528236834087458,1.79348061737563
"IL1R2",0.698755694764563,0.634020301277078,0.48512004793237,1.35071092911543,1.29649164187652,2.68253931820674,0.939434748503727,0.216149726738719,6.86792780594631,3.38577302964147,1.85569232440029
"MMP9",0.192709769236261,0.303905152162127,1.38320431554451,3.1700598776813,1.66960735234405,10.0514265801149,1.25942608910972,0.375943286420378,2.23860257310417,1.98949426986567,2.26343792655831
