"Sample","CEACAM4","LAMP1","PLAC8","PLA2G7","Label"
"GSM5608946",9.73341860113087,10.2757360405935,10.1062523876813,5.55967060145006,"sepsis"
"GSM5608947",9.50158414834412,10.2726207809375,10.3315018944801,5.73826174734287,"sepsis"
"GSM5608948",9.97111067668935,10.62826261268,11.7120998334404,5.5793175681143,"sepsis"
"GSM5608949",9.09106910880806,10.4547890972423,9.37505759149702,6.49831752155187,"sepsis"
"GSM5608950",9.23411236772983,10.1871665870701,10.5253772020393,6.20936512542777,"sepsis"
"GSM5608951",6.13724808938418,9.63068865722207,9.44370524863164,3.20897084017291,"sepsis"
"GSM5608952",7.84317177349167,9.4789500169125,9.72469514715738,5.82993702342333,"sepsis"
"GSM5608953",11.0011722265114,9.89615893998563,12.051572906938,4.42170671743969,"sepsis"
"GSM5608954",11.1689492971593,10.5549338254036,13.1079240300802,4.27879978067848,"sepsis"
"GSM5608955",10.0781051139825,10.0228686685603,9.95185788820586,5.64933777605193,"sepsis"
"GSM5608956",10.0700625325446,11.184366232051,11.4538410271331,5.34856887839681,"sepsis"
"GSM5608957",10.0769143123342,10.4405973112024,10.0742221352948,5.58151969269824,"sepsis"
"GSM5608958",9.89426498343841,9.43480264226861,9.8674281820121,7.11216445741858,"sepsis"
"GSM5608959",9.61507019576224,9.12417989928851,12.6358863319088,5.4865943101714,"sepsis"
"GSM5608960",11.1678338802148,10.2838421573376,12.0008412739973,5.07573843503508,"sepsis"
"GSM5608961",10.2426451649126,9.36630274033671,9.75248744678811,6.84937544667707,"sepsis"
"GSM5608962",9.18046388892903,10.0577448461704,10.6536827681476,6.41032666621105,"sepsis"
"GSM5608963",9.76761437483903,10.064133639051,9.01893223635148,6.67478877776781,"sepsis"
"GSM5608964",9.33657696000635,9.98044135237168,10.7016124820286,5.17548629296007,"sepsis"
"GSM5608965",9.97084895090989,9.66505570464463,10.8167724339517,6.91567068280246,"sepsis"
"GSM5608966",10.0414172410605,10.7640636859644,9.19866352595996,8.45896506174542,"sepsis"
"GSM5608967",9.46551112010676,9.98949186597896,8.1525811710743,5.86624699637015,"sepsis"
"GSM5608968",9.50124989090799,9.81455603458348,9.51565521530485,6.99683134431046,"sepsis"
"GSM5608969",10.0581416473908,10.4925046458635,9.74717118335461,7.09688706511859,"sepsis"
"GSM5608970",9.74108527496629,10.1327435184873,9.53940806660545,6.52259337030075,"sepsis"
"GSM5608971",10.2289338243501,10.4311567477528,8.47999599768742,6.44306619007862,"sepsis"
"GSM5608972",9.53360738366833,10.8960849538002,10.6929513275673,6.9986240178207,"sepsis"
"GSM5608973",7.61903310755393,10.1504385238218,9.97912945209452,4.65546121956939,"sepsis"
"GSM5608974",8.48331968669772,10.132918643273,10.2913993015795,5.85027649665218,"sepsis"
"GSM5608975",9.93924278699429,10.8898963459018,9.82311346055236,6.39298407926089,"sepsis"
"GSM5608976",9.85148877213511,10.1943650923297,9.3661025898651,6.83968926191879,"sepsis"
"GSM5608977",10.4200473848831,10.9039555938912,10.2155979540498,5.98621825172667,"sepsis"
