"Metric","Mean","SD"
"MCC",0.949922916179494,0.0765271008124815
"F1",0.968811188811189,0.0504976385691495
"AUC",0.998035714285714,0.00666463713696314
"TPR",0.95,0.0870388279778489
"TNR",0.99375,0.0273803641946988
"PPV",0.99375,0.0273803641946988
"NPV",0.962606060606061,0.062832613230002
