"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"ARG1",12.9381800074838,8.20782249774655,"Up_in_Sepsis",1212.5,1.02911156169272e-09,0.995884773662551,6.15620895798577e-09
"CCR7",11.4797284797941,14.4249871590518,"Down_in_Sepsis",3,1.09616955159246e-09,-0.995061728395062,6.15620895798577e-09
"CD177",11.8022042978406,7.16509211449851,"Up_in_Sepsis",1209,9.06899125093776e-10,0.990123456790123,6.15620895798577e-09
"GATA3",7.37310749340543,9.00448638855267,"Down_in_Sepsis",0,9.06899125093776e-10,-1,6.15620895798577e-09
"HLA-DRA",11.1156771310267,13.1713028374283,"Down_in_Sepsis",0,9.06899125093776e-10,-1,6.15620895798577e-09
"IL10",7.69287555315087,6.93924596301427,"Up_in_Sepsis",1215,9.06899125093776e-10,1,6.15620895798577e-09
"MAPK14",10.8250650667467,8.7696037938551,"Up_in_Sepsis",1215,9.06899125093776e-10,1,6.15620895798577e-09
"MMP9",16.5309348454311,13.1053877077719,"Up_in_Sepsis",1214,9.65934137620267e-10,0.998353909465021,6.15620895798577e-09
"S100A12",17.3427660516695,13.3184617630131,"Up_in_Sepsis",1215,8.87565704878422e-10,1,6.15620895798577e-09
"S100A8",18.3555232520002,15.4195309105796,"Up_in_Sepsis",1215,7.90354078669036e-10,1,6.15620895798577e-09
"SOCS3",11.1453049000514,8.32547527255811,"Up_in_Sepsis",1214,9.66059752866011e-10,0.998353909465021,6.15620895798577e-09
"C3AR1",11.4986100084003,9.34836254925757,"Up_in_Sepsis",1209,1.32392825135958e-09,0.990123456790123,6.44311748994997e-09
"S100A9",17.166491721883,15.6887669987038,"Up_in_Sepsis",1209,1.31312654278764e-09,0.990123456790123,6.44311748994997e-09
"BCL2",7.7436507190524,9.0890302538511,"Down_in_Sepsis",8.5,1.50093390125038e-09,-0.986008230452675,6.84801092445486e-09
"IL1R2",13.2428105018477,9.25049494040233,"Up_in_Sepsis",1203,1.92607027788281e-09,0.980246913580247,7.40016475186554e-09
