"Metric","Mean","SD"
"MCC",0.961464281994822,0.075118992797895
"F1",0.976666666666667,0.0454844645267036
"AUC",1,0
"TPR",0.958,0.0818720361480665
"TNR",1,0
"PPV",1,0
"NPV",0.965,0.0682266967900554
