"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.680244428147528,0.792954267954268,0.922857142857143,0.741666666666667,0.902857142857143,0.888825396825397,0.811839466089466
10,0.676666379053545,0.794402979373568,0.926547619047619,0.761666666666667,0.89,0.873454545454545,0.833349927849928
20,0.681427317338453,0.804664557664558,0.9225,0.763333333333333,0.895714285714286,0.879428571428571,0.827040764790765
30,0.512044466917414,0.698354619566741,0.831309523809524,0.648333333333333,0.831428571428571,0.781297619047619,0.746189033189033
40,0.314722149725986,0.567694819209971,0.706190476190476,0.513333333333333,0.768571428571429,0.679154761904762,0.653939754689755
50,0.231913063332656,0.544460477793811,0.718571428571429,0.526666666666667,0.69,0.605440476190476,0.646316738816739
