"Metric","Value"
"MCC",-0.126117338682493
"F1",0.476337449062237
"AUC",0.606075757575758
"TPR",0.672666666666667
"TNR",0.219090909090909
"PPV",0.370294288890905
"NPV",0.480226717726718
