"Metric","Mean","SD"
"MCC",0.919289730519204,0.0632582474703419
"F1",0.985168961033705,0.0116989180003231
"AUC",0.996842105263158,0.00500120651941891
"TPR",0.981578947368421,0.019254699310446
"TNR",0.9475,0.0714655387744557
"PPV",0.98911285577075,0.0147406467958643
"NPV",0.922360028860029,0.0769096560646805
