"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.947417277387807,0.988643603567481,0.9995,0.9848,0.97,0.993159340659341,0.94952380952381
10,0.947656681762972,0.988609382269951,0.9996,0.9852,0.968333333333333,0.992705413105413,0.951357142857143
20,0.946590058392122,0.988429333767908,0.9996,0.9848,0.968333333333333,0.992772446072446,0.95
30,0.946841344340599,0.988125673948509,0.998666666666667,0.9824,0.976666666666667,0.994613105413105,0.942238095238095
40,0.945167394896297,0.987958432636557,0.999266666666667,0.982,0.976666666666667,0.99456339031339,0.939166666666667
50,0.94432564320935,0.987776719951483,0.999466666666667,0.9836,0.968333333333333,0.992701851851852,0.946547619047619
