"Feature","Mean_Importance"
"HMGB1",1.48570259691935
"HIF1A.2",1.3456569845706
"HIF1A",1.30919417282916
"PLAUR",1.22815692308151
"CD14",1.07386413890277
"HIF1A.1",1.00951853030373
"CXCL10",0.689902424545413
"CCL2",0.673146994284677
"MYD88",0.649273221468522
"BCL2.1",0.637536502987492
"HLA.DRA.1",0.569879758277664
"TNF",0.458982594844488
"CCR2.3",0.436482574939163
"TNFSF10",0.41509308685305
"HMGB1.1",0.409256874930232
"ITGAM",0.380668076443724
"ICAM1",0.379386442089709
"CD14.1",0.376076318124782
"TLR4",0.368576145591706
"PDCD1",0.350613393511231
"HLA.DRA",0.334354922099088
"MAPK14.2",0.333217481709066
"CCR7",0.330762045595064
"S100A12",0.328165348251133
"C5AR1",0.326460300358733
"CX3CR1.1",0.316639227830724
"S100A8",0.314298477128254
"OLFM4.1",0.305919173169962
"ARG1",0.300518403493265
"IL10.1",0.290040116943126
"CALCA",0.275473772358487
"CCR2.5",0.273865904206795
"P2RX7",0.273115140402406
"NLRP3.1",0.265980347879334
"NLRP3",0.264952382788847
"CX3CR1",0.261376587688789
"CD177",0.260243909980499
"NOTCH1",0.260106506920313
"FCGR1A",0.254277770271438
"OLFM4",0.241542340354969
"CCR2.2",0.239472489959882
"MMP9",0.225759632076381
"TLR2",0.22500245626307
"CCR2.1",0.224869499316004
"NLRP3.2",0.224282190440096
"IFNG",0.218175686068767
"PLAUR.2",0.217754996131161
"IL6",0.216998688511416
"ELA2",0.214315740433236
"IL1B",0.208700438802372
"IL10",0.205278659808869
"CCL25",0.20409138651413
"IL1R2.2",0.203013378820528
"C3AR1",0.191732686923738
"CCR2.4",0.190878689460688
"IL8.1",0.188173819119731
"LCN2",0.187409514652224
"BCL2",0.182820984284621
"MAPK14.3",0.1818059882672
"IL8",0.181730913381028
"SOCS3.1",0.181254052560599
"MAPK14",0.177286254408446
"IL1R2.1",0.176103709295495
"CCL19",0.174092585577058
"PLAUR.1",0.168675368780416
"CCR2",0.16325728808881
"S100A9",0.158616180581918
"IL1R2",0.153235306337146
"MMP8",0.152849043417366
"TREM1",0.150298716822523
"MAPK14.1",0.14185060447567
"GATA3",0.133288959494516
"VCAM1",0.122074237934027
"SOCS3",0.1157015676912
