"Sample","CCR2","CCR2.1","IL10","HIF1A","IFNB1","ITGAM","TREM1","IFNA1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IFNA2","IL6","BCL2","CALCA","TLR4","ELANE","NLRP3.1","CCR7","CXCL13","CCL2","MAPK14","TLR5","LY96","TNF","NOTCH1","S100A8","LBP","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.2","IL1R2.1","TLR2","CD177","IL1B","CCR2.3","CCR2.4","TRIL","CRP","SOCS3","CCL25.1","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","CXCR4","PDCD1","CALCA.1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","HLA-DRA.1","FCGR1A","IL8","IFNG","CXCR4.1","BCL2.2","IL1R2.2","CCR2.5","VCAM1.1","CXCR4.2","VCAM1.2","CALCA.2","BCL2.3","PLAUR.1","CCR2.6","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","CCR2.7","CCR2.8","CD177.1","Label"
"GSM4075770",5.14443645,5.758920916,5.022158297,5.034755891,5.039317717,10.86484705,8.632777558,5.094649417,11.17132401,11.60806966,8.951542663,10.28086345,5.634440995,4.94202533,5.097077382,5.169661854,5.089708765,8.597224658,6.365059767,8.327033967,7.901820236,5.18436228,5.054350964,5.126819286,11.69700493,10.87391351,6.72613079,9.408111081,13.93643473,5.081790853,8.268575193,5.049827026,10.63690258,11.7037472,5.44969682,13.61332122,14.04996793,5.080188208,7.962301149,6.887438259,5.206175115,5.07095096,5.126946279,8.216155228,14.11225042,7.720493586,7.954228234,8.88654974,4.987329658,5.109413766,5.239735861,5.036435012,6.279084889,5.1039852,8.836466169,5.818848538,5.11262298,5.067231902,13.06139377,5.3727899,11.38193837,5.868487209,5.058298899,5.005597851,5.754901419,11.80418934,13.23988993,8.059050967,5.954662665,11.46668168,10.02780825,5.226839788,5.060579986,5.245514669,5.924135432,5.025224845,5.049337241,5.102240227,8.308613826,5.191759081,5.144354697,5.062762296,8.772274125,5.001671184,6.98546424,6.894466558,13.19165192,5.009263725,7.680169778,4.972305737,4.981379825,9.056538765,"Shock"
"GSM4075772",5.002827006,5.90654954,4.984431961,5.216489425,4.974614781,10.20972357,8.409532393,5.140884677,11.98124199,11.17711805,8.843648219,10.66760824,5.306648243,4.970710868,4.994997957,5.01697708,5.073310042,6.921864628,7.495682446,7.770723766,10.52250872,5.061801839,4.970493369,5.277306901,10.54647868,10.38162938,7.553955004,9.504623422,14.2030844,4.986093469,6.887744876,5.128153875,10.49542548,11.86229205,7.15801776,12.4667898,13.93381851,5.005876943,5.972102718,7.085285388,5.098258867,5.108533778,5.09699345,8.170347192,10.52100549,6.297693447,7.668661936,10.32521632,5.045363876,5.091854766,5.006905499,5.015968841,5.883260826,5.019954894,8.096266812,5.367102971,5.392479428,5.19573456,10.64035834,6.812006456,10.98619087,6.017190736,5.217599626,5.053510948,6.003073092,7.405647681,12.99288526,10.35799902,6.403571956,12.14887098,9.884207859,5.222904706,5.261204018,5.031954273,7.687597636,5.003789211,5.105332617,5.02499663,8.181887507,5.0848317,5.118855378,5.12537478,8.799100946,4.985169985,6.31534271,5.994680353,13.20500797,5.342722254,7.38701191,4.981202096,4.963258075,7.883602833,"Shock"
"GSM4075777",5.076483755,6.313238313,5.231229352,5.145318902,5.046021778,10.710575,8.926845204,4.996559238,10.87890056,11.68067972,8.796213914,10.44979123,5.235994217,5.059510685,5.131173921,5.021041482,5.10680267,8.724340726,9.394458466,6.993994631,9.790703642,5.085635375,5.075714077,5.179401681,10.69837858,10.49542548,7.195524339,9.628057386,13.59151099,5.01376383,8.184319561,5.064867796,10.96319199,12.06328517,5.225558745,13.54133812,13.91117408,5.033431316,7.760516792,6.61025897,5.210866537,5.078683473,5.070755088,8.280592796,13.89937236,7.508409824,9.042928142,8.119279275,5.057429473,5.17445524,5.128925618,5.073368139,6.532779972,5.179792244,9.553777625,6.793775243,5.572683895,5.18394887,13.05540474,5.98100148,11.29834504,7.42750781,5.060007823,5.015307723,5.673922349,8.815319075,12.49772625,7.221486335,6.007543843,11.04783756,8.931098511,5.087319145,5.017253503,5.139431954,6.835852843,4.980837979,5.219376652,4.995415931,9.044716455,5.166956018,4.910691017,5.140501653,9.253894491,5.001066966,6.428571715,6.948683118,13.44282847,5.15369735,8.176543944,5.014299257,4.989422451,9.729866582,"Shock"
"GSM4075784",4.346799365,5.734356103,4.266062147,4.225289537,4.218673725,10.59101737,7.603637301,4.412258339,11.61342141,10.91591122,8.858462326,10.57423584,4.792884616,4.548482546,4.52237699,4.29911589,4.329923644,7.42007463,7.89841277,6.709820779,9.031619469,4.353194293,4.189856126,5.02485914,11.13876003,10.44665378,8.007887833,9.683691693,14.17636053,4.192351219,7.324867252,4.341157919,10.74818989,12.05810144,6.518237621,11.85555842,13.81506813,5.289216248,6.158033039,6.481490573,4.565928791,4.316380845,4.296314168,7.289119551,11.88468503,7.067795482,9.296169258,9.614783072,4.353983518,4.352400648,4.304168145,4.289670175,7.144333934,4.247739014,9.168780922,6.539372377,4.513367678,4.745603745,10.29937216,5.391836096,11.19883852,7.314153969,4.289690313,4.470366814,6.401706423,8.856594802,11.83976854,9.048328452,8.752792297,11.78086155,11.72908275,4.473214603,4.419426999,4.440968416,6.616698198,4.321984068,4.447970761,4.241446751,7.329233089,4.499770514,4.354016414,4.351626455,9.272162039,4.235576279,5.645874842,6.395276853,13.68833262,4.276549966,8.438754603,4.307295834,4.209554532,8.784876567,"Shock"
"GSM4075801",4.423454707,5.887413794,4.245834392,5.233907971,4.287824361,11.41266958,8.515949507,4.413208292,12.77453745,11.87543966,9.648690544,9.121357344,5.849922983,4.354550118,4.373050801,4.393983185,4.279065687,8.782505232,6.561092753,7.882467182,8.265727778,4.343467336,4.297350313,4.728277243,10.82672535,12.37555484,6.854998797,9.968498873,13.9044327,4.555345852,8.179745406,4.405746324,11.08091364,11.6266244,5.498910264,12.71740721,13.95373346,4.581897799,7.867957845,6.13745333,6.972306839,4.437751653,4.545552913,8.273435141,13.72624733,9.084563125,8.537897261,9.176549397,4.333341126,4.385135856,4.305948911,4.847049191,7.450267998,4.362953284,9.972404698,7.454414073,4.799565712,5.963424466,13.57236003,5.761640185,12.32166159,8.40803636,4.996567902,4.474797163,6.749659553,10.98929362,12.015065,8.351881633,6.434987703,13.22840555,10.71420854,8.392076308,4.998167121,4.452259608,6.820684071,4.280258523,4.521479797,4.240463548,9.002294301,4.509521407,4.352775563,4.628610566,10.36972684,4.392248737,8.363757998,7.301100333,13.34787931,4.657973299,9.437739948,4.26483333,4.3415627,9.184367901,"Shock"
"GSM4075811",4.264502315,4.705299842,4.369167228,4.537519975,4.19581341,9.830437911,7.503882984,4.51628858,10.38733406,10.34448057,7.267981688,11.01903006,4.675961518,4.291687028,4.789049812,4.330866953,4.294232562,6.439245918,9.369294204,6.941745341,6.023399312,4.344151314,4.27926766,4.309670998,8.725655144,10.73436766,5.953793902,8.356895064,13.04898445,4.189636977,6.192615834,4.445305921,9.527224305,10.74624409,5.287135163,12.05966496,13.72664295,4.443703648,5.003920707,5.495038289,4.669888319,4.40457385,4.23584481,6.033653311,11.8694125,5.668336973,7.104122499,6.233050052,4.278972059,4.299772773,4.195200269,4.262341627,5.816617094,4.202086987,6.164302701,5.152902105,4.675161844,4.333937355,12.8078148,5.00110652,10.1480575,6.69211555,4.415648418,4.330962915,5.518653887,10.11928452,10.20546542,8.141273383,7.259607493,11.17112126,7.866187875,4.367268124,4.658047764,4.249195798,5.8073108,4.361809948,4.465164581,4.271034913,7.430770979,4.235588404,4.211587703,4.271266697,7.752643806,4.281173278,5.807097217,5.421939692,12.24207156,4.392497211,7.022122536,4.44633329,4.206058002,6.830813035,"Shock"
"GSM4075813",4.637174356,5.686708918,4.428032696,4.243517579,4.282032897,7.572684517,5.313215136,4.366095779,11.71533504,8.51466607,5.314020674,5.592780082,4.788867278,4.472548444,4.52675207,4.256293543,4.453060868,4.742872628,4.395117594,5.994480176,8.728546458,4.827214466,4.257714856,4.75522857,6.629329087,8.373927623,5.345392549,6.820779863,12.38184085,4.190045353,4.339795733,4.818252575,7.719764092,9.188230997,7.50209494,5.693131626,13.07033222,4.231638498,4.146530795,6.004039824,4.258359136,4.405601981,4.248471093,7.200147525,6.569957882,4.277426938,4.358970908,6.676268497,4.208122061,4.348641163,4.206473087,4.198378871,5.137863147,4.302072637,5.321633521,4.249212474,4.412681464,4.443248022,5.017124612,6.29178806,8.941277158,6.52673912,4.208444772,4.327732039,4.299938506,4.376016935,9.173149452,10.50877885,4.208986832,12.31567882,5.527283757,5.237399693,5.116325594,4.245093009,7.568961635,4.350868043,4.82504812,4.184538239,6.59709866,4.321324033,4.324098044,4.666898152,6.227992004,4.231876233,4.433902309,4.349354325,10.91227294,4.836228715,5.478312821,4.296847872,4.581392721,4.3187926,"Healthy"
"GSM4075814",4.176763006,6.566983619,4.206456606,4.284252455,4.16366621,7.449481747,6.359936232,4.188459723,11.66690418,8.412651087,5.557387708,5.87034907,4.561229596,4.28219957,4.322934422,4.139154785,4.204758027,5.444429473,4.703904746,5.33407733,9.648024923,4.270162997,4.254987781,4.5344552,6.368764375,8.514496867,5.478668101,7.191471288,12.24854348,4.197758318,4.777999855,4.224988385,8.688560618,9.469012839,7.061075959,7.277024414,13.36619294,4.230718437,4.619218521,6.463194966,4.436316619,4.202907265,4.424677334,7.326953417,7.606057878,4.91424767,4.312256586,7.615902703,4.286276611,4.109800132,4.165989469,4.259584454,4.619371145,4.179286575,5.290509528,4.359692804,4.234635927,4.876043443,7.094185078,6.140349434,9.779315702,7.147674945,4.269748177,4.101182508,4.476585523,4.92431479,10.40985263,9.724361882,4.511286718,11.69250989,6.337631074,5.106798582,5.052182287,4.436077961,7.293484002,4.165374751,4.828083424,4.32826132,7.945999512,4.214526339,4.101781599,4.61070232,6.910369169,4.190880677,5.053174764,4.670334103,10.4874033,4.794495646,5.641451238,4.163576082,4.188956389,4.298021904,"Healthy"
"GSM4075815",4.22479396,5.85675267,4.151286937,4.171776122,4.455433377,7.301246649,6.399502633,4.195326061,11.23474046,9.168859522,6.443385562,8.246064819,5.084941663,4.203470262,4.182389611,4.21400938,4.15505762,5.086548083,4.943017127,5.763690676,9.239263559,4.211463863,4.170154538,4.448944504,6.367978663,5.729262766,6.270906923,6.805478053,10.31486202,4.148687497,4.707915391,4.240367649,8.500729594,9.455488422,6.913711809,6.85301299,12.84463084,4.233698821,4.220225507,6.540178598,4.268248688,4.162240494,4.228074064,6.548062697,7.314837292,4.774484484,4.189553871,7.046941798,4.473722031,4.179882398,4.158588639,4.166061768,4.698782786,4.148857423,4.360854394,4.184655142,4.303696814,4.322260686,8.265872591,5.762764489,8.630942572,7.174776528,4.244701334,4.287585451,4.686201886,5.488515421,10.4516446,9.42384029,4.192513586,11.44949172,5.303998952,4.12759465,4.174809872,4.205309124,6.446580884,4.145493057,4.252881688,4.199941845,7.906767511,4.228847843,4.128561323,4.342365465,6.527788723,4.105491162,5.089191506,4.323374654,11.01813591,4.217649662,5.888130487,4.437723462,4.225229014,4.229876304,"Healthy"
"GSM4075816",4.22229989,5.590881304,4.24883053,4.4317739,4.439349192,7.97415913,7.016660999,4.170461996,11.78778411,9.670921683,6.657461861,7.372252701,4.682976284,4.291703614,4.220120137,4.265984664,4.208280652,5.625096755,4.693227447,5.471149211,9.349049703,4.253843289,4.222851057,4.210453636,7.098222843,7.226920671,5.094694322,7.481538036,11.76395709,4.128671167,4.702915707,4.255413816,8.834993669,9.632385429,7.010128066,7.452746428,13.54457392,4.16965382,4.851975565,6.098408333,4.339160807,4.123705168,4.259109764,6.83881414,8.277710234,5.419706404,4.427151164,7.680566143,4.203310683,4.208623715,4.300409586,4.252111,4.882645435,4.218327093,4.826338903,4.878865867,4.31250379,4.448056026,8.608196033,5.396664811,9.318475737,7.063176173,4.132136733,4.458508629,4.507493506,4.330658738,10.66058623,9.482774774,4.207889577,12.04254341,6.650235794,5.856389946,4.358656175,4.201716525,5.942069828,4.175751248,4.711311046,4.118565345,7.948412724,4.191347698,4.141402915,4.205964163,7.57314195,4.122608526,5.185535064,4.424677334,11.22389166,4.24522605,7.393920808,4.277701834,4.170086579,4.211348341,"Healthy"
