"Sample","ITGAM","IL10","SOCS3","S100A9","C3AR1","MMP8","CD177","S100A8","S100A12","MAPK14","IL1R2","CD177.1","ARG1","ARG1.1","GATA3","S100A12.1","Label"
"GSM3816544",13.1692120655353,8.86593806202546,12.1280923010614,17.1207911304478,11.1180668152958,12.794205770888,16.9573478242884,18.1495809068178,17.9216564109178,11.6589186277259,15.0335144718315,11.8078904824269,14.0470462064706,13.2798463362722,7.30476116459772,17.5049628044254,"septic shock"
"GSM3816545",12.7480517831428,7.55985769019903,11.6778220887703,17.5049628044254,11.9179359341837,11.3190801465254,15.6664192673543,18.3067041262992,17.7272966446493,11.5254414737183,14.519366828753,10.0856770023549,13.5907177637509,13.0738008229433,7.35219706883049,17.3273581615761,"septic shock"
"GSM3816547",12.097091419003,7.66934835819591,11.5393192411432,17.0197417002335,11.1958404482329,9.02397473168984,15.0954705760147,18.6076419152064,18.0138139426404,10.8310813751026,13.4966838159522,10.0515471792186,13.5853613558326,12.926671326283,7.25096666635026,17.8039808893842,"septic shock"
"GSM3816548",11.4504351295332,7.08700248942586,9.60933701980519,17.380594815043,10.9780495720082,8.52805871111361,12.4509539382645,18.6076419152064,17.6101450267585,9.77479705451769,10.3611144036122,7.41909366206767,13.3276356349125,12.1706658151705,7.54341088346756,16.6309976739916,"septic shock"
"GSM3816550",11.7622912881549,7.24237557358014,10.8043520909416,17.4208131466152,11.4913715185456,8.6239372785978,11.7331803512178,18.0500108735279,17.6338537008176,10.4186557114529,11.0657778205296,7.37117803670094,12.5992898477804,11.7545546836276,7.36110805330132,17.1347059366668,"septic shock"
"GSM3816551",12.9651016661543,7.45255251333369,12.2310440996435,17.2917310562135,13.619383396256,8.43239164799298,14.9858069956621,18.6895942273387,17.9828659071375,11.6184860332513,15.9078219778833,9.52053475115422,14.2909007534342,13.7432304263072,7.02588819209112,17.5462049186778,"septic shock"
"GSM3816554",13.7071622361324,8.63346771043715,12.5011666085846,17.4623712985729,11.9578842169017,11.5215369653193,17.2420655684169,18.1495809068178,17.9828659071375,11.5386213407404,14.6774007764143,12.5474088439422,13.7832070981349,12.7652020506568,7.16447411805661,17.7272966446493,"septic shock"
"GSM3816555",11.6861596699456,7.02163568950044,8.95699811898882,17.5049628044254,11.0885910992525,10.0011613156125,14.0429453952547,18.6895942273387,17.9525135083922,10.1652595733429,13.0817489932139,8.32307962825196,13.9229567157608,12.9598614432315,7.02498945336679,17.3641230955474,"septic shock"
"GSM3816556",12.5490464340707,7.54322543812952,11.7375551959811,16.9573478242884,11.5880728327358,7.66031156742898,15.2311012238963,18.4408690765849,17.9525135083922,10.3735811740357,11.2661782342078,8.64271354474131,9.42649681725137,9.07035777866362,7.51352277445047,17.4208131466152,"septic shock"
"GSM3816557",12.5280142665003,8.52091835528738,11.8844602788766,16.8778362846964,10.3221126533134,11.3522717494599,16.2586523306695,18.6895942273387,18.0138139426404,10.7494248275669,14.244441634629,10.4019524238851,14.0167697529152,13.3259787310784,7.14421020621634,17.8039808893842,"septic shock"
"GSM3816560",12.4064773690676,8.23096500382809,11.5247861621688,17.380594815043,12.0163490099684,12.0767358080264,15.3128760217176,18.8577147819099,18.0965004222735,11.0406284260627,14.9017447146956,10.2731287046882,15.3456049381228,14.4134545759486,7.06278043970337,17.9828659071375,"septic shock"
"GSM3816561",11.4837358427214,7.11208312698563,9.76972652194108,16.7968851244499,10.5742524309601,7.26017449632275,8.98041548114506,18.0965004222735,16.2891704708442,9.6405778245452,9.17476492026324,7.08418097862177,10.6598841832049,9.36493431611445,8.50065252732898,15.3906632718117,"septic shock"
"GSM3816562",12.2395682178337,8.10132307653339,13.0810376883992,17.3098070408904,11.8281337889062,9.74690194912575,13.3611032394734,18.6076419152064,18.0138139426404,10.8758366196019,14.0233054119461,8.42030565992905,13.7475536457298,12.8456569127726,7.06522681546385,17.9525135083922,"septic shock"
"GSM3816563",12.2918910931547,7.34322580216078,9.72253596056702,17.2420655684169,11.6927662780267,8.76014804463914,14.5701865677829,18.4408690765849,17.9828659071375,11.5407257659994,14.0080940733768,9.55206965122931,14.8510776689587,13.5035252526321,7.81698865189503,17.6101450267585,"septic shock"
"GSM3816565",12.3708583493389,7.68368978536627,11.6317927090603,17.1777237468869,11.7331803512178,11.0121413879795,16.2966322192722,18.8577147819099,18.0138139426404,11.2333643186681,13.6779337193134,10.4365756753551,14.4034869098929,13.3513614054168,7.36429490225603,17.9216564109178,"septic shock"
"GSM3816566",12.5167281065815,7.75945782300199,10.3858321031582,17.226225525977,10.9150402251636,9.98947447547136,16.2430931792266,18.525294851778,17.8923552422026,10.9542227860913,12.0010388863932,10.6711429667541,14.2467711607943,13.457114368031,7.6140504548383,17.4836584821631,"septic shock"
"GSM3816567",12.2279849595066,7.04805291742234,9.78312121093152,17.1923699451205,11.8492665414593,8.42492995906715,14.476314109597,18.6895942273387,17.9525135083922,11.2044709273656,14.3497944673409,8.86432533140358,15.0512200090559,14.2557778089453,6.8854564104262,17.566535235278,"septic shock"
"GSM3816568",11.2519890917463,7.36388269922688,9.87938349197147,17.0573584229909,11.5168441730248,6.90346198909959,13.5271264447036,18.1495809068178,16.7499735995533,10.3256981864808,10.6504515259462,8.36165283066819,11.5607374669161,10.7469352769451,7.65924342549149,16.1661925008733,"septic shock"
