"Sample","ITGAM","IL10","SOCS3","S100A9","C3AR1","CD177","BCL2","MYD88","S100A8","S100A12","HMGB1","MAPK14","HIF1A","IL1R2","HIF1A.1","CD177.1","ARG1","ARG1.1","BCL2.1","GATA3","S100A12.1","Label"
"GSM3816544",13.1692120655353,8.86593806202546,12.1280923010614,17.1207911304478,11.1180668152958,16.9573478242884,8.07734649241783,13.0258918979201,18.1495809068178,17.9216564109178,12.6873852875978,11.6589186277259,10.080228392322,15.0335144718315,8.35254468111449,11.8078904824269,14.0470462064706,13.2798463362722,7.92862177792887,7.30476116459772,17.5049628044254,"septic shock"
"GSM3816545",12.7480517831428,7.55985769019903,11.6778220887703,17.5049628044254,11.9179359341837,15.6664192673543,8.09598402506135,12.8334606940775,18.3067041262992,17.7272966446493,12.5334026833117,11.5254414737183,10.1428639890147,14.519366828753,9.03373784637763,10.0856770023549,13.5907177637509,13.0738008229433,7.91465980649178,7.35219706883049,17.3273581615761,"septic shock"
"GSM3816547",12.097091419003,7.66934835819591,11.5393192411432,17.0197417002335,11.1958404482329,15.0954705760147,7.71338144721787,12.9677899222873,18.6076419152064,18.0138139426404,13.2414332306485,10.8310813751026,9.51496949791314,13.4966838159522,8.41674166100819,10.0515471792186,13.5853613558326,12.926671326283,7.68318087797759,7.25096666635026,17.8039808893842,"septic shock"
"GSM3816548",11.4504351295332,7.08700248942586,9.60933701980519,17.380594815043,10.9780495720082,12.4509539382645,8.16123727792916,11.9785864575551,18.6076419152064,17.6101450267585,12.7840391281148,9.77479705451769,9.60187268900111,10.3611144036122,8.62062212620983,7.41909366206767,13.3276356349125,12.1706658151705,8.15145725335182,7.54341088346756,16.6309976739916,"septic shock"
"GSM3816550",11.7622912881549,7.24237557358014,10.8043520909416,17.4208131466152,11.4913715185456,11.7331803512178,7.82991793796057,13.0060613158484,18.0500108735279,17.6338537008176,12.2532912606396,10.4186557114529,9.66129353603678,11.0657778205296,8.69952685383758,7.37117803670094,12.5992898477804,11.7545546836276,7.84148379292456,7.36110805330132,17.1347059366668,"septic shock"
"GSM3816551",12.9651016661543,7.45255251333369,12.2310440996435,17.2917310562135,13.619383396256,14.9858069956621,7.28054561824941,13.716954635395,18.6895942273387,17.9828659071375,12.4076139329771,11.6184860332513,9.81965903618713,15.9078219778833,8.35950053971637,9.52053475115422,14.2909007534342,13.7432304263072,7.28028055601721,7.02588819209112,17.5462049186778,"septic shock"
"GSM3816554",13.7071622361324,8.63346771043715,12.5011666085846,17.4623712985729,11.9578842169017,17.2420655684169,7.53433136754272,13.3643435876663,18.1495809068178,17.9828659071375,10.9383772654911,11.5386213407404,9.43903776904358,14.6774007764143,8.43652666820653,12.5474088439422,13.7832070981349,12.7652020506568,7.60412010394855,7.16447411805661,17.7272966446493,"septic shock"
"GSM3816555",11.6861596699456,7.02163568950044,8.95699811898882,17.5049628044254,11.0885910992525,14.0429453952547,7.55437492386573,12.1831510217276,18.6895942273387,17.9525135083922,13.3013083398312,10.1652595733429,9.00503607940573,13.0817489932139,8.52550123776374,8.32307962825196,13.9229567157608,12.9598614432315,7.97474549560731,7.02498945336679,17.3641230955474,"septic shock"
"GSM3816556",12.5490464340707,7.54322543812952,11.7375551959811,16.9573478242884,11.5880728327358,15.2311012238963,8.03947009974164,13.147699455216,18.4408690765849,17.9525135083922,12.1959090098427,10.3735811740357,9.72838615410031,11.2661782342078,8.6258596710691,8.64271354474131,9.42649681725137,9.07035777866362,7.65007258546141,7.51352277445047,17.4208131466152,"septic shock"
"GSM3816557",12.5280142665003,8.52091835528738,11.8844602788766,16.8778362846964,10.3221126533134,16.2586523306695,7.47207692923419,12.5000211623276,18.6895942273387,18.0138139426404,11.568311812464,10.7494248275669,10.0383986416765,14.244441634629,9.62365398152872,10.4019524238851,14.0167697529152,13.3259787310784,7.40901642844584,7.14421020621634,17.8039808893842,"septic shock"
"GSM3816560",12.4064773690676,8.23096500382809,11.5247861621688,17.380594815043,12.0163490099684,15.3128760217176,7.16266685708021,12.1464293893093,18.8577147819099,18.0965004222735,12.2310440996435,11.0406284260627,10.3577079150763,14.9017447146956,9.25332015110119,10.2731287046882,15.3456049381228,14.4134545759486,7.24410013287515,7.06278043970337,17.9828659071375,"septic shock"
"GSM3816561",11.4837358427214,7.11208312698563,9.76972652194108,16.7968851244499,10.5742524309601,8.98041548114506,9.3623551752716,11.9870974108408,18.0965004222735,16.2891704708442,12.2223898874333,9.6405778245452,9.39648710622228,9.17476492026324,7.82403251707177,7.08418097862177,10.6598841832049,9.36493431611445,8.28258337874156,8.50065252732898,15.3906632718117,"septic shock"
"GSM3816562",12.2395682178337,8.10132307653339,13.0810376883992,17.3098070408904,11.8281337889062,13.3611032394734,7.28345048196158,12.3859357544187,18.6076419152064,18.0138139426404,12.2935475101594,10.8758366196019,10.8756262760543,14.0233054119461,9.57674937695528,8.42030565992905,13.7475536457298,12.8456569127726,7.36362778090339,7.06522681546385,17.9525135083922,"septic shock"
"GSM3816563",12.2918910931547,7.34322580216078,9.72253596056702,17.2420655684169,11.6927662780267,14.5701865677829,8.10878466757145,12.5189376673356,18.4408690765849,17.9828659071375,12.2392215666786,11.5407257659994,9.87742445722509,14.0080940733768,9.36599717144727,9.55206965122931,14.8510776689587,13.5035252526321,7.65660645262481,7.81698865189503,17.6101450267585,"septic shock"
