"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.557295158356218,0.914405991790509,0.917742857142857,0.9528,0.53,0.880849701812216,0.782980158730159
10,0.569773169083653,0.918350799529623,0.892857142857143,0.964,0.514285714285714,0.878541569165879,0.821162698412698
20,0.489433459219837,0.905793530045414,0.875657142857143,0.9616,0.422857142857143,0.857590698236866,0.790174603174603
30,0.380946412720892,0.831784205332528,0.7856,0.8876,0.334285714285714,0.78409819512184,0.663265873015873
40,0.282198523269773,0.845246528073926,0.726914285714286,0.9108,0.252857142857143,0.789750838968637,0.587654761904762
50,0.320958395540358,0.84205130069503,0.731885714285714,0.9112,0.255714285714286,0.783602308765268,0.667880952380952
