"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.652063428589903,0.816825502928444,0.897959183673469,0.815714285714286,0.82,0.841478354978355,0.828137445887446
10,0.58808798408338,0.780423023055376,0.87765306122449,0.764285714285714,0.811428571428571,0.817281746031746,0.783948412698413
20,0.602024735426017,0.783558227719992,0.872040816326531,0.78,0.805714285714286,0.816792207792208,0.803282106782107
30,0.42923386932257,0.693912210338681,0.785510204081633,0.681428571428571,0.737142857142857,0.730585858585859,0.710111111111111
40,0.257437114215278,0.60771321337275,0.675427746856318,0.61038961038961,0.634920634920635,0.638721996297754,0.634174775841443
50,0.225878848899561,0.592706251265075,0.680612244897959,0.591428571428571,0.624285714285714,0.624481240981241,0.61370424020424
