"GSM712478","GSM712479","GSM712480","GSM712481","GSM712482","GSM712483","GSM712484","GSM712485","GSM712486","GSM712487","GSM712488","GSM712489","GSM712490","GSM712491","GSM712492","GSM712493","GSM712494","GSM712495","GSM712496","GSM712497","GSM712498","GSM712499","GSM712500","GSM712501","GSM712502","GSM712503","GSM712504","GSM712505","GSM712506","GSM712507","GSM712508","GSM712509","GSM712510","GSM712511","GSM712512","GSM712513","GSM712514","GSM712515","GSM712516","GSM712517","GSM712518","Gene.Symbol"
7.028317586,7.481466811,7.770269268,6.296323526,8.154438701,8.575928205,6.567701323,7.945540801,8.431829358,7.00961169,7.005070117,7.332600604,7.278365605,7.070639889,6.819944384,7.314982751,7.228653608,7.354047083,7.363230835,6.758195056,6.601568143,7.203777368,7.276215983,6.930858263,7.22269482,7.131159748,6.921531347,7.040288341,6.62461734,6.75978183,8.62678906,8.565413593,7.860318528,9.446564685,7.467415313,7.969459381,8.644401592,7.372065329,8.349066539,8.721479468,8.565992091,"TLR4"
8.517839224,8.689497372,6.675192429,4.664048377,6.245105972,5.786683384,5.452386513,8.120553666,6.36834014,7.748072227,8.833484697,8.261516485,7.88429237,7.872421618,7.889496667,7.745056641,8.024617969,7.905688771,8.105274946,7.826422576,7.843898637,8.036536582,8.715538999,8.367335045,8.791769394,7.166625516,7.960086997,8.394122281,8.112872275,7.63511078,7.839073221,7.842592766,8.305570068,6.543348662,7.235096464,8.244720119,7.234542874,8.207435735,5.487137152,6.171515321,6.757646393,"CX3CR1"
7.475924014,7.789523748,8.603080826,8.148266745,8.793691705,8.0597636,8.449896876,7.394688817,9.224639921,8.022624127,7.732124747,7.880252602,7.850677349,8.296128943,7.775646599,8.346224539,7.53716347,7.888511277,7.897606856,7.981953167,6.496895448,8.214557584,7.737182221,8.229778733,8.069654463,8.364170757,7.937320159,7.212665419,7.669760826,7.394365434,7.017704147,7.780990163,7.659959368,8.053597751,7.603752776,7.515695908,7.622731233,6.891681445,7.448962735,7.376677603,7.048127643,"HMGB1"
10.65428249,10.88748418,11.67771561,11.36744953,11.36435058,10.9282757,11.29379235,11.11308609,12.06328974,11.58776823,11.02406317,11.28179277,11.00777062,11.38188829,11.06929021,11.39125849,10.97222924,10.83246895,10.87063731,11.27445478,10.87001107,11.57829663,10.93994157,11.32706908,11.25699746,11.53636073,11.02167894,11.17537241,11.29886915,10.58244466,10.29877671,11.11983435,10.76875189,11.10484391,10.95170884,10.80658899,10.94559726,10.18239056,10.78778444,10.77256758,10.12069566,"HMGB1"
9.073875814,9.683862272,10.90001655,11.70273223,11.32822658,10.77519384,10.84617916,11.15626033,11.90935518,11.37515965,9.497494892,10.39344687,9.658276086,10.13654724,9.898647342,9.956230489,10.87771199,9.81985298,9.685862791,9.624469516,10.5603325,10.85480225,10.63407763,10.15165664,9.965174979,10.37985017,9.53228356,9.923182959,9.3250689,8.364182988,10.95581561,10.88781849,10.66334522,11.76399589,11.04946601,10.19255397,11.58374086,9.105938563,11.38378119,11.43530421,10.28275622,"HIF1A"
11.27715614,11.13465959,11.0977702,9.029827848,11.54428935,11.10758104,9.425329455,9.99353516,9.062920201,10.75190631,9.819153785,10.7098814,10.10127295,10.05864803,9.965151976,10.21801559,10.83088757,10.30617737,10.17158686,10.24290154,9.969147393,10.33971577,10.65997823,10.54600216,10.38628806,9.993536036,9.173815358,10.01990216,10.79134532,10.11628537,11.54896834,10.52754793,10.76527979,10.9539243,11.11724879,10.28288442,11.02833144,9.816527331,10.68601682,10.89497193,9.98777101,"CD14"
9.228566382,9.382829545,11.22562895,11.1088817,11.28456481,11.48694297,10.38803091,10.6263144,12.09673386,10.34875836,8.665676654,9.220882087,9.163344396,9.116126744,9.267866737,9.205759551,9.087690184,9.415489013,9.175239918,9.001318095,8.976737967,9.647966016,9.372825263,9.053276122,9.206191639,8.805189893,8.426822494,8.716251941,8.503554281,8.344868077,10.85919222,10.76342212,10.18302138,11.62738642,10.3255961,9.818420366,10.67031393,9.574342206,11.03230839,10.58184836,10.82181883,"MAPK14"
6.894873285,6.859574999,6.718494038,6.616935028,6.987777166,8.067684735,6.694472184,6.548298193,5.916824959,6.827071641,6.936278023,6.848683257,7.028361011,7.015850553,6.935777689,6.714793985,7.111459482,6.885975399,6.955554969,6.683621882,6.846159309,6.746452967,6.938304799,6.80926459,6.971213242,6.918268496,6.659516401,6.757244278,6.626943468,6.415535391,6.905605551,6.759840621,7.090237113,6.910760864,7.476341201,7.161957695,6.571951177,6.785049656,6.499980087,6.284120009,7.078797534,"ICAM1"
6.430494361,6.426915612,5.521613278,6.020953639,6.526172539,7.453853466,5.176568368,5.221517565,5.797986436,5.654694137,5.753165755,5.955893478,6.096952795,5.952480754,5.949487355,5.292393914,5.986462901,6.117237806,6.009026429,5.530123287,5.699716042,6.139896706,6.110203361,5.763345511,5.961847662,5.730471272,5.348574372,5.689589423,5.943835281,5.412596104,5.45802505,5.295039219,5.70538088,5.968767333,6.007464922,5.46445691,5.375321342,5.416748021,5.165863045,5.665882059,5.840226149,"ICAM1"
9.508852537,9.656974475,10.40293894,9.611102264,10.08645931,10.42765662,8.597066217,9.819766024,10.33547318,9.724397418,9.25897957,9.685010088,9.537524887,9.318274245,9.873640199,9.178055687,8.639536293,10.05472346,9.79848373,9.790655035,8.142210133,9.745762844,8.828469434,9.377195907,9.632429618,9.187425694,8.863057432,9.390475537,9.679396818,9.247864101,9.737832388,9.871820179,9.40656577,9.698360175,9.338314181,10.74372158,10.97811354,8.608417868,9.470105698,9.119003545,9.328799779,"TNFSF10"
