"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.897718670811443,0.989389814860317,0.994175724637681,0.992028985507246,0.885,0.986938878797079,0.937415584415584
10,0.843989559275728,0.984403196063501,0.991675724637681,0.990724637681159,0.80875,0.978347523814364,0.919955266955267
20,0.866809002899369,0.986130929707457,0.989882246376812,0.989275362318841,0.8525,0.983222030052847,0.915979076479077
30,0.819374941401616,0.981524463387493,0.986983695652174,0.985072463768116,0.80875,0.978237669436448,0.875734487734488
40,0.835997927712334,0.98301727475925,0.989248188405797,0.985797101449275,0.82875,0.980467884094321,0.883763347763348
50,0.764999253674215,0.97663240625591,0.986503623188406,0.984057971014493,0.73125,0.969584486406604,0.858125541125541
