"Sample","OLFM4","NLRP3","CCR7","CRP","MAPK14","CX3CR1","ELANE","FCGR1A","GATA3","HIF1A","HLA-DRA","HMGB1","ICAM1","IFNA1","IFNA2","IFNB1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LBP","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL19","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","CALCA","TNFSF10","SOCS3","CD14","Label"
"GSM3927743",7.02616388415369,8.10784645575133,11.8986914299058,3.49562655753079,11.3230816227736,13.5438303954045,4.96186602247696,6.87710171672048,8.74856828431034,10.1876478763452,10.128130085069,12.2570832477868,8.87656475370184,3.49562655753079,3.49562655753079,4.302957675183,7.53146545834519,6.92131282778866,3.49562655753079,6.55009545661516,3.49562655753079,3.49562655753079,12.409064011939,5.55595299702947,3.49562655753079,6.68498957220136,7.16106407281942,6.33632283219008,9.42165974042027,11.4462805751915,8.97344211331504,9.00433955178171,7.70496384416049,7.30105503976653,6.87710171672048,4.302957675183,12.3461662354139,11.5353194253075,12.9875329468985,9.16791842879764,3.49562655753079,3.49562655753079,3.49562655753079,8.39133132053496,8.64123469214278,8.15455648611302,8.40684187120757,7.66674904429436,10.9749865275539,4.86077802251859,5.43218757462808,3.49562655753079,9.46671903394692,10.9853435461415,10.1876478763452,"Sepsis"
"GSM3927744",5.40566292717174,7.18761859745775,12.6772159381759,3.49562655753079,11.1741375108115,12.8005824609405,4.6007903149627,4.22902395133965,8.74243338608886,10.3222023712752,9.19282825950005,12.3219793754218,8.68439187666048,3.49562655753079,3.49562655753079,4.22902395133965,7.12704665224177,5.5102793898189,3.49562655753079,4.9197387183883,4.52221513563743,3.49562655753079,11.5241014040228,6.77810771545657,3.49562655753079,7.1777003934787,6.91621551287267,6.05105737645253,9.31931673256812,10.6615790327442,8.47877349347229,8.97094575296588,6.40240402190569,5.20899960924998,5.44150650734252,4.97335566522351,12.561623614592,9.08086993893819,10.1898934660162,6.51813164260427,3.49562655753079,3.49562655753079,3.92207357159201,6.45318068262417,6.92812777842468,7.87930552791301,7.74520229621563,5.88565640081182,10.849510563703,5.83441034766349,4.43593409905964,5.20899960924998,9.14554530835793,9.8169405870702,7.34646285533817,"Sepsis"
"GSM3927750",4.55351378611027,7.76589677179835,11.4642658701483,3.49562655753079,11.2099747638095,13.0201544524745,3.90313265153505,6.84248585661258,10.1587096964623,10.3012288178507,10.6337458849744,12.5883354925322,9.12811350037529,3.49562655753079,3.49562655753079,3.49562655753079,7.51663883833649,6.63206369370651,3.49562655753079,7.08500645676891,4.55351378611027,4.07004321379529,11.9442217857278,5.66842801062457,3.49562655753079,6.28542521473991,5.0977981184229,4.39522487362417,10.500244439289,10.7694734542592,8.85915362955695,7.41264809675494,7.14201006428125,8.00902266170403,3.90313265153505,4.30278239993237,12.1517629926613,10.7453114336459,12.1300585182969,8.05405926483692,3.49562655753079,3.49562655753079,3.49562655753079,8.38291216613045,8.41009202508549,7.95198949746939,8.75402970619214,8.0441723708375,10.6565980145484,6.47695100207017,3.90313265153505,4.39522487362417,10.3299466243889,12.2776566363539,9.55567617037474,"Sepsis"
"GSM3927758",4.3086454145538,7.77311794369454,12.8078792741806,3.49562655753079,11.1818056153132,12.5742351403018,3.49562655753079,5.73530816764485,8.92123601470687,10.2258732702595,9.60912310673074,12.466089376052,8.59717858128071,3.49562655753079,3.49562655753079,4.56106085583695,8.01331579444985,4.75758165696514,3.49562655753079,4.63114553609289,4.2019986372676,3.49562655753079,10.9805205902527,6.19440593380869,3.49562655753079,4.07426882688483,5.34238291144582,5.78644565958106,10.2630551968732,10.8471729895133,8.72189525567583,8.99071550124627,6.23102320580884,5.23118067384396,5.95139326225801,3.49562655753079,12.8113899342782,9.9059585141797,11.0653006360968,7.40808938580819,3.49562655753079,3.49562655753079,4.07426882688483,6.46335090654498,6.81322263462076,7.88984859499522,8.12224933064007,6.11810843387422,10.3831492029453,6.30146583870733,5.47663262857274,3.49562655753079,9.94551491713613,10.8529225487269,7.87293261452775,"Sepsis"
"GSM3927759",5.72805435574327,9.29440637335776,12.5508809623455,3.49562655753079,11.2474722906414,12.8992638302017,6.46757732740551,7.86148927882792,8.75066125887202,10.2978620007701,12.6572213132763,12.2937766614206,9.02953395231039,3.49562655753079,3.49562655753079,3.49562655753079,7.04356654337929,7.88743793482292,3.88863240106842,6.95750975546297,5.16409393209102,4.91297926880462,12.4485182491233,6.98677853631346,3.49562655753079,8.1838190177944,7.36600494742261,6.62576890843339,10.5043693363656,11.0426852323613,9.7087835830671,8.7702866836786,8.24926426315474,8.56085043817703,5.54814853861368,5.37093153710549,12.7550286709474,11.6654209647636,13.3112463141639,8.66638178407523,3.49562655753079,3.49562655753079,4.58461731921623,9.66454460479413,10.1896494256071,7.34363014552795,9.386266846633,9.35876269128775,11.2038379362679,5.75184916934641,5.72805435574327,4.36396736726924,9.99380607269487,12.0262690559666,10.7513375412951,"Sepsis"
"GSM3927763",3.49562655753079,7.35899866201244,11.3950438452598,3.49562655753079,11.3282875578878,13.706285223926,3.49562655753079,5.49263852264813,9.95545661990367,9.78055289706035,10.8511320365153,12.1730688684662,8.95773263436118,3.49562655753079,3.49562655753079,4.20845630351862,7.23824105738037,4.4098992694706,3.49562655753079,4.31603088330895,4.70698243328121,4.20845630351862,12.6439977077897,5.8041874390955,3.49562655753079,5.07809926552151,4.0795933215368,4.64121443168786,11.1321069969094,11.3666651793636,9.20912765646618,7.80942789920992,6.71027604276387,6.64342766174427,3.49562655753079,4.20845630351862,11.9841821773559,8.83282264017697,10.4650458543896,6.65705370399615,3.49562655753079,3.49562655753079,3.49562655753079,6.98259351734311,7.10630825559002,8.61902509032501,8.56290637026784,6.1763025194635,10.5886712973153,7.53028154743594,3.49562655753079,4.20845630351862,9.39127063281776,8.94955152070309,8.29649956577138,"Healthy"
"GSM3927769",4.10104719350468,9.72074131780457,11.3886472352137,3.49562655753079,11.4005289373253,13.0752169614961,4.44281634662629,7.62407648488219,9.45046839092402,10.3625111929116,13.464444095458,12.5668889033782,9.22841988789896,3.49562655753079,3.49562655753079,3.49562655753079,7.38305153702347,8.98892099207452,4.3457633591432,8.68395067548835,3.92528214153429,5.62059058330402,12.4449337642043,5.76792887583216,3.49562655753079,7.56366482367419,4.92972582906082,4.81308646373282,9.58342210765932,10.4113767947997,9.05604846048928,8.49923391042249,8.88505701204168,9.5966309966402,4.23446460639947,6.11047735795921,11.4723955319797,12.0053787956572,13.9634836016368,9.54110281971038,4.92972582906082,3.49562655753079,3.49562655753079,10.4336263386164,11.0982701256044,8.53890408831301,8.94826915954024,9.67522000889332,11.8017445280236,5.99785242175352,5.92549903738301,4.10104719350468,10.7326178210393,9.58342210765932,12.0078522973372,"Healthy"
"GSM3927771",4.11646440455517,8.30515167536776,10.3983662118179,3.49562655753079,11.1976993675721,13.5995230849147,4.29313063288715,7.26637248187723,9.00287650375807,10.0465760328091,13.0354419399734,12.6599472803281,9.33381718635938,3.49562655753079,3.49562655753079,4.00382737158209,8.275791462539,6.23485638974244,3.85590273734103,6.220931080321,4.75739808680216,5.0714066248776,12.1446648771161,5.77841170016863,3.49562655753079,5.37175430524941,4.8860395600243,4.55528484490558,10.0685940544397,10.0581056207123,8.30191885629058,6.78789158255951,7.31225866747286,7.97237705163418,4.11646440455517,4.43464326064381,11.3817541762242,10.8562837712097,12.3819828880263,7.95600417023056,3.49562655753079,3.49562655753079,3.49562655753079,8.54275176966916,9.39420546979212,8.85422177836163,8.81623137518543,8.11926793628787,10.5117109932193,6.76910945989192,4.75739808680216,3.85590273734103,9.5466033017713,10.1552419218361,10.3724347081119,"Healthy"
"GSM3927792",3.49562655753079,12.1502193667533,5.53876322437834,3.49562655753079,12.3307580694226,12.3567878527998,5.30643122597879,12.9018785289898,4.56106283033853,12.217221137451,15.3811278908687,11.4919935819709,12.1667589791203,3.49562655753079,3.49562655753079,3.49562655753079,4.20199997861415,11.6731106091959,7.17883526379308,11.9451582610481,5.81129691521279,11.9741332629646,13.6945369843145,5.99503335804068,3.49562655753079,4.20199997861415,4.40172113213962,4.20199997861415,12.8246220694269,12.4691395989437,11.9045591740743,5.15091522903129,11.7347404628831,10.4271776069604,3.49562655753079,7.16029279733736,7.72363601471053,15.927207748986,17.2791429627044,12.8768772433134,4.86996803074177,3.90615087825319,3.90615087825319,13.3746963702378,13.5491726211845,9.53057564810185,12.5525439510509,12.1961737617518,13.3602617785121,4.56106283033853,9.28683321934395,3.49562655753079,14.1338947724049,12.6052283135487,13.9475556168378,"Sepsis"
"GSM3927856",4.39658524491454,9.03328589866745,12.9187413171815,3.49562655753079,11.1097526301087,9.85727215839947,3.90376456005996,7.16435881019896,9.13243646154397,11.3406204751664,11.4383444892477,12.8293383761854,9.30408636554056,3.49562655753079,3.49562655753079,3.90376456005996,6.46543958194947,10.8862410878232,4.80805969513721,11.4097160166661,4.96367438507649,3.90376456005996,10.3025384846348,6.56721999149943,4.07092818678612,4.75063335773563,4.55509476893931,5.10006979102575,8.88856952458917,10.6107758666379,8.90508166132521,7.57683522319561,8.77636616145562,9.01311809255545,4.39658524491454,5.96162975531877,12.7294009889777,11.9377097615198,13.4866268918895,9.05810518842684,4.07092818678612,3.49562655753079,3.49562655753079,9.87692916024045,9.77883868937054,7.79384545366606,7.86322144140723,8.70899121584366,10.6707206515642,3.49562655753079,4.80805969513721,4.55509476893931,10.8972821229718,14.3730290097586,10.3025384846348,"Sepsis"
