"Sample","PLAUR","P2RX7","ICAM1","HIF1A","MMP9","OLFM4","GATA3","CCL2","CALCA","IFNG","MAPK14","IL1R2","MMP8","ARG1","CCR2","TNFSF10","TREM1","IL1B","CCR7","LBP","CCL25","CRP","IL6","IL10","TLR4","TLR2","S100A8","LCN2","NOTCH1","FCGR1A","VCAM1","NLRP3","S100A9","S100A12","PTX3","CX3CR1","CXCL10","CXCL8","ITGAM","CD14","BCL2","IFNB1","C3AR1","CCL19","MYD88","SOCS3","IFNA2","PDCD1","HMGB1","C5AR1","ELANE","IFNA1","HLA-DRA","CD177","TNF","Label"
"hccol001",10.7870863245516,8.78135971352467,9.68299458368168,10.8057438721516,11.6225094546833,5.4594316186373,9.08480838780437,2,-145.257191086488,3,11.4737057496194,10.0347989625773,5.85798099512758,6.18982455887999,10.6697708885255,12.1260591160707,11.7870863245516,9.97297978606628,11.3668685861671,-145.257191086488,-145.257191086488,-145.257191086488,2.32192809488737,-145.257191086488,11.7030383889864,11.9091430473399,13.6844199009334,6.91886323727459,11.9589151560913,8.87958324961278,-145.257191086488,9.48179943166576,15.9767207350338,10.9865531497566,4.70043971814107,11.5689061545021,5.04439411935846,7.09803208296051,12.3043513216632,12.1389117181427,10.0794847838268,-145.257191086488,9.11894107272352,-145.257191086488,12.1019756709492,10.0660891904578,-145.257191086488,5.90689059560853,11.3049216695817,13.261213451366,4.70043971814107,-145.257191086488,13.9505558970475,4.16992500144229,7.08746284125033,"healthy"
"hccol002",9.59991284218711,8.37068740680721,9.19721669311005,10.0620461377205,9.59805250016157,6.6582114827518,8.29462074889162,0,-145.253959304888,4.24792751344359,10.5323559252888,8.62570884306447,6.83289001416472,5,9.677719641641,10.9233274854192,10.7364019313183,8.6865005271832,10.5206186805563,-145.253959304888,1,-145.253959304888,2,-145.253959304888,10.9628960053373,10.9447120610435,10.3641346550081,8.34872815423108,10.7698378436294,8.64385618977471,-145.253959304888,8.06608919045777,13.8011020571463,8.16992500144232,1.58496250072113,11.5651020783603,3.32192809488737,5.85798099512758,11.1674181458317,11.0881256921882,9.03617361255348,-145.253959304888,7.85174904141604,-145.253959304888,11.3208005488816,8.27612440527423,-145.253959304888,4.85798099512758,10.4040771362412,12.2336196767597,5.12928301694495,-145.253959304888,12.9683067944308,5.35755200461807,6.6582114827518,"healthy"
"hccol003",10.4231159101471,9.21188829454599,9.86263735755878,11.4908508767403,11.3100446796475,6.96578428466208,9.85174904141607,0,-145.258506746511,5.32192809488734,11.8672787397097,10.002815015607,8.78463484555752,7.08746284125033,11.1221809012597,12.3151495622563,11.6003775531078,10.3454052467178,11.4681148863781,-145.258506746511,-145.258506746511,-145.258506746511,0,-145.258506746511,12.2767060198924,12.0532471259124,14.4826189119723,9.56033283421243,12.3575520046181,8.35314682549807,2,9.31514956225629,16.2123253856037,11.4152135987653,4.75488750216348,12.2324209271761,4.58496250072116,7.01122725542325,12.4742129371939,12.1953722074027,10.5989829710361,-145.258506746511,9.09275714091984,-145.258506746511,12.0858043802781,9.59432460392483,-145.258506746511,6.32192809488734,12.2327207079649,13.2349670805175,8.25738784269265,-145.258506746511,14.4348888065304,7.63662462054364,7.3037807481771,"healthy"
"hccol004",9.92629599478113,8.89178370321829,8.87036471958342,10.6821167649501,10.7772553151919,5.08746284125033,9.54689445988762,2.58496250072116,-145.25683876519,5.28540221886226,11.0188956211217,9.47775826644389,5.04439411935846,4.80735492205758,10.5603328342124,11.3281138948336,10.8217739819706,8.8008998999203,10.6519486107235,-145.25683876519,-145.25683876519,-145.25683876519,1.58496250072113,-145.25683876519,11.2076244682268,11.1873520732005,13.2167458581953,6.70043971814107,11.257977058564,7.88874324889824,3.99999999999997,8.71080643369936,15.1273898482475,10.007027266894,3.80735492205758,12.2784494582205,4.39231742277877,7.21916852046215,12.0161118382205,11.7573900093666,9.81698362325537,2,8.23840473932506,-145.25683876519,11.4650561678312,8.36194377373522,-145.25683876519,6.3037807481771,11.5112584955023,12.3406846543634,4.64385618977474,-145.25683876519,13.9821914585119,6.4594316186373,7.07681559705082,"healthy"
"hccol005",10.5058115539196,9.55266909751427,9.4797802640291,11.1861142395416,10.747353829478,3.9068905956085,9.63843591399046,0,-145.258249565015,5.49185309632966,11.5617652636277,9.9643408677924,4.39231742277877,6.35755200461807,11.1299269335104,12.2720465243899,11.3353903546939,9.70908381255032,11.5415806599912,-145.258249565015,-145.258249565015,-145.258249565015,1.58496250072113,0,11.7714894695006,12.1231514327736,14.0569763361782,6.02236781302844,12.1538686552232,7.9068905956085,1.58496250072113,9.34872815423105,15.9221662504357,10.6838718686226,4.58496250072116,12.2200759709843,4.85798099512758,7.4594316186373,12.1935253605012,11.8822609290998,10.3695973462787,-145.258249565015,9.78953364497036,-145.258249565015,12.1221809012598,8.74819284958946,-145.258249565015,6.68650052718323,12.0904432750816,13.2099102279458,3.4594316186373,-145.258249565015,14.6118317059845,5.95419631038686,7.79441586635011,"healthy"
"hccol006",11.2743781532463,9.55458885167764,10.2502984179063,10.6073303137496,11.211279947482,4.39231742277877,10.5545888516776,0,-145.259601437311,5.20945336562895,11.7456743240021,10.6064052126978,3.9068905956085,4.9068905956085,10.9865531497566,12.2270141936491,12.0977029635247,10.4878400338231,12.2851131885015,-145.259601437311,2,-145.259601437311,1.58496250072113,-145.259601437311,11.4522412404308,12.3766680618577,13.288289342181,7.15987133677839,12.4540421974701,10.0042204663182,1,9.01959072835788,16.1576232570077,10.7681843247769,3.4594316186373,12.9240701855854,5,7.02236781302844,12.7788984760084,12.4990984412289,10.4573808790725,0,9.34872815423105,-145.259601437311,12.5660540381711,9.92629599478113,-145.259601437311,7.35755200461807,11.7498694273968,13.7054163988827,3.32192809488737,-145.259601437311,14.4608398130301,5.16992500144229,8.52356195605699,"healthy"
"hchlD044",9.7632123668144,9.41362792902416,9.70563238736142,11.6474584264549,10.5439984501345,3.99999999999997,9.91587937883577,-145.257727283335,-145.257727283335,5.80735492205761,11.8470573460913,9.39660478118185,6.44294349584871,6.3037807481771,11.0175044011094,12.0821490413539,11.7380922596205,9.13699111208024,11.3525952311343,-145.257727283335,1.58496250072113,-145.257727283335,0,-145.257727283335,12.3869402453243,12.0399471601691,12.9765641234153,6.52356195605699,12.0474647733184,7.43462822763672,3.7004397181411,9.4093909361377,14.8383175815122,9.44086916761086,4.58496250072116,12.3799198176465,3.80735492205758,7.91288933622997,12.0382331347318,11.6008421143873,11.0927571409198,-145.257727283335,9.4093909361377,-145.257727283335,11.9395792143147,9.07948478382681,-145.257727283335,6.74146698640115,11.9736973663053,13.0579917227592,4.32192809488737,-145.257727283335,13.5788443915582,5,7.59245703726808,"healthy"
"hchlD072",7.11894107272349,7.41785251488591,7.15987133677839,9.56985560833095,6.49185309632966,6.08746284125033,7.09803208296051,-145.245676887688,-145.245676887688,3.58496250072116,9.82654848729089,7.41785251488591,6.76818432477691,5.32192809488734,10.5255208090951,10.2419831496943,8.78790255939143,7.40087943628217,8.74483383749953,0,-145.245676887688,-145.245676887688,0,0,10.6706562491184,10.8113746935099,11.9388444574662,6.24792751344359,8.3037807481771,6.06608919045777,-145.245676887688,6.72792045456319,13.5787264809667,8.47978026402907,3.4594316186373,9.9454438363779,4.24792751344359,6.62935662007962,9.35974956032234,9.46964181723951,9.44294349584874,-145.245676887688,8.35314682549807,0,9.73470962022583,6.83289001416472,-145.245676887688,4.16992500144229,10.4522412404308,10.0768155970508,1,-145.245676887688,12.3687792600413,3,5.20945336562895,"healthy"
"hchlD149",7.78790255939143,6.4594316186373,7.26678654069491,10.0593444608244,6.44294349584871,4.32192809488737,6.76818432477691,2,-145.244671348871,1.58496250072113,9.95855271543101,7.90086680798075,5.04439411935846,5.90689059560853,8.67948009950544,10.3663222142458,9.44708322620966,8.44708322620966,9.6073303137496,-145.244671348871,-145.244671348871,-145.244671348871,1,-145.244671348871,10.6856248397263,11.3049216695817,10.9520131648895,5.28540221886226,9.03342300153744,6.35755200461807,1.58496250072113,7.02236781302844,13.1478408936723,6.78135971352467,3.32192809488737,10.0512089409148,3.80735492205758,6.04439411935843,9.66888498426624,9.16239132875691,9.14210705730255,-145.244671348871,6.55458885167764,-145.244671348871,10.1059085085711,8.31741261376484,-145.244671348871,4.16992500144229,9.73470962022583,10.800090987625,1.58496250072113,-145.244671348871,11.4731983836775,3.80735492205758,4.64385618977474,"healthy"
"hchlD187",10.7879025593914,8.86727873970966,9.9643408677924,11.5122466428292,11.1344263202209,5.20945336562895,9.25266543245024,3.16992500144229,-145.256997930243,3.58496250072116,12.4291451704787,10.1535520317081,7.31288295528435,8.37503943134692,11.1667907507182,12.2871351860867,12.480032814584,10.7099453802325,11.0216740428584,-145.256997930243,-145.256997930243,-145.256997930243,2.80735492205758,-145.256997930243,12.6648916692861,12.6984876385577,13.1210477886869,7.76155123244448,12.1727400170494,8.18487534290827,1.58496250072113,9.22400167419809,15.5059045720076,11.0202855008446,4.52356195605702,11.5579422867874,3.9068905956085,8.01122725542325,12.3314768218596,11.8891236562942,10.403012023575,-145.256997930243,9.19475685442225,-145.256997930243,12.5282098966227,9.74651432113845,-145.256997930243,5.72792045456319,11.1560830762887,13.5935078409699,3.99999999999997,-145.256997930243,13.727814119937,6.42626475470209,7.53138146051631,"healthy"
"hchlD188",7.56985560833095,6.71424551766611,7.29462074889162,9.88264304936183,6.90689059560853,1.58496250072113,6.85798099512758,1.58496250072113,-145.245107538145,3.16992500144229,9.96866679319521,7.56985560833095,2,5.12928301694495,9.06608919045775,9.71767642306639,8.96866679319521,7.67242534197149,9.11113567023472,-145.245107538145,-145.245107538145,-145.245107538145,-145.245107538145,-145.245107538145,10.4777582664439,10.8680508537452,9.75321674917893,3.16992500144229,8.98013957763916,3.80735492205758,-145.245107538145,7.52356195605699,12.6010743389417,6.49185309632966,2,9.74986942739685,3.80735492205758,4.75488750216348,9.53332973230582,9.11894107272352,9.04984854945056,-145.245107538145,7.25738784269265,-145.245107538145,10.0168082876866,7.12928301694495,-145.245107538145,3.4594316186373,9.71938882094207,10.747353829478,0,-145.245107538145,11.6247954558602,2,5.24792751344359,"healthy"
"hchlD201",8.12928301694495,6.33985000288462,7.67948009950544,9.79441586635011,8.18487534290827,6.33985000288462,6.44294349584871,-145.243416633125,-145.243416633125,2,9.677719641641,8.07681559705082,5.58496250072116,5,8.58496250072113,9.59058704991503,9.6183855022586,8.38801728534514,8.95419631038686,-145.243416633125,-145.243416633125,-145.243416633125,-145.243416633125,-145.243416633125,10.7590559391602,10.5333297323058,10.7431513941125,6.70043971814107,9.84077792359506,4.32192809488737,-145.243416633125,6.97727992349991,13.0733047782537,6.85798099512758,3.32192809488737,9.74315139411249,0,5.24792751344359,9.82336724004622,9.50977500432694,8.25738784269265,-145.243416633125,5.75488750216346,-145.243416633125,9.77148946950061,6.64385618977471,-145.243416633125,3.58496250072116,9.26678654069488,11.4943556035329,3,-145.243416633125,10.9381093262192,2.80735492205758,3.7004397181411,"healthy"
