"Metric","Mean","SD"
"MCC",0.965542706128157,0.107694457351423
"F1",0.96875,0.0976702292626086
"AUC",1,0
"TPR",0.953125,0.146505343893913
"TNR",1,0
"PPV",1,0
"NPV",0.98125,0.0586021375575652
