"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.946577466875678,0.979454545454545,1,0.963333333333333,1,1,0.931666666666667
10,0.966082604633785,0.986909090909091,1,0.976666666666667,1,1,0.956666666666667
20,0.923659506200671,0.971272727272727,0.999583333333333,0.948333333333333,1,1,0.901666666666667
30,0.960855735281048,0.986461538461539,0.998333333333333,0.978333333333333,0.99,0.997142857142857,0.958333333333333
40,0.977041398948972,0.991776223776224,1,0.986666666666667,0.995,0.998571428571429,0.975
50,1,1,1,1,1,1,1
