Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff
C3AR1,1.3212822995909e-4,1,0.695960926172269,6,5
CCR7,1.3212822995909e-4,2,0.854741210768451,4,2
CD177,1.3212822995909e-4,3,0.827906634029527,5,2
ELANE,1.3212822995909e-4,4,0.645249032797795,7,3
GATA3,1.3212822995909e-4,5,0.28721791249988,15,10
MMP8,1.3212822995909e-4,6,0.874896330800464,1,5
S100A12,1.3212822995909e-4,7,0.865532636272997,3,4
S100A8,1.3212822995909e-4,8,0.444679161307646,9,1
S100A9,1.3212822995909e-4,9,0.874732905401019,2,7
SOCS3,1.3212822995909e-4,10,0.267321432320037,16,6
ARG1,1.6614541105165e-4,11,0.213180687908102,20,9
IL10,1.6614541105165e-4,12,0.488274618897249,8,4
FCGR1A,2.26993509455e-4,13,0.36055234842095,12,1
ITGAM,2.26993509455e-4,14,0.355063578608771,13,1
MAPK14,2.26993509455e-4,15,0.232419174192136,18,3
OLFM4,2.26993509455e-4,16,0.363982042934352,11,5
HLA-DRA,2.4553430850866e-4,17,0.302734677839181,14,3
MMP9,2.4553430850866e-4,18,0.375943286420378,10,8
LCN2,3.08207723067e-4,19,0.255680652320963,17,2
BCL2,6.6883779961402e-4,20,0.0397494427524842,25,5
IL1R2,7.3773520686837e-4,21,0.216149726738719,19,2
PTX3,8.4588815111477e-4,22,0.198847986210233,21,1
CXCL8,0.00268549938776525,23,0.0438323276236562,24,1
CX3CR1,0.00414874887626244,24,0.0703625666047528,22,2
TREM1,0.00529338252977452,25,0.0360107887550558,26,1
HIF1A,0.0159636084859538,26,0.0473547472300592,23,3
TNFSF10,0.020258476606017,27,0.0195906013185318,28,1
NOTCH1,0.0371105880927595,28,0.0135950127537225,34,6
IFNA1,0.0398396700927369,29,0.00836431245283192,38,9
MYD88,0.0398396700927369,30,0.0175389471069923,30,0
LBP,0.0528072402448823,31,0.0144325811081166,32,1
HMGB1,0.101547023811274,32,0.00452329414528016,48,16
TLR2,0.101547023811274,33,0.00928879241823906,37,4
VCAM1,0.101547023811274,34,0.0210699026917032,27,7
C5AR1,0.108031838349148,35,0.0139623594407503,33,2
CCR2,0.108031838349148,36,0.0130925316439731,35,1
CRP,0.111368420490942,37,0.0081239252678588,39,2
TLR4,0.124459382706335,38,0.0182982939084769,29,9
CALCA,0.134618361273126,39,0.00527526817681644,44,5
NLRP3,0.184892669060593,40,0.00491757022485124,47,7
PLAUR,0.209466829372267,41,0.00586090213937491,41,0
IL6,0.24394196979178,42,0.00519379087071576,45,3
CXCL10,0.260548087675727,43,0.0115115646242322,36,7
CCL25,0.409245460422559,44,0.005700447722143,43,1
PDCD1,0.417491410532365,45,0.00694300486563353,40,5
CD14,0.443078115407597,46,0.0156001484721774,31,15
ICAM1,0.443078115407597,47,0.00576848029150588,42,5
IL1B,0.508086476590703,48,0.00394382123080916,51,3
IFNB1,0.551451335431837,49,0.00441979093334704,49,0
P2RX7,0.576818803587136,50,0.0049547368051625,46,4
CCL2,0.585755982761143,51,0.002182512240057,54,3
CCL19,0.78926760231178394,52,0.00276491573060201,52,0
IFNA2,0.860648617333627,53,0.00419166337392719,50,3
IFNG,0.966918538003943,54,0.00248180200220474,53,1
TNF,0.992475297975789,55,0.00182909631652172,55,0
