Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff
BCL2,5.80186553782999e-6,1,0.44417448073326,18,17
CD177,5.80186553782999e-6,2,1.39008051029524,3,1
ITGAM,5.80186553782999e-6,3,1.14830404994743,5,2
MAPK14,5.80186553782999e-6,4,0.901696460140283,12,8
MMP8,5.80186553782999e-6,5,2.18135543445536,1,4
MMP9,5.80186553782999e-6,6,1.38320431554451,4,2
MYD88,5.80186553782999e-6,7,1.64449411130854,2,5
S100A12,5.80186553782999e-6,8,1.08747414649123,6,2
S100A8,5.80186553782999e-6,9,1.02667904450388,8,1
S100A9,5.80186553782999e-6,10,1.01613607681203,9,1
TLR4,5.80186553782999e-6,11,1.02881020618998,7,4
FCGR1A,6.11834187621853e-6,12,0.599050280415697,13,1
GATA3,6.11834187621853e-6,13,0.953120530509413,10,3
IL1R2,6.11834187621853e-6,14,0.48512004793237,16,2
TLR2,6.55407875922424e-6,15,0.552605748278898,14,1
SOCS3,6.67018085499371e-6,16,0.940044647093688,11,5
ARG1,1.00376947069166e-5,17,0.461230156577157,17,0
HLA-DRA,1.00376947069166e-5,18,0.344454924382528,19,1
LCN2,1.08637920091982e-5,19,0.49230648470053,15,4
C3AR1,1.64308932152392e-5,20,0.335453713790823,20,0
PLAUR,1.64308932152392e-5,21,0.317032672148984,21,0
CCR7,2.56926702512154e-5,22,0.25414295552175997,22,0
CX3CR1,3.22291904293076e-5,23,0.0927663277878823,26,3
HIF1A,9.78219020501612e-5,24,0.140489792725928,24,0
OLFM4,1.2151683166011e-4,25,0.10320190411487,25,0
IFNG,3.3394778039506e-4,26,0.161398023251825,23,3
TNF,0.00345232004028775,27,0.0267781145933288,31,4
C5AR1,0.00564357361993381,28,0.0274953103636217,30,2
IL1B,0.00767689490856018,29,0.0563403148024319,27,2
TNFSF10,0.0130843664248032,30,0.024812391219152,32,2
CCL2,0.0160902973880915,31,0.0277422942518553,29,2
ELA2,0.0182847144850762,32,0.0147983852700248,33,1
PDCD1,0.023974544566945,33,0.00640354621973182,42,9
CCL19,0.0428754921987366,34,0.00449390559512907,47,13
CD14,0.0659311569408032,35,0.00576647848331549,43,8
IL10,0.0718000226593115,36,0.00865876855492381,38,2
IL8,0.0718000226593115,37,0.0288352654849796,28,9
CCR2,0.0899038030127976,38,0.00934379178037002,37,1
CXCL10,0.131014748067562,39,0.0127470568531732,34,5
IFNA1,0.198324163886496,40,0.00376025119080561,48,8
HMGB1,0.331256844011684,41,0.00281418273163271,53,12
TREM1,0.332980385389281,42,0.00371669287792091,49,7
VCAM1,0.350909299943963,43,0.00722935391235528,41,2
P2RX7,0.360075884603912,44,0.0102822096686933,36,8
IFNB1,0.382707269667119,45,0.0113110000735604,35,10
NLRP3,0.382707269667119,46,0.00775609830325765,40,6
CCL25,0.392307783129228,47,0.00785901194312988,39,8
CALCA,0.477172136424212,48,0.00469140070513821,46,2
CRP,0.533523535247563,49,0.00504196537970387,44,5
IFNA2,0.622163073163238,50,0.00361529377448505,50,0
PTX3,0.633214267917164,51,0.00181772838834198,54,3
LBP,0.683130955113482,52,0.00486102170344686,45,7
IL6,0.774530832446045,53,0.00344316356772511,51,2
NOTCH1,0.805788818897441,54,0.0017499220134704,55,1
ICAM1,0.969289410059797,55,0.00282417519623479,52,3
