"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.931421356237309,0.964761904761905,1,0.94,1,1,0.923333333333333
10,0.913847763108502,0.956190476190476,1,0.925,1,1,0.903333333333333
20,0.871643100718629,0.951150793650794,0.978125,0.95,0.91,0.9615,0.926666666666667
30,0.561066022984719,0.79681746031746,0.861875,0.785,0.705,0.8405,0.700666666666667
40,0.730090080093108,0.867936507936508,0.836875,0.9225,0.67,0.826,0.92
50,0.341550148567775,0.632507615840949,0.661875,0.63,0.485,0.647166666666667,0.507666666666667
