"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.896199769165765,0.934333333333333,0.988888888888889,0.913333333333333,0.97,0.975833333333333,0.934333333333333
10,0.895390966875367,0.936714285714286,0.991111111111111,0.926666666666667,0.956666666666667,0.965,0.9435
20,0.707900448278226,0.850761904761905,0.917777777777778,0.89,0.8,0.832333333333333,0.895833333333333
30,0.740056205992003,0.850285714285714,0.936666666666667,0.846666666666667,0.866666666666667,0.8945,0.8755
40,0.471953133447949,0.707240038872692,0.825555555555555,0.69,0.726666666666667,0.742666666666667,0.728666666666667
50,0.379633524466234,0.671890184645287,0.770555555555556,0.68,0.646666666666667,0.679666666666667,0.698166666666667
