"Sample","TNFSF10","TREM1","CD177","PTX3","TNFSF10.1","CCL19","ITGAM","IL10","ELANE","PDCD1","LBP","IFNG","ICAM1","C5AR1","PLAUR","LCN2","TREM1.1","SOCS3","CCR2","S100A9","C3AR1","MMP8","IFNA2","CD177.1","CALCA","CCR2.1","CCR7","VCAM1","BCL2","MYD88","TNF","MMP9","CX3CR1","S100A8","CCL25","NOTCH1","IL6","IFNB1","S100A12","IL1B","CCL2","TLR2","NLRP3","HMGB1","OLFM4","CALCA.1","MAPK14","CXCL10","P2RX7","CRP","HIF1A","IL1R2","TLR4","TLR4.1","IL8","HLA-DRA","TNFSF10.2","HIF1A.1","CD177.2","IL8.1","P2RX7.1","NLRP3.1","CD14","CCL25.1","CRP.1","CALCA.2","TREM1.2","ARG1","CXCL10.1","ARG1.1","BCL2.1","GATA3","NOTCH1.1","CCL19.1","S100A12.1","IL6.1","Label"
"GSM7573957",1.2615302,2.7780602,0.6043174,-0.8746139,1.1266127,0.31666374,-0.021312714,-1.0354946,-0.075882435,-0.324543,2.2103622,1.0665655,1.9223325,-0.38730836,0.30644393,-1.9301522,-0.748369,3.43612,-0.47093582,-0.92289543,-0.107892275,-0.9512551,0.80018854,1.0578487,-0.40073442,-1.7105641,-0.15915012,0.7992244,-0.6967857,-0.21344757,0.5269108,-0.07036114,1.1175432,0.9480858,2.039734,0.045340776,-0.45299911,0.8252225,-1.9558744,3.363605,0.65275645,1.2112341,-0.008581638,-0.5294695,1.441402,0.84877014,-0.8476596,3.981844,-0.5483997,0.5187063,0.32039785,-0.53443456,0.66038895,0.23943043,0.4192314,-0.034868717,1.441504,-0.05334997,0.43520927,1.7933688,0.27208257,0.14577687,-0.8152847,0.9200921,0.91927147,1.7300854,-1.2919598,0.8585484,2.2170434,0.796643,-2.2496085,-0.30372405,0.6298728,1.393971,-2.219089,0.93680954,"Sepsis"
"GSM7573965",-2.2120817,2.3360107,-0.12490773,1.0555371,0.19519854,0.55020833,0.43669558,-0.36008644,-0.9341197,0.63696337,0.69926715,0.114059925,0.6643088,-1.409723,0.24585795,-1.6862605,0.14708829,1.1993966,0.8904681,-0.64532614,0.2883742,-1.6571162,5.1393924,-0.003216505,0.48961997,0.043041706,0.6044984,0.05775833,-0.31018662,-0.08828497,1.1944814,1.426846,0.45177603,0.47833633,0.7428975,1.0845644,0.015542984,0.1443367,-1.0282321,0.74522305,1.2088032,0.91023016,1.9608116,0.03723669,0.7247195,0.15451956,-1.3442416,-0.9528465,0.4418435,0.33832932,-0.5286689,-0.6074846,-0.41141367,0.43098307,1.6949515,0.62432957,-0.3711748,-1.1650343,-0.41562843,1.1227217,0.27128863,1.8718325,0.5946388,0.23642492,0.23930264,-0.104503155,0.23669529,0.96151423,-1.0873809,1.4754546,-0.7562382,0.11942887,-0.16433668,-0.14824104,-0.89243317,0.19855165,"Sepsis"
"GSM7573968",0.20248246,-0.5034821,-4.185628,1.2678188,-0.37091684,0.38254905,-0.26529646,-0.6927986,-1.2757318,0.84339666,0.58576703,0.99564457,-0.113028765,-1.7302139,0.37296367,-0.7156718,0.54910207,-0.92464304,1.0284028,-1.2016549,-0.67749286,-0.55680394,1.3986299,-3.954828,0.11666775,0.13365173,0.13839006,0.5057416,0.70006967,-0.857183,0.65889025,-0.8690047,1.7063231,0.41873932,0.59674215,-1.2711546,0.048085928,0.5587816,-1.2310166,-0.36313248,2.7572212,0.056478024,1.380044,0.33032084,-3.4451098,0.71502733,-1.9903955,-0.42156124,0.023436546,0.20055437,-0.3947749,-3.4231884,-0.18810987,0.21437025,0.14280748,0.8448038,0.18889046,-0.13140583,-0.6655586,-1.6112857,0.5604665,1.1649843,0.53614235,0.65000725,0.6569128,0.23782301,-0.88091326,-1.9006779,-0.6787815,-1.7917135,-0.41490293,0.981848,-0.6869998,0.07563567,-1.5700674,0.65309,"Sepsis"
"GSM7573972",-0.37895226,-2.8686445,0.37420726,0.6895069,-0.049283028,1.7367921,-0.72215176,0.9739375,-1.880321,-0.1804657,1.0109267,0.024449348,-0.9528587,0.93702817,-1.0330379,-0.43903375,-0.69572806,0.9146347,-0.10632706,-0.43451977,0.67623305,0.16698146,1.7032228,1.0487711,1.9476666,-2.9346683,-0.6094065,1.980506,-0.67689157,-1.7968917,0.32909727,3.5069723,1.0996895,1.5852737,2.1131003,-3.4037912,-0.4525721,2.8321676,-0.42232132,0.35121012,1.2619894,-0.12365627,0.8259549,1.0417881,3.242869,1.9832435,-3.0931857,0.8460145,-1.7557299,1.7046113,0.97291327,-0.017834902,1.2431393,0.8009834,1.5410028,-0.54238844,1.1436229,-1.1574078,1.9176135,-2.0085242,-0.060331583,-0.13093317,0.35737896,2.0708294,2.0666935,2.5534773,-0.7817316,2.6701043,0.7586429,2.1864746,-2.6149971,-1.929606,0.24920654,2.6434598,-1.0014882,2.0769727,"Sepsis"
"GSM7573979",1.7193961,-1.6095116,-0.17189932,1.1854581,1.597302,1.2908943,-0.32438612,0.34063697,2.6696248,-2.3015406,1.7500005,0.095941305,-0.49327397,0.27904487,-1.4935462,-1.7568598,-2.1303225,-0.0679245,-0.08274603,0.18336868,0.73459077,0.9944675,2.705021,-0.09615159,3.6756978,-2.1810246,-1.7267847,2.780023,-2.4054875,-0.8296852,-1.9257498,-0.30052423,-2.716319,2.5265083,2.482374,-2.9382586,0.32936668,2.7659812,0.12785149,-0.21762228,1.9949427,1.1172948,-0.33048487,0.72704554,-0.3206594,2.7654219,-0.20708513,5.975812,-1.0064692,3.4428315,-0.91472626,2.0950577,2.2646222,1.3481679,2.365763,-2.2344074,2.6411905,-1.6988974,2.6238217,-1.4428363,-0.7409513,-0.9101623,-0.90866613,2.8646312,2.8496013,2.4427037,-0.70278525,3.4004877,3.9248474,3.5563996,-2.7903657,-2.7482927,0.762795,2.6908348,-0.33063793,2.8924336,"Sepsis"
"GSM7573981",1.3653903,-2.3940732,-0.5173023,0.003237844,-1.8037939,3.272786,-1.4030871,0.005636454,-1.4574506,0.74986315,2.4590945,0.07356548,-1.7535288,-1.6499045,-2.3901703,-0.88095665,-1.3827422,-1.2144675,-1.1935077,-1.5419068,-0.9525354,0.62203,4.47858,0.58661866,3.1881056,-3.1329017,-0.08457899,3.5219357,-0.8535187,-4.050633,-0.9411197,0.17333174,-1.7377677,1.4215603,1.4762752,-3.3111217,2.0931118,4.5894656,0.64432335,-1.5370569,2.5204191,-2.1225753,-0.8646369,-1.2898364,0.6024809,3.3724,-3.1087453,1.1942811,-1.3790402,3.5968883,-0.74759245,-2.968559,-2.347188,-1.1541867,2.011462,-2.7097893,-1.0185323,-2.7067535,2.3297596,-1.823822,-2.415806,-1.6241225,-0.9055238,2.5275378,2.537472,3.0804605,-3.208447,0.8926256,1.1684921,-0.40891814,-1.8305175,-1.9850719,1.7740264,1.6311135,0.03583145,2.5502648,"Sepsis"
"GSM7573988",-2.2116945,-0.9503653,3.6659305,0.7323979,0.3313346,-0.8603442,0.89140654,0.36486387,1.300354,-0.65391827,-0.8527312,-0.29232597,-0.67659545,0.22512794,0.3969009,1.1207497,0.38676667,2.0447774,1.3112473,0.33828926,1.1151793,4.322383,-0.22348261,3.5831044,-1.0841961,0.29100466,-0.98121214,0.67835,-0.51895404,-0.06566858,-0.024280071,4.2846794,0.28850317,1.3626919,-0.7728267,-0.59955287,-2.2990334,0.70346594,1.2808361,0.29627895,-0.78791904,0.626945,0.83358383,0.15726614,3.3977957,0.14428091,-0.001133919,-0.9807434,-0.6008544,0.45797777,0.25589752,2.0262864,0.009832859,1.024467,-0.29294586,-0.19290543,0.6407757,0.49038696,2.71269,-4.0827217,0.22697043,1.0850149,0.2890873,0.21886444,0.23771334,-0.15623236,-0.5308099,4.5708513,-1.0906448,4.633979,-1.8971055,-1.3777359,-0.028342724,-0.006055832,0.96548796,0.22048473,"Sepsis"
"GSM7573991",-1.1195514,-0.21465707,3.8051565,0.7299112,0.42910433,0.62177444,2.1436381,2.1867375,1.3131208,-0.06329584,0.33209682,0.6583977,0.7291281,-1.592293,0.72310424,1.8753445,0.5875027,2.9223504,0.72548056,-0.17369223,1.1151879,6.4141216,0.25884008,4.039709,-0.6310139,-0.33328152,-0.78259325,0.56670237,-0.5294516,0.8593221,1.4202209,3.8958416,-0.1672597,1.30443,-0.24714518,2.2641098,-0.8591888,0.61089325,0.76081467,1.0983868,-0.19336176,1.7793336,1.04315,0.03514719,5.1151466,0.63746023,-0.51660347,-0.50182533,-0.6622715,0.30159807,1.4076939,2.0503886,-1.498096,1.1729722,0.17374325,0.37100506,-0.3660288,0.774323,1.6175287,2.3048658,-0.519809,1.4884182,0.22077179,0.69868135,0.73763466,0.31627607,-0.25229025,3.8490818,-0.6120429,4.4235926,-4.575263,-0.80013585,0.2272315,0.9279294,0.4178791,0.69798374,"Sepsis"
"GSM7573992",-1.8076155,-1.4722588,6.5540304,1.1796235,-1.0019608,0.5573509,1.789607,3.345796,-0.65617657,0.4601698,0.69858456,-0.00051,-0.24648786,-1.9917839,-0.26473784,5.4616594,-0.14421582,1.1329317,-0.9372511,-1.3360443,-0.08155751,8.687949,-1.2875562,5.9604473,-0.121589184,-1.3288531,1.3501778,0.10677099,0.15200591,0.20871544,0.40623665,3.0914783,-1.5406704,0.030527115,-0.7212415,1.2890623,2.0366838,-0.17773438,-0.8611975,-0.7531266,0.08745527,-0.7220583,-2.3423696,-0.60081863,5.2650313,-0.46755028,-0.5433135,-2.1066241,-0.34613657,-1.2564569,1.0099235,1.8415601,-3.35954,-0.63123035,-1.3712125,0.8848977,-1.9216533,2.9158554,2.8178375,-0.60367966,-2.6765478,-0.9653567,-1.7437649,-0.8461952,0.05790329,0.0914402,-1.4899111,3.0658133,-1.0574436,4.151973,-1.0117872,-0.48214126,0.6796093,0.2499547,-0.5607476,0.48523426,"Sepsis"
"GSM7573995",0.91229415,1.0989654,5.4773426,-1.8771566,0.10455704,-0.007903099,0.04560566,-0.56261253,-0.40303445,-1.0794315,0.27513456,-1.2952268,0.7339418,-0.1552918,0.16214252,-1.3978012,0.49835944,1.0599957,-0.005058289,-0.63325596,0.5995004,-0.5162866,1.1681309,3.8158271,0.007889748,-1.1799326,-1.8239412,1.1934943,-2.8865752,-0.16636848,1.3468285,2.3207617,-0.8309727,1.1111336,0.36655712,1.4354742,-1.151367,1.2837477,-0.52251434,0.12624884,0.30917406,0.8415718,1.4624238,0.22581673,-0.42007875,1.2921786,-0.4760828,0.14047098,-1.2136164,0.9019475,0.29969168,0.45832038,1.4825077,0.47484207,2.4560983,0.23565531,0.72497034,-0.43309546,2.686177,0.9074745,-0.040951967,1.9477807,0.79350185,1.343648,1.3935957,1.731606,-0.09469032,2.3946612,0.016234875,2.6128004,-1.3418405,-2.5931153,0.94688225,-0.05709076,-1.153688,1.3453054,"Sepsis"
