"Sample","TNFSF10","TREM1","CD177","PTX3","TNFSF10.1","CCL19","ITGAM","IL10","ELANE","PDCD1","LBP","IFNG","ICAM1","C5AR1","PLAUR","LCN2","TREM1.1","SOCS3","CCR2","S100A9","C3AR1","MMP8","IFNA2","CD177.1","CALCA","CCR2.1","CCR7","VCAM1","BCL2","MYD88","TNF","MMP9","CX3CR1","S100A8","CCL25","NOTCH1","IL6","IFNB1","S100A12","IL1B","CCL2","TLR2","NLRP3","HMGB1","OLFM4","CALCA.1","MAPK14","CXCL10","P2RX7","CRP","HIF1A","IL1R2","TLR4","TLR4.1","IL8","HLA-DRA","TNFSF10.2","HIF1A.1","CD177.2","IL8.1","P2RX7.1","NLRP3.1","CD14","CCL25.1","CRP.1","CALCA.2","TREM1.2","ARG1","CXCL10.1","ARG1.1","BCL2.1","GATA3","NOTCH1.1","CCL19.1","S100A12.1","IL6.1","Label"
"GSM7574015",1.526335,0.7272446,3.701533,-0.37450373,1.479526,1.0061386,0.80272245,0.5276623,-0.7206447,-0.56965446,0.8067193,-1.5697055,-0.4098966,-1.2791274,-0.31948495,-1.776612,1.0169966,1.6086783,0.28023195,-1.1123548,-0.31435943,-1.0085905,0.4458232,2.0573132,-0.49947262,-1.7121825,-2.7684722,0.7497835,-3.091469,-0.048244,-0.31322432,2.5199394,-1.9911637,1.0993118,1.6579342,0.53298736,-0.14309812,0.77884245,-0.38661575,0.45906258,-0.078863144,1.8034987,0.58380127,-1.2178063,-2.485813,0.80037975,-0.82184744,-0.41208553,-0.71766734,0.48667002,-0.21724701,1.1303217,0.67133856,0.5349593,0.36744976,-0.23130131,0.08629608,-1.3511448,1.2975993,-3.4628024,-0.19341779,0.90699923,-0.021533966,0.887393,0.8734698,0.4296956,1.0119371,4.567004,-0.47149086,4.7930975,-2.474811,-1.8861635,1.035315,0.5544951,-1.0070305,0.89134693,"Sepsis"
"GSM7574017",1.4899352,-3.3130097,1.1254122,1.6621636,-0.75454855,1.1029356,0.8792567,0.5832639,0.025425911,0.57719564,0.613477,0.24677539,-0.66716886,-1.2683213,-0.41091323,-0.33059716,-0.45627952,1.8614631,0.66255236,0.5168438,0.8624079,0.004892111,2.388998,1.6621411,1.5572491,-0.98399496,0.94315004,0.9675207,0.38076377,-0.58309793,-0.27340174,1.7502422,0.7499404,1.8697472,1.8976116,-2.3733203,1.0186467,1.1145153,2.1358757,-0.30020714,1.0883164,-0.36950064,0.9736366,0.011960506,-0.9197569,1.015348,-1.9734788,0.7222831,-1.8674417,0.65938234,-0.3788147,-0.5178821,-0.1175704,-0.15899229,0.58302546,0.51642704,-0.90351105,-1.3565469,1.2761309,-3.2399201,-0.033315897,0.9883305,0.47893524,1.1045537,1.0986171,1.7769799,-1.7321706,1.5766628,-0.03732109,1.5190222,-1.4305584,0.19896007,0.19264936,1.8455775,1.6278529,1.0872564,"Sepsis"
"GSM7574023",0.47728062,-2.7011423,0.067468405,-0.81608045,-0.24891424,0.41141224,-0.19351721,0.035396814,0.23477626,0.63882256,2.2884707,-0.47213984,-0.008637667,-1.3258331,-0.89054084,1.6469963,0.8830416,1.2505441,-0.4933362,-0.4544444,0.06368375,0.5267832,3.1205065,0.75992846,1.8744235,-3.2241368,0.3123746,2.295253,-0.45862794,-1.1164188,0.104002476,0.85803366,-1.7186818,1.3426304,2.278471,-0.1535542,-0.02217722,2.2981615,-0.019342422,1.094533,1.3159194,-0.21340895,-0.77459717,-0.60182524,-2.2407172,2.3145146,-1.0225468,1.0885062,-1.4476142,2.016768,-0.66959095,0.07564998,1.3832297,-0.87279224,1.9056106,-0.9336071,-0.7403898,-0.8307848,1.1446643,-1.9126003,-0.32794833,-0.3441528,0.27849388,2.4092383,2.3813915,1.9857593,0.31349468,0.23092914,1.0677052,0.23503232,-0.5760915,-0.94967103,0.84681416,1.0351,-0.11214924,2.4201803,"Sepsis"
"GSM7574025",0.31120515,2.2568047,-0.51810193,-0.7704934,-0.91238356,0.37855172,-0.40150404,-0.24781561,0.23965025,-0.5535264,2.3277338,-0.64227104,0.884917,-2.0228622,-2.0640752,1.0393159,0.19385028,1.9943261,-1.1801167,0.06719971,-0.04774356,0.35715365,1.8023567,0.482033,1.7523644,-2.5733354,-0.63056135,2.134964,-2.1854703,-1.1677766,0.4651661,1.8682575,-2.9050379,2.117485,2.9809377,-1.199662,0.2855122,2.1232939,1.4056358,0.73132133,1.3905411,0.6003022,1.1117258,-0.42797136,-1.8240073,2.1375375,-1.4733071,0.9415374,-1.6109722,1.851798,-1.1427083,0.6056149,1.901649,-1.1114979,1.734189,-0.86141396,-1.6930671,-1.7463236,0.044178724,-1.5183969,-0.57151246,1.0848633,1.2525406,2.2421367,2.201342,1.8314109,0.12115574,2.3564775,0.90932846,2.253443,-3.2942345,-2.0612347,0.33942986,1.0566225,1.1997886,2.7525322,"Sepsis"
"GSM7574027",1.5970204,1.6210907,0.056109667,-1.2711364,-0.2620778,1.2818005,-0.14158297,0.17569256,0.42587852,0.28405237,0.26953626,-1.5812159,0.5262768,-0.88146806,-0.9779327,-0.1463573,0.9951918,2.540032,-0.54525805,-1.0689168,0.035405397,-0.9520395,1.1377425,1.1244223,1.2881391,-1.3576846,-0.7315335,0.81008196,-1.5113037,-0.7632098,-1.0792494,3.2963257,-3.0269065,1.1511993,2.2923713,-1.2242672,0.10100508,1.3981471,0.031721115,-0.24302006,0.5322354,0.9732795,1.3090782,0.7075057,-1.3884168,0.8367958,-1.3624196,-0.36832142,-2.9475107,0.5177865,-0.904449,0.29806638,2.6667886,-0.8625035,0.4258294,0.9212971,-0.8089447,-1.0432081,-0.51329756,-3.4221582,-1.3897669,1.4314276,0.4807968,0.92716646,0.91559505,1.1903813,0.40395594,3.048908,-0.4239583,2.9142869,-0.88027453,-2.0357177,1.2691817,3.7227225,-0.8641119,0.9270034,"Sepsis"
"GSM7574048",-0.07426572,-1.4563954,-4.3217974,-0.22507918,0.105742455,-0.3592713,-0.7533741,-0.54824495,-1.3427634,-0.31885147,-0.23397541,0.613791,-0.03665948,-2.146098,0.63597226,-1.3588855,-0.52099156,0.24015808,0.6274805,-2.0849438,0.023362875,0.63541436,-0.47204638,-3.3453581,-2.5498962,-0.04383993,1.5230474,-1.1510873,1.030339,-0.79868317,-0.22527313,-0.20690536,1.5234194,-0.76523495,0.6913681,-0.5812285,0.42630935,-1.136126,-1.3079214,0.65908957,0.98006153,-0.4033079,0.78010225,-0.4009943,-0.2559657,-0.76327085,-1.5731635,1.7332263,0.9284735,0.46917772,-0.21136236,-3.630874,-1.8220892,-0.002717972,-0.6150265,0.7360301,-0.3630643,0.041024208,-1.3224967,0.28334475,0.25605702,1.2959272,-0.42175388,-1.0389695,-0.9994378,-0.090033054,-0.41485643,-0.28962207,0.19574785,-0.15135503,-0.3197496,0.4321096,-0.64333725,1.0075054,-1.5983367,-1.0786138,"Sepsis"
"GSM7574060",-0.6121676,-0.48348594,0.21378589,1.4891466,-0.22960901,-0.6211345,1.0404286,0.9480324,0.36851597,-0.587934,-0.19905663,1.0334425,-0.001330137,-0.930815,0.10735679,0.92953897,-0.20704532,1.1506114,0.005058765,-0.38817644,-0.27991652,3.3177426,0.25583553,0.10625863,-0.22434568,-0.530807,1.398766,0.039539814,0.63756204,0.104527,1.2732272,3.0277176,0.92049456,-0.004228592,-0.06801462,0.95210385,0.86288714,0.16610003,0.25731277,0.7488184,1.5142493,0.36469507,0.4096279,0.4133458,2.427765,0.22266579,-0.58305264,-1.0572262,0.3091874,0.7324815,0.17732525,2.0892107,-0.5564151,0.662168,-0.26154995,-0.7435093,-0.6759424,0.058167934,-0.06665683,0.112986565,-0.43678403,0.39716113,-0.6626916,0.24937868,0.30848455,-0.27548265,-0.2560277,2.1592157,-1.1670971,2.642668,-0.71466804,-0.004267454,-1.0198088,-0.945106,0.48010826,0.39268398,"Sepsis"
"GSM7574066",-0.43087268,0.2702186,-0.47842526,0.6563524,0.7929106,0.9154327,1.6096249,-0.24643755,-1.4177604,-0.10101223,0.088879585,0.7381482,0.16002917,-2.249688,-0.33199,-2.55045,-0.7022021,0.2871046,-0.26433372,-0.5708895,0.043795347,-1.6493638,1.5646281,-0.3018086,1.0155401,-1.5443497,2.0408602,2.0969863,1.8095462,0.49531364,0.2668867,0.53809166,1.3128815,-0.8824501,0.7789488,1.0331333,1.1786773,-0.06104374,-1.7731361,1.0926442,-0.39289093,0.32427883,0.8917546,0.14264202,-1.2865586,-0.053712845,-1.6117206,0.77255535,-0.44226313,1.161654,0.3264594,-1.1659214,-1.9727039,0.24566364,-0.49420643,-0.4484229,-0.80713415,-0.7286954,0.46486545,0.63363266,0.1352017,0.034913182,-0.5951414,0.26709986,0.050227165,0.24042368,-0.95710087,0.9560149,0.32045364,1.8963144,-0.9650829,0.8086431,-0.47810173,0.97161293,-1.5077796,-0.076247215,"Sepsis"
"GSM7574076",2.628473,-0.18725657,2.8384545,-1.0868412,0.45230293,0.85803246,0.03670311,-0.044645786,0.85997343,0.5760746,-0.22920132,-1.2417719,1.4236343,0.028594255,-1.5994937,1.9878347,-0.74429584,1.7776661,-1.4885988,0.2589321,0.23067546,1.6500311,0.59028864,3.258828,-0.44648457,-1.0231528,-0.10978794,0.83385324,0.017963648,-0.40546417,0.90413,-0.3521738,-1.9902744,1.0407829,0.86037374,-0.68494105,-1.4632313,0.9595041,0.8380909,2.0668807,0.9137659,0.39587212,-1.5320802,-0.017284393,2.8880897,1.7621124,1.025289,4.095473,-3.0024104,0.4639387,0.07610893,1.1772506,0.9847431,-0.2241478,0.5461197,-1.5928292,0.8187299,1.0885954,2.37446,1.3135715,-1.2162173,-1.3066329,-0.9148369,1.044888,1.0157995,0.50127697,-0.82842255,-0.56248736,3.5384812,-0.60379624,0.11788726,-0.61923194,1.5792723,-0.50221634,0.75993013,0.9771147,"Sepsis"
"GSM7574082",1.4405024,2.0034635,2.6463692,0.20327508,-0.6499405,2.5274603,-0.26084995,-1.1621711,-0.66426015,-0.9204526,0.28721285,-0.5626559,-0.23513103,0.4945891,-1.3003948,0.3499782,-1.1137793,0.8103695,-1.668807,-0.16863441,-0.5539715,1.0068557,0.97045565,1.5812061,0.051653862,-1.4974332,-0.036866188,1.2567968,0.41530967,-0.24733543,0.727355,1.7336988,-0.16458035,0.3377905,1.4190388,-0.18500304,0.95091367,1.2961159,-0.70083046,2.0232635,0.29230452,-0.53202343,-1.074718,-0.304739,1.3743958,1.3122787,0.7868123,0.14977121,-2.325597,0.933527,-0.62855244,-0.08078027,1.285325,-0.23722076,0.88892746,-0.8609977,0.18104696,0.24158001,1.1743731,-1.2012906,-0.33140302,-1.2286409,-1.0098782,1.4119859,1.3830299,1.2938993,0.4722042,1.8387873,0.015952587,1.6933467,0.5175097,-0.35420632,0.54633,-0.015336514,-0.53228617,1.3635588,"Sepsis"
