"Sample","TNFSF10","TREM1","CD177","PTX3","TNFSF10.1","CCL19","ITGAM","IL10","ELANE","PDCD1","LBP","IFNG","ICAM1","C5AR1","PLAUR","LCN2","TREM1.1","SOCS3","CCR2","S100A9","C3AR1","MMP8","IFNA2","CD177.1","CALCA","CCR2.1","CCR7","VCAM1","BCL2","MYD88","TNF","MMP9","CX3CR1","S100A8","CCL25","NOTCH1","IL6","IFNB1","S100A12","IL1B","CCL2","TLR2","NLRP3","HMGB1","OLFM4","CALCA.1","MAPK14","CXCL10","P2RX7","CRP","HIF1A","IL1R2","TLR4","TLR4.1","IL8","HLA-DRA","TNFSF10.2","HIF1A.1","CD177.2","IL8.1","P2RX7.1","NLRP3.1","CD14","CCL25.1","CRP.1","CALCA.2","TREM1.2","ARG1","CXCL10.1","ARG1.1","BCL2.1","GATA3","NOTCH1.1","CCL19.1","S100A12.1","IL6.1","Label"
"GSM7573967",-2.2598188,1.5599215,-3.2370772,0.72032154,0.6570482,-0.55134344,0.083898544,-0.5034361,-1.0023112,0.8258381,-0.91615486,-0.5900924,0.020051718,-1.2161548,-0.036911726,-0.6178067,0.6587522,1.2573452,1.3251553,-0.591877,0.6256759,-0.3417437,-0.18393755,-3.4011652,0.20280433,0.09389067,1.1982832,0.11302614,0.44972873,-1.1404037,0.83235836,-0.32428265,-0.6800289,0.543766,0.33115053,0.24475884,1.5439365,1.4437332,-0.7225609,-0.23557997,1.8260007,0.353467,1.4838338,0.4720211,0.45575523,0.18672085,-2.5792813,1.2999501,0.779356,-0.21897507,-0.8770466,-1.2446797,-0.47494602,0.15249634,-0.23589516,0.37556124,-0.4516654,-2.1214576,-1.923579,-2.3504024,0.7036145,2.0047045,0.91243553,0.26818228,0.24559116,-0.17485476,0.066426754,-1.1560085,-0.45098782,-1.0813124,0.05670619,0.25999284,-1.0037718,-0.42410564,-0.7903838,0.2569623,"Sepsis"
"GSM7573970",0.08361602,0.57154393,-2.1704175,1.6443022,1.2691097,-1.1392298,0.8668747,0.50258684,-1.7015505,0.08053589,-1.6830668,2.2137794,0.8635328,-1.5501525,0.6919606,-1.3497722,1.6433408,0.36308193,1.8845205,-0.8733702,-0.5861418,-1.2314942,-0.1880269,-1.8714011,-1.9086294,0.35566664,-0.422863,-0.673635,1.143008,-0.002360344,1.6560745,-0.5403757,1.8213339,0.23807812,-0.5102725,1.3601472,0.17568707,-0.41824675,-0.9961262,1.0722547,-0.5983906,0.96591663,1.9421477,-0.45357037,-5.7279654,-0.6656637,-0.79384184,2.7614212,0.95618296,-1.0173745,0.65435266,-2.5085485,-1.8389874,1.2919626,0.35666084,1.0406337,0.14734983,-0.8713875,-2.722617,0.34405994,-0.009132147,1.8889114,0.3923254,-0.5529041,-0.587378,-0.1080327,-0.2643056,-1.4151714,2.4568267,-1.513159,-1.3257139,1.2602403,-1.206563,-0.1813631,-0.9356952,-0.5484619,"Sepsis"
"GSM7573983",0.065310955,-1.0046718,-3.0941927,1.3023404,0.611526,0.66241145,-0.7754817,0.72823143,0.3334384,0.27449417,0.8257897,-0.34819722,-0.68281484,1.0001428,-0.16148543,0.2457521,0.7743399,-1.5636392,0.9615693,-0.23755026,1.0572608,-1.1871746,1.4626789,-2.3066008,1.2216237,-0.60927486,-2.3609242,0.57928276,-0.6347921,-1.7141681,-0.32306337,-1.1973014,-1.2801118,1.0369873,0.7953119,-1.5024211,-1.8501046,0.58289194,-0.24850273,-1.8194385,0.2269721,-0.16299868,0.75577736,2.012013,1.4281864,0.5936227,-1.7747016,0.008884907,0.28557014,0.8100419,-0.47998047,0.32090306,0.70809984,0.7379365,0.18092632,-0.088627815,0.79620457,-0.93416643,-0.5454185,-2.6245837,1.4058692,1.401364,1.2049694,0.8647032,0.6699419,2.077179,-0.46884203,-0.8233063,-0.63101196,-1.4026592,-0.71456647,-0.885473,-0.17205429,1.5230298,-0.3984127,0.7057538,"Sepsis"
"GSM7573997",-1.0908892,-0.5628364,0.76429725,0.024056315,-0.03220129,-0.5832679,-0.35793066,-1.4664817,-1.0616002,0.27687502,-1.4550962,0.05350113,-0.10551906,-0.6302006,1.0822294,-0.5924084,-0.078600645,-0.1317048,0.27339315,-1.7927489,0.7009003,1.4444058,-0.24829626,-0.61070323,1.4279633,-0.63024855,0.19765711,-0.8702884,0.36708665,0.45984793,0.33328867,-1.7670674,1.4653802,-0.39783096,-0.018341541,-0.7049577,-0.103967905,-0.8415017,-1.8560224,-1.2560558,-1.331861,-0.3496337,0.91260815,0.40753412,0.75895023,-0.82919025,-1.4144621,3.3670635,1.5409198,-1.1525126,-0.49674702,-1.8869865,-0.0799098,0.46401548,-1.2556171,1.5865593,0.07113266,-0.32324982,-1.8157561,-0.83737326,0.82501674,1.4249636,-0.07688904,-0.7388897,-0.7504239,-1.1629071,-0.6170573,-0.66920495,1.3144631,-0.37497878,-0.17526078,0.44410062,-0.6762395,-0.700305,-1.9698706,-0.74831295,"Sepsis"
"GSM7574000",1.0000582,0.7268417,-2.1132867,1.7172254,-0.7105975,2.225345,-0.46224594,0.8175907,-0.511256,0.801064,2.8874154,1.1837479,-0.8045709,-2.7062278,-3.9217954,0.5455916,1.298394,-2.3412051,-0.67293215,-0.86583614,-0.37657094,1.5207303,2.9688797,-0.21466184,2.0787861,-2.1629934,-0.18438435,3.3100777,0.52119803,-3.8343337,0.5580225,2.5767736,0.60860157,2.913744,2.4127245,-2.3864505,1.5360289,3.2961679,0.76112556,1.0219078,2.4591665,-0.44614887,0.49821997,-1.1668267,3.1058283,3.450251,-3.922266,2.1596193,-0.39722478,3.0677414,0.74074316,-4.9522114,-2.1182923,-0.056765556,2.8810747,-0.827888,-1.0922704,-2.0394633,1.2331569,-0.85356796,-1.4396627,-0.2478975,0.14077568,3.4024045,3.396943,3.0437584,-0.46990728,0.41915393,2.1104064,-1.1478631,-2.1912382,0.7168653,1.1964889,2.4596534,-0.15306997,3.8685431,"Sepsis"
"GSM7574009",0.12628102,-0.9216249,0.39750028,2.50907,0.45816565,-0.26505303,1.3526406,0.7904849,-0.011324883,0.20974731,1.2619717,-0.5993805,-0.5629785,-1.8868287,0.42653632,-1.5365288,1.5056984,0.62776804,1.5279717,0.73955727,1.5511839,-0.6290209,2.2932832,1.5041745,0.12515807,-0.28698015,0.7673106,1.1624379,0.035269976,-0.22676706,-0.37581873,4.1097603,-0.15270948,2.117733,1.6838157,-1.9289415,-0.27922225,1.1539512,0.8130913,-0.2287283,0.5891621,0.8717389,2.0191393,-0.22342348,2.083848,1.958081,-2.5008092,0.8133068,-2.5602918,0.9052501,-0.29821014,0.1564343,-0.26869917,1.4292312,0.74829483,0.29355335,-0.41448784,-0.536252,0.4847405,-3.0357957,0.25118136,1.7653528,0.69753265,1.2811751,1.2751732,0.86211634,-0.11752653,2.473684,-0.06572485,2.8397105,-1.7533972,0.27466464,-0.18830395,0.32057214,0.47235584,1.2674894,"Sepsis"
"GSM7574016",1.0024347,1.1077096,0.91266704,0.37257087,0.086503506,1.6060207,1.2477412,0.31698895,0.562809,-0.47394323,1.3349423,-0.91623783,-0.50927806,-2.1258128,0.042993307,-0.07180762,0.8818476,0.82531214,0.9031396,-1.2329783,-0.17506099,1.3599205,2.4977221,-0.18261027,-0.35759878,-1.1871023,-2.750195,0.8152728,-2.59879,-0.017935276,-0.64333534,2.0780354,-1.16818,1.2602978,1.4662323,0.49617457,0.10493541,0.84552383,-0.3686123,0.5323019,1.0183687,1.3132415,1.0510359,-2.6684012,3.0909843,1.0626726,-1.5292292,-0.31992292,-1.9073002,1.1742387,0.54146194,0.17098832,-1.3821578,0.67276716,0.43296003,-0.20563507,-1.0307474,-1.2190871,0.3909495,-3.388483,-1.0177882,0.7499944,0.16541481,0.9593587,0.944026,1.3366308,0.6375923,4.5455523,-0.402956,4.3871183,-4.7441854,-1.9456007,1.3873525,-0.4295683,-0.8342781,0.9318781,"Sepsis"
"GSM7574018",1.011843,-3.7706058,2.5101826,0.4459027,-0.55579185,1.0245254,0.6859455,0.85791826,-1.0887718,0.35651207,1.714668,-0.9252136,-0.7824366,-1.707555,-0.13900304,-1.3033135,0.6283424,1.8506298,0.6670141,-0.096811295,0.73843265,-0.59425235,2.972179,3.0226848,2.0197523,-0.80315065,1.3586769,1.252337,0.36719966,-0.5338869,-0.2996931,1.735424,0.9406433,1.4854536,2.1981428,-2.2112577,0.6700194,2.1597602,1.0892859,-0.301373,1.1494365,-0.58391666,1.3170533,-0.5693102,0.23881197,1.2173443,-2.6017113,0.015224934,-2.4083664,2.1217103,-0.30571032,-4.2295246,-0.4069786,-0.16374683,0.7747755,0.52328444,-0.67821646,-1.8677897,1.6880505,-3.061739,0.31219792,1.2545873,1.1245146,1.2938075,1.2953644,2.1080906,-0.7603483,0.27514386,0.43249345,0.16220069,-0.8768475,0.46156907,0.37606812,1.0849109,0.5982995,1.2776914,"Sepsis"
"GSM7574034",1.5333896,-2.2395575,-2.6699467,-1.5539361,-3.6061592,2.4513867,-3.7158408,-0.691767,0.14034581,-0.12736368,3.1132798,0.16398048,-1.5031941,-1.1929429,-2.5710835,-2.0883124,-0.8634927,-0.41725588,-3.6136274,-0.5118375,-2.2739217,0.9874332,3.139205,-1.9920645,2.5229015,-2.7564137,1.6697593,2.7589378,-2.5750089,-5.485654,-1.4682856,4.1838665,-4.201742,1.7693729,2.8163013,-2.990938,1.2581713,2.7670975,0.079179764,-1.5184741,1.8861423,-1.5572,1.2651968,2.5423684,3.6280284,2.750867,-3.0988395,1.5024314,-0.9999776,2.4640884,-4.248944,-3.3730392,1.5229526,-4.8275986,2.3614974,-3.389411,-1.0637493,-2.606217,1.9627821,-1.3087192,-2.4663954,-0.5866598,0.3494358,2.8599043,2.8365784,2.4084294,-1.3269961,-0.6730058,1.5095439,-2.9446862,0.72016835,-1.0510626,0.6550784,2.8932135,-1.8663597,2.8629622,"Sepsis"
"GSM7574049",-0.69376063,-0.00041,-3.1044147,-0.3833543,0.32262897,-1.36327,-0.4432268,-0.75518465,-1.6404243,0.33411312,-0.9707813,0.5244155,-0.40960526,-1.9820011,0.6267159,-1.7170336,-0.08949399,0.46346188,0.7210884,-1.9699688,0.051564932,0.005793333,0.7616329,-2.6370924,-0.46082306,0.12733603,1.3215351,-1.0295854,0.7700374,-0.25892544,-0.31027603,-0.4748106,0.7181082,-0.6650095,-1.0869937,-0.17293286,0.25891757,-1.0301876,-1.4012947,-0.005479336,0.7766037,0.529006,0.9332051,-0.7586813,-1.4435015,0.4962921,-1.5062909,0.35729313,1.034472,0.961802,-0.29414415,-2.4713452,-1.5987482,0.30328655,-0.16442442,0.742702,-0.17090368,-0.1250782,-1.123523,0.67979527,0.3722937,1.4813024,-0.22093105,-0.9056096,-0.8859639,0.14275599,0.009012699,0.6685059,-1.9926939,0.75774264,-0.8460405,0.88581634,-0.042049408,1.3681903,-1.6817498,-0.9758768,"Sepsis"
