"Metric","Mean","SD"
"MCC",0.982319868798931,0.0407143530179895
"F1",0.9936,0.0147381179670988
"AUC",1,0
"TPR",0.987692307692308,0.0283425345521131
"TNR",1,0
"PPV",1,0
"NPV",0.977142857142857,0.0526361355967815
