"x"
"CALCA"
"CRP"
"TREM1"
"PLAUR"
"LBP"
"IL6"
"HMGB1"
"ELA2"
"IL8"
"IL10"
"IL1B"
"S100A8"
"S100A9"
"S100A12"
"CD14"
"FCGR1A"
"ITGAM"
"C3AR1"
"C5AR1"
"LCN2"
"CXCL10"
"IFNG"
"IFNA1"
"IFNA2"
"IFNB1"
"CCL19"
"CCL25"
"CX3CR1"
"P2RX7"
"PTX3"
"TNFSF10"
"MMP8"
"MMP9"
"HLA-DRA"
"TNF"
"MYD88"
"NLRP3"
"TLR2"
"TLR4"
"NOTCH1"
"BCL2"
"PDCD1"
"CCL2"
"ARG1"
"IL1R2"
"CD177"
"OLFM4"
"MAPK14"
"VCAM1"
"ICAM1"
"SOCS3"
"GATA3"
"CCR7"
"CCR2"
"HIF1A"
