"Sample","S100A12","CCL2","IFNG","MYD88","C5AR1","TLR2","HIF1A","CCL25","CALCA","ELA2","CCL25.1","TNF","C3AR1","IL10","TNFSF10","BCL2","SOCS3","LBP","CIAS1","PTX3","HMGB1","CX3CR1","CD177","HLA-DRA","OLFM4","IL1R2","HIF1A.1","ICAM1","GATA3","CIAS1.1","P2RX7","PDCD1","IL6","MAPK14","PLAUR","CCR2","CALCA.1","CCR2.1","BCL2.1","IFNA1","IFNB1","VCAM1","MMP9","TLR4","CRP","FCGR1A","CCL19","IL1R2.1","IL1R2.2","PLAUR.1","MAPK14.1","S100A8","BCL2.2","TREM1","IL8","CCR7","IL1B","ITGAM","MAPK14.2","ARG1","NOTCH1","LCN2","CCR2.2","MMP8","IFNA2","CXCL10","S100A9","CD14","Label"
"GSM326105",3474.76488059701,7.69109868656716,34.5352094029851,580.952462686567,715.456132835821,65.7956091044776,144.197794179104,20.8846914925373,-0.0958159198507463,81.8614432835821,6.59515298507463,66.7355546268657,128.618889701493,4.7325121641791,1347.23279701493,3.03434937313433,67.7975014925373,-1.88387541343284,112.138536865672,8.20662652238806,46.2663879104478,78.7139002985075,124.113613283582,2374.71470149254,-1.38515641940299,3.77583444776119,172.214798507463,54.8998020895522,12.1725485671642,8.94605343283582,77.1370292537313,6.11813326865672,9.93210235820895,2.57237182089552,127.218275522388,-7.05971358208955,-3.03622648432836,-9.60761910447761,228.599276119403,-16.8966395373134,0.497213683731343,5.76844579104478,1372.81788208955,331.887482089552,-4.98203308955224,196.616325373134,4.87933982089552,71.1051085074627,2425.4683880597,183.986867164179,100.167982686567,21895.4874626866,-2.32626588955224,6.03331810447761,102.549464328358,354.091873134328,418.374128358209,1217.15532985075,147.648825970149,263.202746268657,616.322373134328,168.92336119403,2389.21091044776,57.6265435820896,2.82979019402985,63.8297258208955,8770.64852238806,2489.81586567164,"Sepsis"
"GSM326106",7703.90443283582,21.7337995522388,30.3353655223881,1439.71889552239,1178.05708059701,362.834308955224,381.775086567164,4.00005265671642,-2.52988579104478,24.1330819402985,-1.3147397728209,147.296284776119,516.719298507463,11.1633138208955,3543.12485074627,-3.55341415671642,227.376594029851,4.76785143283582,334.560652238806,22.100673880597,32.0531713432836,182.744510447761,80.1366234328358,3929.70156716418,-0.576213596268657,11.9727971940299,497.478935820896,101.387945522388,7.48337834328358,25.1242447761194,254.173456716418,7.69027335820896,3.88230298507463,1.38236470597015,343.000720895522,-7.26510804477612,-3.98487659701493,-8.46534008955224,203.32876119403,-10.3749614776119,-3.38044314477612,8.19181944776119,5339.29667164179,863.126971641791,0.126798235223881,622.96402238806,6.68123689552239,301.159713432836,9919.99137313433,266.536280597015,266.749108955224,21895.4874626866,3.40217586567164,79.1211168656716,148.926706567164,250.375128358209,1197.78294626866,2684.14101492537,467.333717910448,336.813267164179,1104.63599402985,408.565798507463,1084.98836268657,418.16428358209,0.537467333880597,619.304552238806,11246.2673134328,2692.88456716418,"Sepsis"
"GSM326107",11315.0285074627,23.8114386567164,21.7805256716418,1687.98952238806,2678.76113432836,207.968634328358,207.823076119403,1.73875698507463,-9.70121095522388,115.570971940299,3.65761350746269,232.342950746269,194.25786119403,8.37293744776119,1917.83344776119,-1.92869032686567,105.649887164179,4.86754607462687,486.743153731343,16.5949014328358,45.0326743283582,262.878101492537,451.517110447761,782.451746268657,2.52036855223881,3.89596949253731,295.185241791045,113.42346761194,12.6479404029851,26.1023273134328,183.571507462687,5.20650888059702,0.642662198955224,-2.77258157761194,246.466752238806,-11.2222547014925,-4.49996855223881,-12.1682278656716,141.06435238806,-13.6282169402985,-9.1862102238806,8.85410056716418,6091.6537761194,591.05058358209,10.9598750149254,361.280101492537,5.71206552238806,231.790580597015,10278.4258955224,211.736801492537,169.620535820896,21895.4874626866,3.01974829850746,152.710504626866,105.796267014925,266.073495522388,691.235586567164,3344.91073134328,220.814229850746,2495.00573134328,530.141188059701,748.245864179105,810.9517,261.615040298507,2.31446604477612,33.1337311940298,12902.1858208955,7127.26201492537,"Sepsis"
"GSM326108",10117.853761194,30.4767471641791,25.1600031343284,1601.86674626866,1330.38353731343,267.91106119403,405.054056716418,-0.954067662089552,6.33375755223881,734.30287761194,-6.07946017910448,200.294220895522,298.359471641791,1.5701009358209,2161.60788059702,2.9837226119403,453.756911940298,5.66996001492537,491.621041791045,36.5460214925373,24.0413104477612,86.3756249253731,526.38357761194,1489.45544776119,833.633967164179,10.2240860298507,568.175832835821,142.820195223881,-4.20095131343284,34.1069111940298,154.539383731343,1.56624788059701,18.2017429850746,2.45214298507463,366.404832835821,-9.61660576119403,-3.27069886716418,-8.94471573134328,67.0885964179105,-8.6702832238806,-2.48902472686567,7.73349073134328,3263.1536119403,605.164167164179,3.98553473134328,1361.66292985075,36.5790319402985,243.396594029851,12337.9950447761,296.003423880597,264.038920895522,21895.4874626866,4.46068811940299,268.163197014925,1306.47227462687,147.343470447761,1416.70402985075,2969.31359701493,324.578067164179,3278.66313432836,849.936288059701,15606.9168656716,351.277040298507,5694.83686567164,-2.17592084179104,514.920926865672,12726.3020895522,2703.67914925373,"Sepsis"
"GSM326110",4598.86386567164,12.6658364776119,40.7315014925373,1065.16804029851,791.62361641791,338.262053731343,403.45188358209,8.64171602985075,-5.92688380597015,181.535952238806,-1.81811092985075,191.889753731343,486.743153731343,9.46290208955224,2632.88553731343,-0.505474498507463,242.014992537313,4.55523779104478,375.018601492537,31.1028685074627,37.2891756716418,210.281428358209,637.303665671642,3873.81764179104,17.3750861791045,2.63458352238806,468.451347761194,101.387945522388,4.06824886567164,40.8417946268657,248.741450746269,3.35263149253731,-0.546808089552239,2.18023585074627,577.085811940299,-4.33507897014925,-1.31002630661194,-9.04377408955224,114.10428761194,-12.6340857910448,-2.15371912089552,9.4510407761194,4092.20589552239,964.548926865672,-5.61150447761194,670.839725373134,-1.17515204855224,321.535634328358,6870.30853731343,551.572995522388,226.093840298507,19178.0001492537,4.60553256716418,48.8675528358209,194.567856716418,242.122650746269,1560.58786567164,2544.98537313433,581.90672238806,743.815304477612,1133.52830447761,584.790220895522,1257.6074761194,267.707692537313,-0.142643297014925,397.868692537313,14065.9143283582,5002.47468656716,"Sepsis"
"GSM326111",837.463089552239,82.416618358209,65.0858688059702,1076.98822537313,764.780614925373,212.669458208955,135.624336567164,-0.0326211511940298,-5.22444235820895,75.1642073134328,3.02808223880597,276.661644776119,241.251049253731,2.28125937313433,5339.29667164179,-2.00485125671642,16.2864095671642,8.21330686567164,426.222753731343,14.6844242686567,34.2356885074627,333.592510447761,3.89438402985075,5528.93928358209,-0.373763407462687,2.71872041791045,174.739920895522,30.0217871641791,29.1396335820896,35.1261852238806,238.705035820896,10.4694745373134,-2.56881398358209,0.200958615358209,289.638320895522,-10.2673027462687,-6.47671482089552,-10.6787235970149,494.15163880597,-8.37171955223881,-1.95305371343284,10.1757270746269,184.675464179104,542.860795522388,-6.15191444776119,147.733937164179,10.5975894477612,66.6768253731343,836.266653731343,319.333341791045,23.1793102985075,17712.1334328358,5.22820714925373,93.805641641791,30.78309,415.404928358209,429.224186567164,1063.29617014925,57.9955253731343,78.9387319402985,906.73826119403,191.537828358209,1161.97468955224,28.2826332835821,0.245076907313433,1153.40982686567,4509.16262686567,2826.17459701493,"Sepsis"
"GSM326112",3906.74608955224,20.8690949253731,90.0236289552239,822.84386119403,1454.53813432836,76.8566434328358,235.490913432836,5.01746998507463,0.953560802985075,308.104950746269,-7.73613082089552,144.61364119403,53.1410355223881,-3.31770645373134,2264.49288059701,-1.28058484358209,15.3330515522388,0.267693824328358,230.350394029851,9.47677343283582,91.323571641791,355.621608955224,-1.71713427970149,5142.24670149254,13.3689181940299,3.91218985074627,286.598540298507,14.7900859402985,27.8622547761194,18.454821641791,137.15906119403,15.270944,8.61788052238806,0.355915224626866,194.174549253731,-9.41029244776119,-8.40046302985075,-9.65520298507463,516.719298507463,-11.6284509552239,-6.48055637313433,7.23664014925373,981.246398507463,370.821435820896,-1.44937320238806,43.8459858208955,7.45168285074627,75.4633426865672,456.040331343284,110.211799402985,45.0326743283582,16770.9949253731,4.09035807462687,113.612721940299,312.795225373134,556.536923880597,526.67741641791,924.815071641791,90.5071713432836,146.067768208955,462.075228358209,1072.73254925373,756.588910447761,85.1267667164179,3.70317285074627,50.5968040298507,4667.03292537313,2450.0921641791,"healthy"
"GSM326114",10602.1270746269,2.73930123880597,38.5130274626866,1187.07513283582,1430.66943283582,126.182863134328,201.563747761194,3.31852279104478,-7.98549898507463,246.974401492537,1.20015711343284,85.1267667164179,154.645793283582,3.51416852238806,1532.12392537313,-7.39503785074627,89.3157765671642,-0.56584366119403,180.122304477612,11.2537277014925,31.2898374626866,99.3827073134328,342.070707462687,1491.90135820896,-8.71076595522388,7.0875872238806,301.417135820896,34.2723604477612,3.40774567164179,18.2936492537313,62.2015637313433,0.956711720895522,4.49306655223881,0.215109616119403,138.73995641791,-8.58690668656716,-9.01278379104478,-11.3190355671642,174.120528358209,-12.7586606716418,-3.02673525671642,4.62294273134328,9997.22628358209,533.072419402985,-2.35007489552239,226.366434328358,3.15854895522388,216.366694029851,7537.44365671642,112.783516567164,189.525832835821,19178.0001492537,9.20201058208955,52.4712671641791,14.2695255074627,292.617450746269,468.178846268657,1842.96385074627,281.227550746269,2678.76113432836,616.322373134328,697.564029850746,807.306652238806,342.373298507463,0.864405704626866,45.0326743283582,9814.31088059702,3445.17340298507,"Sepsis"
"GSM326115",2576.72558208955,5.70871691044776,105.836665074627,822.84386119403,935.575829850746,146.299043731343,250.061498507463,0.89439583761194,-3.05255850895522,70.7866698507463,-3.33201061343284,95.3090762686567,47.3029592537313,-5.51196844776119,2057.23668656716,-0.512182665671642,54.328516119403,8.59325476119403,139.171400149254,10.7627357164179,50.9335702985075,351.582737313433,34.5558,2826.17459701493,8.50316374626866,1.07264538567164,319.7578,40.6944341791045,5.91926737313433,15.3330515522388,122.664406119403,2.29858946268657,2.3222796119403,0.685577006149254,383.843365671642,-6.50144507462687,-10.2990974179104,-15.0255236567164,246.116474626866,-11.8454891492537,-2.64047864477612,6.65215450746269,2327.37720895522,554.184331343284,-3.33499939552239,277.405641791045,1.22653179253731,104.748453432836,871.366867164179,341.707032835821,155.020655970149,15392.2408955224,2.12178498507463,89.10153,58.3320507462687,333.747858208955,1736.80008955224,952.142097014925,259.518223880597,363.723101492537,1027.52319253731,804.036692537313,552.820907462687,107.213603283582,5.83706195522388,404.113931343284,5955.42094029851,1532.12392537313,"Sepsis"
"GSM326116",1474.55586567164,7.01210917910448,45.958748358209,597.614504477612,874.371525373134,255.373976119403,206.30586119403,0.08511535,0.627025812537313,256.749447761194,2.16554319402985,24.3537332835821,48.0692705970149,2.29568701492537,1083.56493880597,-3.21792387761194,60.4388788059701,2.94810055223881,278.806467164179,15.1682285671642,43.9589537313433,163.203873134328,28.2217868656716,1704.9292238806,3.26006417910448,11.9760878059701,310.051365671642,13.2020808059701,20.3015195522388,28.2043341791045,39.9836550746269,14.9859214328358,-2.84994466268657,3.12668514925373,120.292128358209,-13.1575634179104,-10.1267414776119,-10.7580538955224,366.798014925373,-15.2313807313433,-4.03461043283582,16.984935641791,2370.57207462687,835.5868,-1.2211934080597,20.2255349253731,3.57699697014925,321.965798507463,6091.6537761194,113.712953880597,71.1051085074627,15830.518358209,10.6997045522388,184.937129850746,23.1733459701493,355.934297014925,211.832780597015,766.304932835821,155.971911641791,2751.00826865672,1107.89948955224,537.063629850746,125.938986865672,80.9393107462687,2.57237182089552,11.7260282686567,3323.49079104478,495.382052238806,"Sepsis"
