"Sample","CCR2","IL8","CCR2.1","IL10","HIF1A","IFNB1","ITGAM","TREM1","IFNA1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IFNA2","IL6","BCL2","CALCA","TLR4","ELA2","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","LBP","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.2","IL1R2.1","TLR2","CD177","CCR2.3","IL1B","CCR2.4","CCR2.5","CRP","SOCS3","CCL25.1","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","PTX3","PDCD1","CALCA.1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA-DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.2","IL1R2.2","CCR2.6","VCAM1.1","NLRP3.2","VCAM1.2","CALCA.2","BCL2.3","PLAUR.1","CCR2.7","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM365207",-4.90391392307692,74.5254058974359,90.6785946153846,-5.14457658974359,59.8061864102564,-2.31311874358974,1627.38869230769,139.300574871795,0.517350294102564,3352.57897435897,1579.91525641026,323.522969230769,1152.3951025641,18.3767430769231,1.27935657948718,2.20363123076923,-5.45832623076923,-11.6046267179487,353.104258974359,125.563770769231,89.0255435897436,642.859643589744,3.97902741025641,5.42294828205128,199.558471794872,2309.34920512821,20734.9207692308,1.99220113846154,70.8860015384615,247.324217948718,2.17412105128205,1966.64897435897,3167.71556410256,90.3571194871795,2984.75084615385,21915.2182051282,24.0039484615385,109.678232820513,92.6866128205128,142.332405128205,-5.22230797435897,15.2119541025641,97.1302533333333,3021.26287179487,187.477843589744,252.636323076923,531.401066666667,2185.43087179487,8.66579776923077,12.282196974359,-3.26396846153846,92.9372761538462,-4.01923730769231,229.329069230769,305.373802564103,11.203335974359,299.535517948718,9817.79776923077,109.478378717949,2221.49394871795,3.51081294871795,-1.49788835384615,5.76030541025641,8.70278130769231,589.896807692308,546.470369230769,670.597892307692,493.530064102564,20.0729212820513,1868.73148717949,1470.94797435897,156.608188974359,15.0774215384615,38.9514448717949,477.512884615385,3.95983517948718,10.5513283846154,9.85264202564103,79.5170317948718,-0.202710777205128,4.96494835897436,-0.0872458815384615,1048.04044615385,4.99003346153846,170.150830769231,172.084412820513,12832.6138461538,18.2787938461538,316.556417948718,"Sepsis"
"GSM365208",0.525087374358974,53.9241346153846,214.360415384615,0.55326082,95.6375523076923,-14.3493607692308,1274.77941025641,24.7608333333333,-1.01839728205128,4534.14130769231,1606.78135897436,151.435901794872,423.410023076923,22.6985746153846,-2.55853546153846,6.90054894871795,1.57046321282051,-2.30269958974359,420.951228205128,124.176146410256,142.724607179487,339.149553846154,0.413101133846154,10.8412601538462,63.0957953846154,1770.52287179487,15971.7417948718,-1.38442264871795,62.2479443589744,274.395674358974,14.9715151282051,1605.03115384615,4101.65548717949,6.40807358974359,2414.89412820513,22255.7587179487,-6.77515569230769,297.557274358974,69.2604082051282,127.44075025641,-0.990089461538462,18.2350353846154,312.22038974359,9044.92312820513,209.197423076923,199.231215384615,1280.08382051282,503.778461538462,3.24542979487179,30.5832869230769,7.92205507692308,109.234337948718,-0.355471927435897,510.6548,396.794802564103,1.61684038461538,106.061983589744,9471.38071794872,74.4989853846154,1908.05935897436,-0.0668213584615385,-0.315422448461538,5.35554594871795,-3.52855707692308,736.489923076923,363.199561538462,114.219734102564,31.4280194871795,19.0610097435897,2088.91630769231,1444.42735897436,107.34915,13.8071174358974,32.76939,249.2111,6.50356930769231,27.649531025641,2.40159969230769,161.154448717949,7.01680371794872,-5.8042062051282,1.75927127692308,806.103553846154,-1.47335798205128,180.411243589744,178.405674358974,19334.8743589744,11.3580751282051,168.203771794872,"Sepsis"
"GSM365209",-5.03339317948718,101.334020769231,46.1137097435897,5.67183394871795,144.366332564103,-9.92408853846154,2878.53574358974,37.3978061538462,-1.4635803,1921.93451282051,979.442323076923,143.137285384615,13210.1230769231,28.4664194871795,1.98950198974359,2.57229517948718,-0.449871188461538,0.0769315352051282,457.040238461538,561.757902564103,190.3422,137.264523076923,0.401888455641026,28.7317435897436,344.92417948718,1582.0671025641,16869.8823076923,-8.6190187948718,2302.83825641026,404.706294871795,-0.85193481025641,1856.38502564103,880.320925641026,22.5364464102564,3068.64653846154,21597.228974359,253.015825641026,147.888876666667,100.490232051282,217.150876923077,1.71096114102564,17.2724574358974,36.0458712820513,11792.4153076923,589.896807692308,565.322138461538,126.516680512821,5059.51851282051,-4.81883641025641,2.67460794871795,-2.92987379487179,441.2192,-4.13557243589744,586.649953846154,484.49347948718,-0.672151225641026,839.916735897436,8997.38115384615,7.99653617948718,1803.32974358974,11.1267620512821,-1.55778681282051,9.99522638461539,16.9435676923077,1178.39838205128,633.008128205128,129.995111794872,5779.77874358974,73.7339869230769,1152.3951025641,2224.58471794872,213.1444,6.76382305128205,16.8362105128205,68.6434443589744,1.37003288717949,1.78828995641026,1.04953113384615,142.203741025641,10.9580635128205,3.88845138461538,2.76170646153846,920.987682051282,-1.50325691794872,231.6174,312.414797435897,5565.72948717949,5.11546453846154,297.253015384615,"Sepsis"
"GSM365210",6.88536638461538,63.7146364102564,144.366332564103,-10.488466,64.9471815384615,-4.83901638461538,1762.10276923077,49.3273543589744,-9.67243797435897,1868.73148717949,1354.043,159.980046153846,4252.47143589744,8.50449630769231,4.49286074358974,7.08107535897436,13.1777417948718,1.89763364615385,362.771869230769,410.996417948718,101.334020769231,593.700105128205,3.63448317948718,11.3171259487179,120.484672051282,1597.37741025641,16712.6869230769,0.332194622564103,654.667961538462,160.239030769231,-0.150004895410256,1380.62248717949,2283.1281025641,101.483472051282,5779.77874358974,19334.8743589744,9.79466012820513,108.258841794872,143.247938461538,72.0818379487179,5.34752997435897,14.7053361538462,181.173756410256,1742.16394871795,168.631579487179,233.726464102564,554.080674358974,1651.44769230769,-2.98858258974359,28.20919,4.96895741025641,89.9794876923077,-1.37522850769231,312.893394871795,292.088928205128,17.7634658974359,214.555194871795,10395.5147948718,138.291623076923,1772.28684615385,10.0497127692308,4.69247443589744,9.19792130769231,-0.611138563846154,830.674856410256,434.42668974359,1012.89502051282,618.369692307692,8.62949087179487,1085.74074358974,747.125402564103,167.182897435897,55.5042561538462,36.0574551282051,399.595387179487,4.70674035897436,39.8629094871795,-4.53100933333333,65.1350641025641,5.34048523076923,-3.60713976923077,8.27925448717949,892.831484615385,4.03596941025641,148.749794358974,122.452744871795,11633.4627692308,16.4926812820513,250.225476923077,"Sepsis"
"GSM365211",8.82516492307692,89.6471902564103,40.8881546153846,25.1130238461538,157.862130512821,-2.52143228205128,2932.13676923077,47.1207443589744,-5.46351658974359,1149.26766666667,1725.74705128205,70.5550041025641,12616.7556410256,18.6848071794872,13.6590617948718,6.17413141025641,-8.5164731025641,-5.18915271794872,888.665207692308,18.8932712820513,262.292805128205,79.1351707692308,-0.0800805712820513,-6.09209869230769,126.429636666667,843.090864102564,20084.3369230769,-8.34872233333333,1820.07248717949,352.434705128205,-1.38777107948718,2045.13648717949,2430.43994871795,41.9626192307692,11290.8821025641,23222.3594871795,77.3217687179487,213.533228205128,93.1190058974359,362.617938461538,-1.38442264871795,-2.30558112820513,105.957270769231,7555.54579487179,344.753358974359,533.613484615385,380.0688,2173.37812820513,-0.911830823076923,11.8164524615385,0.951634107435897,277.609835897436,-6.02530438461538,158.595728205128,384.232117948718,25.7554823076923,740.130702564103,3705.40082051282,16.4781120512821,2774.9368974359,2.14684192307692,2.184068,-4.17718874358974,13.7391358974359,775.705792307692,625.032394871795,409.53508974359,2246.94828205128,132.942535897436,1140.50442564103,3698.2438974359,180.205935897436,16.8027348717949,61.6756866666667,90.2018566666667,-2.36619043589744,9.07475035897436,2.44970917948718,212.5468,0.760540251538461,-2.86754366666667,13.182308974359,509.681017948718,2.79929156410256,415.433605128205,283.756153846154,10619.7413076923,10.7560746923077,158.194376923077,"Sepsis"
"GSM365212",6.12363023076923,94.0498015384615,119.765241025641,-3.70644302564103,50.7266512820513,-8.80251533333333,447.229443589744,44.271128974359,6.2256248974359,7039.90566666667,622.47131025641,78.8503461538462,213.059102564103,17.2265612820513,-0.324792567179487,13.4763633333333,8.83732333333333,-6.82980087179487,120.606690769231,97.48886,158.142143589744,1744.06246153846,8.8821501025641,14.0971874358974,112.774974358974,1730.2211025641,7927.34835897436,2.37835256410256,0.580394875717949,38.9613825641026,-5.38256548717949,989.334615384615,1813.614,213.632553846154,515.873846153846,10265.8385641026,-3.9085491025641,16.1271787179487,160.618141025641,36.8925887179487,6.80520471794872,6.8944311025641,135.777341538462,220.665923076923,46.5162730769231,3.13793023076923,677.669715384615,644.256853846154,-0.299539471641026,20.0759530769231,-11.3062055897436,16.0578825641026,-3.59167269230769,61.2065382051282,32.0398474358974,7.00026484615385,28.2524874358974,736.489923076923,232.994997435897,1147.25036923077,0.387594878461538,4.2163581025641,5.15456576923077,7.47959915384615,-0.949303405128205,339.507356410256,1951.80384615385,60.9186823076923,3.78800758974359,4083.10115384615,61.395268974359,221.828815384615,73.1410133333333,39.4605215384615,685.26418974359,-5.81792725641026,12.4705464871795,8.61752169230769,100.600212051282,-0.849753492307692,-2.48286053846154,6.37795256410256,301.244335897436,-0.593743826666667,85.1506435897436,23.5883641025641,8278.49207692308,54.3212971794872,77.8980805128205,"healthy"
"GSM365213",2.69882907692308,153.228041794872,138.637831025641,-3.60589015384615,43.0008887179487,-2.37081346153846,578.659979487179,98.4345856410256,5.90542425641026,5717.65464102564,887.979169230769,102.348038461538,630.519643589744,8.01202535897436,1.99769693076923,0.917646611794872,-2.68518351282051,1.25458028717949,182.556074358974,317.403915384615,148.376095384615,1092.23675641026,7.71720215384615,10.2798654871795,86.16667,2211.40684615385,10471.9097692308,-7.92947912820513,0.263313314615385,30.4971438461538,2.82341176923077,762.237312820513,1972.01130769231,117.942081282051,455.424215384615,12436.0358974359,7.42555769230769,42.2018507692308,110.39017974359,65.7970530769231,-0.268017500512821,5.37355871794872,166.799692307692,444.361312820513,54.7869182051282,-5.01134974358974,586.649953846154,667.674887179487,5.45741664102564,26.7850241025641,1.27615951282051,18.1035405128205,0.890345748717949,91.5443046153846,54.5400658974359,-1.86465133333333,38.9916371794872,777.017392307692,138.692942051282,1249.46420512821,4.06639058974359,9.60518028205128,7.96972735897436,4.19266917948718,94.1022084615385,640.797497435897,1309.00092307692,217.656992307692,-0.571137187692308,3657.48025641026,40.7685697435897,404.88707948718,55.6377315384615,51.9373217948718,407.424846153846,-2.38277456410256,10.2382784615385,-0.0303798530769231,93.6280905128205,-4.38626366666667,0.694292728205128,2.45911335897436,339.871617948718,9.47280715384615,130.356347692308,17.9524328205128,8850.106,47.7287520512821,75.91482,"healthy"
"GSM365214",3.63681035897436,212.972330769231,288.938061538462,1.24962695128205,34.9464269230769,-3.45149130769231,582.931858974359,81.9933205128205,-9.52303005128205,9817.79776923077,827.487502564103,92.3676782051282,263.898138461538,26.9378215384615,-4.59163979487179,5.4586158974359,-0.537881017846154,4.96895741025641,208.802279487179,71.9776053846154,331.496887179487,972.552030769231,28.6377143589744,10.1239912051282,110.204506410256,1842.85551282051,11290.8821025641,-0.280806834564103,0.914505062307692,53.8265007692308,-1.73548964102564,953.044033333333,4141.77233333333,155.907684615385,595.173528205128,12032.908974359,8.43555269230769,34.3308348717949,139.659066153846,49.7485828205128,4.41264474358974,8.38546907692308,235.346717948718,572.288292307692,97.6767887179487,4.02913941025641,1554.45076923077,1185.65161282051,9.09794369230769,40.2138812820513,5.01155687179487,20.2615569230769,-1.45659735641026,68.9181928205128,66.8420474358974,-3.36624397435897,40.6206205128205,685.736702564103,225.013153846154,1310.8351025641,8.88623538461538,10.9537601282051,14.2664471794872,12.2615852051282,22.2362348717949,512.246174358974,1620.64382051282,49.3593302564103,7.740842,9630.10797435897,333.449374358974,506.783992307692,67.3167392307692,24.4073769230769,778.968574358974,-0.284202551897436,39.5447030769231,7.34936641025641,229.964856410256,3.15953317948718,-4.60283471794872,7.94870671794872,442.409048717949,0.711903074358974,75.1682451282051,35.4130748717949,15274.9048717949,42.0102625641026,135.318064358974,"healthy"
"GSM365215",9.89566374358974,224.497082051282,128.977071282051,-1.64704582051282,21.5046841025641,1.7818609974359,481.323174358974,39.3234069230769,-0.506870551538462,7889.59956410256,711.76671025641,77.2787879487179,483.514141025641,12.7969198205128,-2.75138123076923,13.4454102564103,3.71171494871795,-4.02233012820513,103.360665384615,76.3961869230769,170.599684615385,1556.19417948718,3.11153097435897,8.10179417948718,79.540721025641,1856.38502564103,9204.65376923077,-1.28413963333333,0.911733492820513,26.3692902564103,-1.99273366666667,760.596571794872,1901.78384615385,127.077211282051,250.610712820513,8692.21171794872,2.03228124871795,20.7516435897436,99.1356164102564,50.7266512820513,-0.774301097435897,10.3516841282051,187.414605128205,361.258838461538,21.5230312820513,2.67041241025641,757.35331025641,614.419535897436,2.78559987179487,18.8629794871795,5.99413633333334,8.71858266666667,-5.60063976923077,31.1126317948718,43.1893782051282,12.0577558461538,17.7116874358974,662.997130769231,208.110933333333,801.598074358974,3.31009730769231,7.7650278974359,-0.0261081651282051,-2.87429507692308,77.9488976923077,574.350902564103,2068.91330769231,77.85094,-4.30723287179487,6124.48102564103,40.0138664102564,494.993328205128,55.8616043589744,42.5183730769231,522.084258974359,-3.79970025641026,15.8356107692308,-0.581581324615385,131.849900512821,-0.392797353153846,-0.100824969384615,5.3185057948718,258.267412820513,-5.31708041025641,60.0138107692308,29.9023615384615,9263.94,38.353661025641,75.3990974358974,"healthy"
"GSM365216",-1.54419741025641,160.445974358974,155.907684615385,-9.69579220512821,46.7320448717949,-5.31271705128205,716.428992307692,87.3983753846154,-1.68059138461538,5466.65156410256,619.160033333333,124.690688974359,404.027384615385,18.7265051282051,-1.95414658974359,-2.11312028205128,-7.69434858974359,-1.9019258974359,175.095092307692,24.5238997435897,181.049207692308,852.104397435897,14.3566402564103,15.1845284615385,82.0755317948718,1984.96141025641,10083.5505641026,6.76319264102564,6.63118353846154,21.266168974359,4.14218992307692,909.366133333333,2115.52323076923,136.878314615385,480.248056410256,10471.9097692308,-1.04772583076923,38.8767261538462,132.504577692308,83.0496223076923,3.37658717948718,13.5042228205128,172.549412820513,400.006987179487,41.2015361538462,0.618343824102564,780.561246153846,747.125402564103,1.7702481025641,15.0187587179487,-0.702305451282051,26.9378215384615,-9.39106779487179,72.6134915384615,35.1447051282051,6.74105194871795,41.9841302564103,552.434171794872,169.54022051282,1131.74091282051,4.06729479487179,0.840829805051282,-5.97120571794872,0.717372741025641,51.7808358974359,722.891451282051,2032.92830769231,69.8039264102564,-1.76544076923077,5249.29284615385,101.504927179487,431.165217948718,35.6410687179487,51.3839174358974,528.700538461538,-6.73261905128205,21.6187941025641,-0.0753651816666667,96.0526030769231,-5.92590161538461,0.350763512974359,2.50319620512821,310.381443589744,-7.05179123076923,83.3467505128205,24.6071392307692,9471.38071794872,54.1386069230769,89.6471902564103,"healthy"
