"Metric","Mean","SD"
"MCC",0.944529404498953,0.141204071953378
"F1",0.986857142857143,0.0355003694587085
"AUC",1,0
"TPR",0.97625,0.063302923321203
"TNR",1,0
"PPV",1,0
"NPV",0.921666666666667,0.197423073142941
